ID,cost,co2,fitness1_obj,fitness2_obj,mean_strength_ratio,max_strength_ratio,violation,violation_deflection,violation_drift,violation_hierarchy,violation_wind_disp,individual_genes
Sol #1,31446464.73512005,95308.70982175991,0.38357363874220174,0.3312066953390209,0.3312066953390209,0.9759710819235142,0.0,0.8163265306122449,0.22263610391255445,1.0,0.9867187035660384,"[417, 707, 842, 385, 141, 228, 0, 0, 1, 0, 0, 1, 643, 239, 737, 138]"
Sol #2,33054472.82492008,100914.54828575975,0.4142426416000935,0.2919478989305039,0.2919478989305039,0.666214617874502,0.0,0.6349206349206349,0.2445423936436975,1.0,0.9482706040620046,"[606, 707, 842, 385, 141, 228, 0, 0, 0, 0, 1, 1, 703, 239, 737, 231]"
Sol #3,33725429.82411998,102256.52793575986,0.42402378508639765,0.2829112283217251,0.2829112283217251,0.638706680434856,0.0,0.6349206349206349,0.2445423936436975,1.0,0.9482706040620046,"[494, 707, 842, 385, 141, 228, 0, 0, 0, 0, 1, 1, 643, 239, 737, 238]"
Sol #4,33847518.67179998,102334.49452775986,0.42530083672152735,0.281060284754577,0.281060284754577,0.6195169262685918,0.0,0.6349206349206349,0.2288838176476745,1.0,0.9843806630378626,"[494, 707, 842, 385, 141, 271, 0, 0, 1, 0, 0, 1, 643, 239, 509, 238]"
Sol #5,33847518.67179998,102334.49452775986,0.42530083672152735,0.281060284754577,0.281060284754577,0.6195169262685918,0.0,0.6349206349206349,0.2288838176476745,1.0,0.9843806630378626,"[494, 707, 842, 385, 141, 271, 0, 0, 1, 0, 0, 1, 17, 239, 666, 238]"
Sol #6,33847518.67179998,102334.49452775986,0.42530083672152735,0.281060284754577,0.281060284754577,0.6195169262685918,0.0,0.6349206349206349,0.2288838176476745,1.0,0.9843806630378626,"[494, 707, 842, 385, 141, 271, 0, 0, 1, 0, 0, 1, 703, 239, 481, 238]"
Sol #7,33847518.67179998,102334.49452775986,0.42530083672152735,0.281060284754577,0.281060284754577,0.6195169262685918,0.0,0.6349206349206349,0.2288838176476745,1.0,0.9843806630378626,"[494, 707, 842, 385, 141, 271, 0, 0, 1, 0, 0, 1, 703, 239, 737, 238]"
Sol #8,33820856.51739998,102440.9463859999,0.4253954148747179,0.2779929950899965,0.2779929950899965,0.6078823070466711,0.0,0.6349206349206349,0.1716293079095885,1.0,0.8970008672229737,"[606, 548, 842, 385, 369, 228, 0, 0, 1, 0, 0, 1, 703, 239, 737, 238]"
Sol #9,34879839.05315998,104756.12120535984,0.44142930971380256,0.2764164032024805,0.2764164032024805,0.6301146906324835,0.0,0.6349206349206349,0.21796447438343966,1.0,0.9388540555326292,"[494, 715, 842, 642, 141, 271, 0, 0, 1, 0, 0, 1, 703, 239, 737, 238]"
Sol #10,34840588.04859997,105084.58102279989,0.4420879940539407,0.27440869870067514,0.27440869870067514,0.6152313150837689,0.0,0.6349206349206349,0.20459866481446512,1.0,0.9205433955098588,"[606, 707, 842, 385, 344, 228, 0, 0, 1, 0, 1, 1, 703, 239, 737, 238]"
Sol #11,35438397.57635999,105856.44909335984,0.4495209748658249,0.27440642749842803,0.27440642749842803,0.6301292154617999,0.0,0.6349206349206349,0.21796447438343966,1.0,0.9388540555326292,"[606, 715, 842, 642, 141, 271, 0, 0, 1, 0, 0, 1, 643, 239, 509, 238]"
Sol #12,35438397.57635999,105856.44909335984,0.4495209748658249,0.27440642749842803,0.27440642749842803,0.6301292154617999,0.0,0.6349206349206349,0.21796447438343966,1.0,0.9388540555326292,"[606, 715, 842, 642, 141, 271, 0, 0, 1, 0, 0, 1, 643, 239, 666, 238]"
Sol #13,35438397.57635999,105856.44909335984,0.4495209748658249,0.27440642749842803,0.27440642749842803,0.6301292154617999,0.0,0.6349206349206349,0.21796447438343966,1.0,0.9388540555326292,"[606, 715, 842, 642, 141, 271, 0, 0, 1, 0, 0, 1, 703, 239, 737, 238]"
Sol #14,35698949.80812,106361.01145159984,0.45326916976084924,0.2730694811465817,0.2730694811465817,0.6032449004181335,0.0,0.6349206349206349,0.20588921332391932,1.0,0.9146390701443654,"[606, 707, 842, 429, 326, 271, 0, 1, 0, 0, 0, 1, 703, 239, 737, 238]"
Sol #15,35877538.535799965,108024.08547079985,0.4598222940288944,0.26788676854776283,0.26788676854776283,0.6154638322785257,0.0,0.6349206349206349,0.1564810367022296,1.0,0.8111814756613284,"[606, 707, 842, 385, 596, 228, 0, 0, 1, 0, 0, 1, 892, 239, 737, 238]"
Sol #16,36787999.443559945,108340.89806479988,0.46854540231045055,0.26772439182422586,0.26772439182422586,0.6525587614950185,0.0,0.6349206349206349,0.2048359923227825,1.0,0.918643342729389,"[606, 707, 850, 642, 142, 271, 0, 0, 0, 0, 0, 1, 865, 226, 737, 238]"
