gen,nevals,avg,max,min,std,success_rate,valid_ratio,avg_cost,max_cost,min_cost,std_cost,avg_co2,max_co2,min_co2,std_co2,avg_dcr,max_dcr,min_dcr,std_dcr,best_margins,min_AM_str,min_AM_drift,min_AM_wind,min_AM_defl,min_AM_hier,min_NM_str,min_NM_drift,min_NM_wind,min_NM_defl,min_NM_hier,hof_avg_cost,hof_max_cost,hof_min_cost,hof_std_cost,hof_avg_co2,hof_max_co2,hof_min_co2,hof_std_co2,hof_avg_dcr,hof_max_dcr,hof_min_dcr,hof_std_dcr,hof_size
0,600,[0.63437195 0.35460931],[1.14969192 0.97643069],[0.26985471 0.18220037],[0.1479384  0.10357979],100.0,0.6666666666666667,56682509.04283001,72535927.69691989,47054785.12352007,9803125.161184084,167743.52014980002,219281.39810439997,138815.06396399986,31053.56630259166,0.23414254646895571,0.26044531630932977,0.222194899040132,0.015368123553442886,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,51398036.15813339,56810144.92256007,47054785.12352007,4053689.9928433755,150564.2274982667,163810.8680932001,138815.06396399986,10259.2847111532,0.23716312101447198,0.26044531630932977,0.222194899040132,0.01668562694052673,3
1,523,[0.61334727 0.32459688],[1.14969192 0.85545284],[0.2695293  0.18220037],[0.15499397 0.0670072 ],100.0,0.8333333333333334,53378234.99767201,72535927.69691989,40161138.81703997,10979704.83222076,158851.77774464004,219281.39810439997,123284.80812400013,32980.47173838551,0.25043417933424206,0.3156007107953874,0.222194899040132,0.035364001228823355,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,48588811.82286003,56810144.92256007,40161138.81703997,5999960.501222902,143744.37265470007,163810.8680932001,123284.80812400013,14780.762915030284,0.25677251845970084,0.3156007107953874,0.222194899040132,0.03691060842486435,4
2,507,[0.58293171 0.32283061],[1.14969192 0.56297306],[0.32014444 0.18220037],[0.15982466 0.06146384],100.0,1.0,51232985.35212001,72535927.69691989,40161138.81703997,11111799.076249892,152331.12233633336,219281.39810439997,119727.84529480003,33451.77122627091,0.26029856769901244,0.3156007107953874,0.222194899040132,0.03909869488207938,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,48675211.399690054,56810144.92256007,40506737.12436006,5879253.856922225,142855.13194740005,163810.8680932001,119727.84529480003,16038.396264139163,0.25527746814157015,0.3096205095228646,0.222194899040132,0.0345426739746918,4
3,488,[0.51474757 0.34800303],[1.14969192 0.56297306],[0.29761314 0.18220037],[0.17116068 0.06415819],100.0,1.3333333333333335,48425027.51111002,72535927.69691989,39735008.79844001,10783118.70746917,144133.809343505,219281.39810439997,119155.06947679995,32262.841989974066,0.2769694510944085,0.3303196297550073,0.222194899040132,0.04453168298795259,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,45783858.92915339,56810144.92256007,39735008.79844001,6307709.561679509,135084.04475327337,163810.8680932001,119155.06947679995,17097.258078909927,0.27917901252124566,0.3303196297550073,0.222194899040132,0.044065234555761355,6
4,529,[0.4032352  0.37280926],[1.10896619 0.50115621],[0.30299819 0.2198502 ],[0.09175411 0.04143004],100.0,1.3333333333333335,48425027.51111002,72535927.69691989,39735008.79844001,10783118.70746917,144133.809343505,219281.39810439997,119155.06947679995,32262.841989974066,0.2769694510944085,0.3303196297550073,0.222194899040132,0.04453168298795259,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,45783858.92915339,56810144.92256007,39735008.79844001,6307709.561679509,135084.04475327337,163810.8680932001,119155.06947679995,17097.258078909927,0.27917901252124566,0.3303196297550073,0.222194899040132,0.044065234555761355,6
5,488,[0.3800712  0.37603542],[1.10896619 0.44670322],[0.29865249 0.2198502 ],[0.08646888 0.0347115 ],100.0,1.3333333333333335,48425027.51111002,72535927.69691989,39735008.79844001,10783118.70746917,144133.809343505,219281.39810439997,119155.06947679995,32262.841989974066,0.2769694510944085,0.3303196297550073,0.222194899040132,0.04453168298795259,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,45783858.92915339,56810144.92256007,39735008.79844001,6307709.561679509,135084.04475327337,163810.8680932001,119155.06947679995,17097.258078909927,0.27917901252124566,0.3303196297550073,0.222194899040132,0.044065234555761355,6
6,507,[0.37915443 0.37697946],[1.10896619 0.43317396],[0.31562652 0.2221949 ],[0.08593906 0.034771  ],100.0,1.3333333333333335,48425027.51111002,72535927.69691989,39735008.79844001,10783118.70746917,144133.809343505,219281.39810439997,119155.06947679995,32262.841989974066,0.2769694510944085,0.3303196297550073,0.222194899040132,0.04453168298795259,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,45783858.92915339,56810144.92256007,39735008.79844001,6307709.561679509,135084.04475327337,163810.8680932001,119155.06947679995,17097.258078909927,0.27917901252124566,0.3303196297550073,0.222194899040132,0.044065234555761355,6
7,515,[0.37358562 0.38420157],[1.10896619 0.4427271 ],[0.30121287 0.2221949 ],[0.08458793 0.0369493 ],100.0,1.3333333333333335,48425027.51111002,72535927.69691989,39735008.79844001,10783118.70746917,144133.809343505,219281.39810439997,119155.06947679995,32262.841989974066,0.2769694510944085,0.3303196297550073,0.222194899040132,0.04453168298795259,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,45783858.92915339,56810144.92256007,39735008.79844001,6307709.561679509,135084.04475327337,163810.8680932001,119155.06947679995,17097.258078909927,0.27917901252124566,0.3303196297550073,0.222194899040132,0.044065234555761355,6
8,483,[0.37026166 0.39197735],[1.10896619 0.43411839],[0.30911295 0.2221949 ],[0.08614269 0.03951998],100.0,1.3333333333333335,48425027.51111002,72535927.69691989,39735008.79844001,10783118.70746917,144133.809343505,219281.39810439997,119155.06947679995,32262.841989974066,0.2769694510944085,0.3303196297550073,0.222194899040132,0.04453168298795259,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,45783858.92915339,56810144.92256007,39735008.79844001,6307709.561679509,135084.04475327337,163810.8680932001,119155.06947679995,17097.258078909927,0.27917901252124566,0.3303196297550073,0.222194899040132,0.044065234555761355,6
9,497,[0.36835061 0.39492406],[1.10896619 0.42941825],[0.31529885 0.2221949 ],[0.08514746 0.03863195],100.0,1.3333333333333335,48425027.51111002,72535927.69691989,39735008.79844001,10783118.70746917,144133.809343505,219281.39810439997,119155.06947679995,32262.841989974066,0.2769694510944085,0.3303196297550073,0.222194899040132,0.04453168298795259,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,45783858.92915339,56810144.92256007,39735008.79844001,6307709.561679509,135084.04475327337,163810.8680932001,119155.06947679995,17097.258078909927,0.27917901252124566,0.3303196297550073,0.222194899040132,0.044065234555761355,6
