ID,cost,co2,fitness1_obj,fitness2_obj,mean_strength_ratio,max_strength_ratio,violation,violation_deflection,violation_drift,violation_hierarchy,violation_wind_disp,individual_genes
Sol #1,28426726.68196003,87936.50141080016,0.33552220126890114,0.33607139869777636,0.33607139869777636,0.8394100897592085,0.0,0.7142857142857142,0.22872399213727634,1.0,0.99843293052739,"[337, 526, 842, 210, 156, 521, 0, 1, 0, 0, 1, 0, 57, 185, 834, 195]"
Sol #2,28426726.68196003,87936.50141080016,0.33552220126890114,0.33607139869777636,0.33607139869777636,0.8394100897592085,0.0,0.7142857142857142,0.22872399213727634,1.0,0.99843293052739,"[337, 526, 842, 210, 156, 521, 0, 1, 0, 0, 1, 0, 222, 185, 834, 195]"
Sol #3,28426726.68196003,87936.50141080016,0.33552220126890114,0.33607139869777636,0.33607139869777636,0.8394100897592085,0.0,0.7142857142857142,0.22872399213727634,1.0,0.99843293052739,"[337, 526, 842, 210, 156, 521, 0, 1, 0, 0, 1, 0, 805, 185, 56, 195]"
Sol #4,28426726.68196003,87936.50141080016,0.33552220126890114,0.33607139869777636,0.33607139869777636,0.8394100897592085,0.0,0.7142857142857142,0.22872399213727634,1.0,0.99843293052739,"[337, 526, 842, 210, 156, 521, 0, 1, 0, 0, 1, 0, 805, 185, 807, 195]"
Sol #5,28426726.68196003,87936.50141080016,0.33552220126890114,0.33607139869777636,0.33607139869777636,0.8394100897592085,0.0,0.7142857142857142,0.22872399213727634,1.0,0.99843293052739,"[337, 526, 842, 210, 156, 521, 0, 1, 0, 0, 1, 0, 27, 185, 834, 195]"
Sol #6,28426726.68196003,87936.50141080016,0.33552220126890114,0.33607139869777636,0.33607139869777636,0.8394100897592085,0.0,0.7142857142857142,0.22872399213727634,1.0,0.99843293052739,"[337, 526, 842, 210, 156, 521, 0, 1, 0, 0, 1, 0, 805, 185, 941, 195]"
Sol #7,28426726.68196003,87936.50141080016,0.33552220126890114,0.33607139869777636,0.33607139869777636,0.8394100897592085,0.0,0.7142857142857142,0.22872399213727634,1.0,0.99843293052739,"[337, 526, 842, 210, 156, 521, 0, 1, 0, 0, 1, 0, 805, 185, 751, 195]"
Sol #8,28426726.68196003,87936.50141080016,0.33552220126890114,0.33607139869777636,0.33607139869777636,0.8394100897592085,0.0,0.7142857142857142,0.22872399213727634,1.0,0.99843293052739,"[337, 526, 842, 210, 156, 521, 0, 1, 0, 0, 1, 0, 586, 185, 834, 195]"
Sol #9,28426726.68196003,87936.50141080016,0.33552220126890114,0.33607139869777636,0.33607139869777636,0.8394100897592085,0.0,0.7142857142857142,0.22872399213727634,1.0,0.99843293052739,"[337, 526, 842, 210, 156, 521, 0, 1, 0, 0, 1, 0, 805, 185, 16, 195]"
Sol #10,28426726.68196003,87936.50141080016,0.33552220126890114,0.33607139869777636,0.33607139869777636,0.8394100897592085,0.0,0.7142857142857142,0.22872399213727634,1.0,0.99843293052739,"[337, 526, 842, 210, 156, 521, 0, 1, 0, 0, 1, 0, 212, 185, 834, 195]"
