ID,Cost,CO2,Mean_DCR,Fit1(NormCost+CO2),Fit2(Mean_DCR)
Sol #1,"28,445,644","86,108",0.3903,0.3302,0.3903
Sol #2,"28,497,802","86,632",0.3864,0.3322,0.3864
Sol #3,"28,714,021","87,276",0.3766,0.3360,0.3766
Sol #4,"29,314,508","88,772",0.3731,0.3456,0.3731
Sol #5,"29,676,554","90,130",0.3675,0.3528,0.3675
Sol #6,"29,671,255","91,167",0.3620,0.3559,0.3620
Sol #7,"30,134,832","92,293",0.3616,0.3633,0.3616
Sol #8,"30,245,651","92,191",0.3574,0.3639,0.3574
Sol #9,"30,277,882","92,558",0.3570,0.3653,0.3570
Sol #10,"30,741,316","92,559",0.3553,0.3692,0.3553
Sol #11,"30,854,330","94,414",0.3501,0.3758,0.3501
Sol #12,"31,450,039","94,247",0.3413,0.3804,0.3413
Sol #13,"31,712,625","95,330",0.3388,0.3859,0.3388
Sol #14,"31,681,236","96,021",0.3359,0.3877,0.3359
Sol #15,"32,395,782","98,710",0.3285,0.4020,0.3285
Sol #16,"34,261,516","103,862",0.3240,0.4335,0.3240
Sol #17,"35,861,407","106,475",0.3062,0.4550,0.3062
Sol #18,"37,048,032","113,304",0.3035,0.4858,0.3035
Sol #19,"39,473,107","117,619",0.2801,0.5195,0.2801
Sol #20,"40,496,220","120,104",0.2782,0.5358,0.2782
Sol #21,"42,932,457","129,819",0.2711,0.5859,0.2711
Sol #22,"48,010,383","145,552",0.2611,0.6768,0.2611
Sol #23,"52,752,857","152,652",0.2413,0.7387,0.2413
