gen,nevals,avg,std,min,valid_ratio,avg_cost,avg_co2,avg_dcr,hof_size
58,88,[0.45838694 0.27463243],[0.04517594 0.00801191],[0.45171427 0.21371043],100.0,35933122.56950478,107392.77859723987,0.27463243287671735,20
59,89,[0.46169398 0.2740555 ],[0.05254034 0.00891392],[0.45171427 0.21371043],100.0,36132403.47369198,107924.25472337427,0.274055503200988,22
60,87,[0.46216244 0.27379926],[0.05274069 0.00889195],[0.45171427 0.21371043],100.0,36177592.27707358,107951.72062439666,0.2737992564083098,23
61,89,[0.4627872 0.2732177],[0.05302566 0.00879043],[0.45171427 0.21371043],100.0,36246077.67448518,107965.16896654548,0.27321769897554476,22
62,88,[0.46221724 0.27294146],[0.0526444  0.00888402],[0.45171427 0.21371043],100.0,36232800.65458959,107814.16307863023,0.2729414635808713,25
63,93,[0.46232709 0.27292762],[0.05263418 0.00888941],[0.45154712 0.21371043],100.0,36240352.001592785,107829.18819498863,0.2729276243933952,26
64,79,[0.46484406 0.27277592],[0.05789144 0.0089175 ],[0.45043722 0.21371043],100.0,36374468.34822279,108283.19369380703,0.2727759224412102,25
65,76,[0.45871884 0.27269601],[0.0348894  0.00932323],[0.43211545 0.21371043],100.0,36029492.592559986,107230.774658331,0.2726960138898673,25
66,84,[0.45852286 0.27266787],[0.03498311 0.00933863],[0.43211545 0.21371043],100.0,36015978.53362319,107204.08193869103,0.27266787169885304,25
67,83,[0.45608823 0.27329607],[0.035766   0.00961079],[0.42530084 0.21371043],100.0,35848723.15254159,106870.74654368624,0.27329606974293047,22
68,88,[0.44999885 0.27513397],[0.03762716 0.01023169],[0.42530084 0.21371043],100.0,35428726.1612432,106041.72076715663,0.275133973358532,25
69,77,[0.44105981 0.27779545],[0.03868089 0.01060655],[0.41424264 0.21371043],100.0,34812359.95863278,104824.22893840545,0.2777954487839538,31
70,88,[0.43454949 0.27886836],[0.01860413 0.00723737],[0.42530084 0.21371043],100.0,34428803.49976318,103753.27384671987,0.2788683559980805,36
71,84,[0.43545245 0.27881575],[0.01828486 0.00721649],[0.42530084 0.21371043],100.0,34485025.700428784,103893.28576447984,0.2788157472251895,38
72,92,[0.43491105 0.2792483 ],[0.01738596 0.00700868],[0.43211545 0.21371043],100.0,34449387.30708398,103814.77252057745,0.2792482961005384,38
73,89,[0.43491105 0.2792483 ],[0.01738596 0.00700868],[0.43211545 0.21371043],100.0,34449387.30708398,103814.77252057745,0.2792482961005384,38
74,81,[0.43491105 0.2792483 ],[0.01738596 0.00700868],[0.43211545 0.21371043],100.0,34449387.30708398,103814.77252057745,0.2792482961005384,38
75,86,[0.43469951 0.27932071],[0.01728973 0.00698182],[0.43211545 0.21371043],100.0,34435237.692475975,103784.73096429904,0.2793207061232252,38
76,77,[0.43469951 0.27932071],[0.01728973 0.00698182],[0.43211545 0.21371043],100.0,34435237.692475975,103784.73096429904,0.2793207061232252,38
77,90,[0.43469951 0.27932071],[0.01728973 0.00698182],[0.43211545 0.21371043],100.0,34435237.692475975,103784.73096429904,0.2793207061232252,38
78,89,[0.43469951 0.27932071],[0.01728973 0.00698182],[0.43211545 0.21371043],100.0,34435237.692475975,103784.73096429904,0.2793207061232252,38
79,83,[0.43501656 0.27928704],[0.01741566 0.00698116],[0.43211545 0.21371043],100.0,34455811.69507998,103831.54484192304,0.27928703749372974,39
80,84,[0.43371588 0.27964448],[0.01592411 0.00662662],[0.43211545 0.21371043],100.0,34372615.97982158,103636.09545745426,0.2796444828688041,39
81,82,[0.43371588 0.27964448],[0.01592411 0.00662662],[0.43211545 0.21371043],100.0,34372615.97982158,103636.09545745426,0.2796444828688041,39
82,79,[0.43371588 0.27964448],[0.01592411 0.00662662],[0.43211545 0.21371043],100.0,34372615.97982158,103636.09545745426,0.2796444828688041,39
83,89,[0.43371588 0.27964448],[0.01592411 0.00662662],[0.43211545 0.21371043],100.0,34372615.97982158,103636.09545745426,0.2796444828688041,39
84,87,[0.43371588 0.27964448],[0.01592411 0.00662662],[0.43211545 0.21371043],100.0,34372615.97982158,103636.09545745426,0.2796444828688041,39
85,83,[0.43371588 0.27964448],[0.01592411 0.00662662],[0.43211545 0.21371043],100.0,34372615.97982158,103636.09545745426,0.2796444828688041,39
86,89,[0.43371588 0.27964448],[0.01592411 0.00662662],[0.43211545 0.21371043],100.0,34372615.97982158,103636.09545745426,0.2796444828688041,39
87,91,[0.43371588 0.27964448],[0.01592411 0.00662662],[0.43211545 0.21371043],100.0,34372615.97982158,103636.09545745426,0.2796444828688041,39
88,88,[0.43371588 0.27964448],[0.01592411 0.00662662],[0.43211545 0.21371043],100.0,34372615.97982158,103636.09545745426,0.2796444828688041,39
89,89,[0.43371588 0.27964448],[0.01592411 0.00662662],[0.43211545 0.21371043],100.0,34372615.97982158,103636.09545745426,0.2796444828688041,39
90,88,[0.43371588 0.27964448],[0.01592411 0.00662662],[0.43211545 0.21371043],100.0,34372615.97982158,103636.09545745426,0.2796444828688041,39
91,87,[0.43371588 0.27964448],[0.01592411 0.00662662],[0.43211545 0.21371043],100.0,34372615.97982158,103636.09545745426,0.2796444828688041,39
92,79,[0.43371588 0.27964448],[0.01592411 0.00662662],[0.43211545 0.21371043],100.0,34372615.97982158,103636.09545745426,0.2796444828688041,39
93,91,[0.43371588 0.27964448],[0.01592411 0.00662662],[0.43211545 0.21371043],100.0,34372615.97982158,103636.09545745426,0.2796444828688041,39
94,84,[0.43371588 0.27964448],[0.01592411 0.00662662],[0.43211545 0.21371043],100.0,34372615.97982158,103636.09545745426,0.2796444828688041,39
95,85,[0.43371588 0.27964448],[0.01592411 0.00662662],[0.43211545 0.21371043],100.0,34372615.97982158,103636.09545745426,0.2796444828688041,39
96,85,[0.43371588 0.27964448],[0.01592411 0.00662662],[0.43211545 0.21371043],100.0,34372615.97982158,103636.09545745426,0.2796444828688041,39
97,87,[0.43371588 0.27964448],[0.01592411 0.00662662],[0.43211545 0.21371043],100.0,34372615.97982158,103636.09545745426,0.2796444828688041,39
98,79,[0.43371588 0.27964448],[0.01592411 0.00662662],[0.43211545 0.21371043],100.0,34372615.97982158,103636.09545745426,0.2796444828688041,39
99,91,[0.43438482 0.27952858],[0.01688921 0.00665059],[0.42539541 0.21371043],100.0,34415236.15629038,103737.08583571664,0.27952857878175097,30
100,76,[0.4358489  0.27968074],[0.03292342 0.00890783],[0.38357364 0.21371043],100.0,34479364.50659038,104040.32463264866,0.2796807386486604,30
