gen,best_obj1,best_obj2,hypervolume
0,0.7941777981023116,0.598962874079561,3.217314801484867
1,0.758097686090103,0.5911578982358564,3.2980935575754886
2,0.7314749118480592,0.5911578982358564,3.346998428631044
3,0.7314749118480592,0.5911578982358564,3.3543299310277197
4,0.7173729287577467,0.5911578982358564,3.3792907494334323
5,0.6700485036348265,0.5911578982358564,3.4650834386818783
6,0.6469295778839768,0.5911578982358564,3.513753902646023
7,0.6421890089516827,0.5911578982358564,3.5277070030397306
8,0.6211443935000853,0.5668485019683308,3.6072092733729697
9,0.5873089967468856,0.5668485019683308,3.6678191638688316
10,0.5732025274879933,0.5668485019683308,3.7024960525764294
11,0.5573333039893371,0.5668485019683308,3.7315081613287746
12,0.54830512226577,0.5668485019683308,3.7488697634166868
13,0.5366734751818596,0.5668485019683308,3.7707390532196134
14,0.5240629109039143,0.5668485019683308,3.7966306518124853
15,0.5021700888420245,0.5668485019683308,3.8467476397260976
16,0.46599644851532696,0.5668485019683308,3.9068421540106235
17,0.46599644851532696,0.5668485019683308,3.9083373591710484
18,0.46599644851532696,0.5668485019683308,3.9123955831872053
19,0.4438812955292014,0.5668485019683308,3.9516399808041633
20,0.43083269369476146,0.5668485019683308,3.9782933347816214
21,0.42226492153530104,0.5668485019683308,3.994632462292797
22,0.42226492153530104,0.5668485019683308,3.9963435621347223
23,0.39939249684527867,0.5668485019683308,4.036022050462708
24,0.39939249684527867,0.5668485019683308,4.037331741382124
25,0.39399102280003395,0.5668485019683308,4.049624424213214
26,0.39256893701452145,0.5668485019683308,4.054344697698637
27,0.3735167355679374,0.5668485019683308,4.086641986970357
28,0.37123759908896714,0.5668485019683308,4.090446106777348
29,0.36653515808122933,0.5668485019683308,4.101283401092859
30,0.3450587606981389,0.5668485019683308,4.140290203186369
31,0.33478664421399207,0.5668485019683308,4.158251318544897
32,0.33478664421399207,0.5668485019683308,4.159951547907683
33,0.33478664421399207,0.5668485019683308,4.160381473161543
34,0.33478664421399207,0.5668485019683308,4.162341255785653
35,0.33478664421399207,0.5668485019683308,4.163626533386054
36,0.31986740311965434,0.5668485019683308,4.1917364412140525
37,0.30560948775873326,0.5668485019683308,4.2140563312074
38,0.30560948775873326,0.5668485019683308,4.215931019640612
39,0.29203773355372803,0.5668485019683308,4.238746688627038
40,0.29203773355372803,0.5668485019683308,4.239152899812743
41,0.29203773355372803,0.5668485019683308,4.240679805412308
42,0.29203773355372803,0.5668485019683308,4.241629782863912
43,0.29203773355372803,0.5668485019683308,4.242970303780021
44,0.2896375654315302,0.5668485019683308,4.24752897951653
45,0.28266635554006925,0.5668485019683308,4.2582020140493
46,0.2815731767110603,0.5668485019683308,4.262195358664357
47,0.2774308526190057,0.5668485019683308,4.2693571353445865
48,0.27739151189268296,0.5668485019683308,4.269540855211545
49,0.26414864955719997,0.5668485019683308,4.2908261766503015
50,0.26414864955719997,0.5668485019683308,4.290981630935953
51,0.26414864955719997,0.5668485019683308,4.293606576415925
52,0.26414864955719997,0.5668485019683308,4.293795935149251
53,0.26186547336471155,0.5668485019683308,4.298504575383912
54,0.26186547336471155,0.5668485019683308,4.298577094520202
55,0.2529669980395655,0.5668485019683308,4.313016832994017
56,0.2511897930815464,0.5668485019683308,4.316360943190937
57,0.2511897930815464,0.5668485019683308,4.317662682429255
