gen,nevals,avg,std,min,valid_ratio,avg_cost,avg_co2,avg_dcr,hof_size
59,78,[0.43488724 0.29239857],[0.02200363 0.01019345],[0.43216615 0.19123927],100.0,34368025.51110963,104036.32536809977,0.29239856686312665,26
60,87,[0.43727335 0.29163774],[0.02599799 0.01139545],[0.43216615 0.19123927],100.0,34506044.47214963,104436.05996737976,0.2916377364919375,25
61,84,[0.43430562 0.29247247],[0.02128752 0.01017432],[0.43216615 0.19123927],100.0,34333315.57640964,103941.89897873976,0.29247247230834617,25
62,83,[0.43430562 0.29247247],[0.02128752 0.01017432],[0.43216615 0.19123927],100.0,34333315.57640964,103941.89897873976,0.29247247230834617,25
63,86,[0.43430562 0.29247247],[0.02128752 0.01017432],[0.43216615 0.19123927],100.0,34333315.57640964,103941.89897873976,0.29247247230834617,25
64,88,[0.43430562 0.29247247],[0.02128752 0.01017432],[0.43216615 0.19123927],100.0,34333315.57640964,103941.89897873976,0.29247247230834617,25
65,89,[0.43430562 0.29247247],[0.02128752 0.01017432],[0.43216615 0.19123927],100.0,34333315.57640964,103941.89897873976,0.29247247230834617,25
66,90,[0.43430562 0.29247247],[0.02128752 0.01017432],[0.43216615 0.19123927],100.0,34333315.57640964,103941.89897873976,0.29247247230834617,25
67,86,[0.43430562 0.29247247],[0.02128752 0.01017432],[0.43216615 0.19123927],100.0,34333315.57640964,103941.89897873976,0.29247247230834617,25
68,82,[0.43430562 0.29247247],[0.02128752 0.01017432],[0.43216615 0.19123927],100.0,34333315.57640964,103941.89897873976,0.29247247230834617,25
69,85,[0.43430562 0.29247247],[0.02128752 0.01017432],[0.43216615 0.19123927],100.0,34333315.57640964,103941.89897873976,0.29247247230834617,25
70,81,[0.43430562 0.29247247],[0.02128752 0.01017432],[0.43216615 0.19123927],100.0,34333315.57640964,103941.89897873976,0.29247247230834617,25
71,87,[0.43430562 0.29247247],[0.02128752 0.01017432],[0.43216615 0.19123927],100.0,34333315.57640964,103941.89897873976,0.29247247230834617,25
72,87,[0.43430562 0.29247247],[0.02128752 0.01017432],[0.43216615 0.19123927],100.0,34333315.57640964,103941.89897873976,0.29247247230834617,25
73,76,[0.43506213 0.29206959],[0.02186601 0.0105349 ],[0.43202412 0.19123927],100.0,34379648.66612483,104061.37306035576,0.29206959475388367,28
74,93,[0.43506355 0.2920681 ],[0.02186582 0.01053469],[0.43216615 0.19123927],100.0,34380576.06584083,104059.22756922778,0.2920681040425563,28
75,85,[0.43506355 0.2920681 ],[0.02186582 0.01053469],[0.43216615 0.19123927],100.0,34380576.06584083,104059.22756922778,0.2920681040425563,28
76,87,[0.43506355 0.2920681 ],[0.02186582 0.01053469],[0.43216615 0.19123927],100.0,34380576.06584083,104059.22756922778,0.2920681040425563,28
77,77,[0.43528439 0.29203355],[0.02190463 0.01053509],[0.43216615 0.19123927],100.0,34394444.48998003,104093.13654712377,0.29203354602831605,29
78,87,[0.43430562 0.29247247],[0.02128752 0.01017432],[0.43216615 0.19123927],100.0,34333315.57640964,103941.89897873976,0.29247247230834617,29
79,74,[0.43430562 0.29247247],[0.02128752 0.01017432],[0.43216615 0.19123927],100.0,34333315.57640964,103941.89897873976,0.29247247230834617,29
80,84,[0.43667739 0.29151012],[0.02657641 0.01193211],[0.43216615 0.19123927],100.0,34472516.10319563,104333.56073331177,0.2915101192501634,28
81,88,[0.43430562 0.29247247],[0.02128752 0.01017432],[0.43216615 0.19123927],100.0,34333315.57640964,103941.89897873976,0.29247247230834617,28
82,85,[0.43608985 0.29203726],[0.02488093 0.01057864],[0.43216615 0.19123927],100.0,34441631.29676483,104226.39049669176,0.2920372624335196,28
83,84,[0.43430562 0.29247247],[0.02128752 0.01017432],[0.43216615 0.19123927],100.0,34333315.57640964,103941.89897873976,0.29247247230834617,28
84,84,[0.43430562 0.29247247],[0.02128752 0.01017432],[0.43216615 0.19123927],100.0,34333315.57640964,103941.89897873976,0.29247247230834617,28
85,87,[0.43562024 0.29231814],[0.02487219 0.01027421],[0.43216615 0.19123927],100.0,34401763.88550363,104183.53917159978,0.2923181358572117,28
86,85,[0.43430562 0.29247247],[0.02128752 0.01017432],[0.43216615 0.19123927],100.0,34333315.57640964,103941.89897873976,0.29247247230834617,28
87,92,[0.43464221 0.29230527],[0.0215159  0.01029284],[0.43216615 0.19123927],100.0,34354287.72398723,103994.04768584378,0.2923052699183952,28
88,91,[0.43430562 0.29247247],[0.02128752 0.01017432],[0.43216615 0.19123927],100.0,34333315.57640964,103941.89897873976,0.29247247230834617,28
89,80,[0.43430562 0.29247247],[0.02128752 0.01017432],[0.43216615 0.19123927],100.0,34333315.57640964,103941.89897873976,0.29247247230834617,28
90,83,[0.43430562 0.29247247],[0.02128752 0.01017432],[0.43216615 0.19123927],100.0,34333315.57640964,103941.89897873976,0.29247247230834617,28
91,79,[0.43430562 0.29247247],[0.02128752 0.01017432],[0.43216615 0.19123927],100.0,34333315.57640964,103941.89897873976,0.29247247230834617,28
92,80,[0.43430562 0.29247247],[0.02128752 0.01017432],[0.43216615 0.19123927],100.0,34333315.57640964,103941.89897873976,0.29247247230834617,28
93,86,[0.43430562 0.29247247],[0.02128752 0.01017432],[0.43216615 0.19123927],100.0,34333315.57640964,103941.89897873976,0.29247247230834617,28
94,90,[0.43430562 0.29247247],[0.02128752 0.01017432],[0.43216615 0.19123927],100.0,34333315.57640964,103941.89897873976,0.29247247230834617,28
95,90,[0.43430562 0.29247247],[0.02128752 0.01017432],[0.43216615 0.19123927],100.0,34333315.57640964,103941.89897873976,0.29247247230834617,28
96,77,[0.43430562 0.29247247],[0.02128752 0.01017432],[0.43216615 0.19123927],100.0,34333315.57640964,103941.89897873976,0.29247247230834617,28
97,86,[0.43508813 0.29227181],[0.0225927  0.01034857],[0.43216615 0.19123927],100.0,34379909.58105923,104069.23460235578,0.29227180659524427,28
98,81,[0.43430562 0.29247247],[0.02128752 0.01017432],[0.43216615 0.19123927],100.0,34333315.57640964,103941.89897873976,0.29247247230834617,28
99,86,[0.43430562 0.29247247],[0.02128752 0.01017432],[0.43216615 0.19123927],100.0,34333315.57640964,103941.89897873976,0.29247247230834617,28
100,85,[0.43430562 0.29247247],[0.02128752 0.01017432],[0.43216615 0.19123927],100.0,34333315.57640964,103941.89897873976,0.29247247230834617,28
