ID,cost,co2,fitness1_obj,fitness2_obj,mean_strength_ratio,max_strength_ratio,violation,violation_deflection,violation_drift,violation_hierarchy,violation_wind_disp,individual_genes
Sol #1,33749241.81288004,102710.07764479978,0.42559864301709405,0.2948760573210195,0.2948760573210195,0.6833519152265605,0.0,0.6349206349206349,0.19085687380364727,1.0,0.9947223296583559,"[418, 273, 705, 67, 142, 488, 0, 1, 1, 1, 0, 0, 787, 239, 73, 349]"
Sol #2,34109598.041680045,103818.40280039978,0.4320241209556022,0.2936441010480952,0.2936441010480952,0.6818690053970918,0.0,0.6349206349206349,0.18671935273885076,1.0,0.9763722569423419,"[418, 273, 705, 41, 142, 631, 0, 1, 1, 1, 1, 1, 787, 239, 73, 349]"
Sol #3,34202338.01328004,103603.85368759978,0.43216614595510483,0.2934950299153562,0.2934950299153562,0.6833532474839794,0.0,0.6349206349206349,0.19085687380364727,1.0,0.9947223296583559,"[418, 273, 705, 134, 142, 488, 0, 1, 1, 1, 0, 1, 787, 239, 749, 349]"
Sol #4,34202338.01328004,103603.85368759978,0.43216614595510483,0.2934950299153562,0.2934950299153562,0.6833532474839794,0.0,0.6349206349206349,0.19085687380364727,1.0,0.9947223296583559,"[418, 273, 705, 134, 142, 488, 0, 1, 1, 1, 0, 1, 383, 239, 73, 349]"
Sol #5,34202338.01328004,103603.85368759978,0.43216614595510483,0.2934950299153562,0.2934950299153562,0.6833532474839794,0.0,0.6349206349206349,0.19085687380364727,1.0,0.9947223296583559,"[418, 273, 705, 134, 142, 488, 0, 1, 1, 1, 0, 1, 703, 239, 73, 349]"
Sol #6,34202338.01328004,103603.85368759978,0.43216614595510483,0.2934950299153562,0.2934950299153562,0.6833532474839794,0.0,0.6349206349206349,0.19085687380364727,1.0,0.9947223296583559,"[418, 273, 705, 134, 142, 488, 0, 1, 1, 1, 0, 1, 787, 239, 73, 349]"
Sol #7,34590171.56400005,104366.95211319978,0.4377818151896432,0.29332471821335127,0.29332471821335127,0.6833470613907202,0.0,0.6349206349206349,0.19085687380364727,1.0,0.9947223296583559,"[418, 273, 705, 134, 142, 505, 0, 1, 1, 1, 0, 1, 787, 239, 73, 349]"
Sol #8,35044104.26272005,105558.13596599977,0.44525597228804614,0.2892576150330991,0.2892576150330991,0.6473649687506755,0.0,0.6349206349206349,0.20717412450292141,1.0,0.9868262804620433,"[418, 461, 705, 134, 142, 294, 0, 1, 1, 1, 0, 1, 787, 239, 946, 349]"
Sol #9,35044104.26272005,105558.13596599977,0.44525597228804614,0.2892576150330991,0.2892576150330991,0.6473649687506755,0.0,0.6349206349206349,0.20717412450292141,1.0,0.9868262804620433,"[418, 461, 705, 134, 142, 294, 0, 1, 1, 1, 0, 1, 703, 239, 73, 349]"
Sol #10,35137563.18088004,106558.67809959977,0.44907921372586634,0.28874458501272826,0.28874458501272826,0.679413874816805,0.0,0.6349206349206349,0.18042973839991028,1.0,0.9606973252011709,"[729, 273, 705, 134, 142, 488, 0, 1, 1, 0, 0, 1, 787, 239, 73, 349]"
Sol #11,35195705.80752004,106735.44566439975,0.4501097246800006,0.2881785442968369,0.2881785442968369,0.6786105499994949,0.0,0.6349206349206349,0.17619709625853144,1.0,0.911144876787549,"[606, 273, 705, 134, 142, 557, 0, 1, 1, 1, 0, 1, 787, 239, 73, 349]"
Sol #12,35495262.377440035,106730.79153319976,0.45265042681833256,0.2860884787466036,0.2860884787466036,0.6681093042923179,0.0,0.6349206349206349,0.19181631022552703,1.0,0.9823584735872248,"[606, 273, 836, 134, 142, 488, 0, 1, 1, 1, 0, 1, 383, 239, 73, 349]"
Sol #13,35537523.614400044,107102.50025719976,0.45413509896173193,0.27879963236063177,0.27879963236063177,0.6403037386269583,0.0,0.6349206349206349,0.19121541430752612,1.0,0.9535723355574055,"[418, 616, 705, 134, 142, 488, 0, 1, 1, 1, 0, 1, 787, 239, 73, 349]"
Sol #14,36299552.771040045,108818.72439799974,0.4658248697524068,0.2767747909202664,0.2767747909202664,0.6325647197856451,0.0,0.6349206349206349,0.1912987915928456,1.0,0.945583342931114,"[418, 713, 705, 134, 142, 488, 0, 1, 1, 1, 0, 1, 703, 239, 73, 349]"
Sol #15,36925497.12008002,108979.97718759987,0.4716509726515413,0.26955041349455905,0.26955041349455905,0.5650241217933246,0.0,0.6349206349206349,0.19085687380364727,1.0,0.9947223296583559,"[418, 273, 705, 134, 142, 488, 0, 1, 1, 1, 0, 1, 787, 276, 73, 349]"
Sol #16,37427381.38068004,108676.46700519984,0.47501333328867956,0.26637316988637544,0.26637316988637544,0.6444050757008073,0.0,0.6349206349206349,0.20020365926061598,1.0,0.972148947696304,"[418, 869, 705, 51, 502, 294, 0, 1, 1, 1, 0, 1, 691, 239, 73, 270]"
Sol #17,37427381.38068004,108676.46700519984,0.47501333328867956,0.26637316988637544,0.26637316988637544,0.6444050757008073,0.0,0.6349206349206349,0.20020365926061598,1.0,0.972148947696304,"[418, 869, 705, 51, 502, 294, 0, 1, 1, 1, 0, 1, 691, 239, 521, 270]"
Sol #18,37896000.812040046,109345.86448679985,0.48103458604282634,0.26329437664195576,0.26329437664195576,0.6432330536468572,0.0,0.6349206349206349,0.19925596181454228,1.0,0.993669826434535,"[418, 869, 836, 51, 502, 294, 0, 1, 0, 1, 0, 1, 691, 239, 946, 270]"
Sol #19,38415316.59924005,110613.14712159985,0.48929652846446947,0.26222330973744173,0.26222330973744173,0.6482796451694962,0.0,0.6349206349206349,0.19503394219795245,1.0,0.9871275863973995,"[418, 869, 836, 134, 502, 294, 0, 0, 0, 1, 0, 1, 703, 239, 521, 270]"
Sol #20,38636351.99828005,111207.68242079983,0.4929798288908053,0.257563820536621,0.257563820536621,0.6420642574084323,0.0,0.6349206349206349,0.17676940742067274,1.0,0.9321485073017879,"[418, 869, 836, 134, 502, 488, 0, 1, 1, 0, 0, 1, 691, 239, 521, 270]"
Sol #21,40534714.99068,121304.2030483998,0.5397073549406743,0.2545208665864097,0.2545208665864097,0.6075326153648319,0.0,0.6349206349206349,0.19134370472122023,1.0,0.867581263735493,"[729, 869, 705, 51, 502, 108, 0, 1, 1, 0, 1, 0, 224, 239, 521, 413]"
