Solution_ID,col_sec_grp_0,col_sec_grp_1,col_sec_grp_2,col_sec_grp_3,col_sec_grp_4,col_sec_grp_5,col_rot_grp_0,col_rot_grp_1,col_rot_grp_2,col_rot_grp_3,col_rot_grp_4,col_rot_grp_5,beam_sec_grp_0,beam_sec_grp_1,beam_sec_grp_2,beam_sec_grp_3
Sol #1,526,560,754,57,313,248,0,0,1,1,1,1,195,185,212,173
Sol #2,526,560,792,57,283,207,0,0,1,0,1,0,222,185,212,173
Sol #3,526,560,737,57,283,248,0,0,1,0,1,0,195,185,212,251
Sol #4,526,560,737,57,283,248,0,0,1,1,1,0,195,185,212,236
Sol #5,526,560,779,57,283,207,0,1,1,0,1,0,280,185,212,173
Sol #6,526,560,737,57,283,248,0,0,1,1,0,1,195,185,212,400
Sol #7,571,560,737,212,283,207,0,1,1,0,1,0,222,185,212,380
Sol #8,526,560,737,57,313,248,1,0,1,1,1,1,368,185,212,173
Sol #9,526,560,737,57,313,248,0,0,1,1,1,1,355,185,212,173
Sol #10,571,560,737,57,283,231,0,1,1,0,1,0,222,295,212,173
Sol #11,526,560,737,57,283,248,0,0,0,1,1,1,195,185,212,368
Sol #12,526,560,737,57,283,248,0,1,1,1,0,0,222,185,212,402
Sol #13,571,560,737,57,283,248,0,0,1,0,1,0,222,389,212,173
Sol #14,526,560,737,286,313,248,0,0,1,1,1,1,195,185,212,388
Sol #15,526,560,884,57,283,248,0,0,1,1,1,0,222,185,212,556
Sol #16,526,560,754,57,313,248,0,0,1,1,1,1,416,737,212,173
Sol #17,571,560,737,212,283,207,0,1,1,0,1,0,222,680,212,173
Sol #18,526,560,737,57,313,248,0,0,1,1,1,1,346,185,212,686
Sol #19,297,560,737,57,283,248,0,0,1,1,1,1,369,570,212,549
Sol #20,329,962,743,42,307,344,1,1,1,1,0,0,389,651,335,267
Sol #21,571,560,779,29,283,517,0,1,1,1,1,0,222,910,212,463
Sol #22,370,640,939,263,449,414,0,0,0,0,0,0,700,932,804,265
Sol #23,748,949,775,340,516,198,1,0,1,1,0,1,834,580,578,356
