ID,cost,co2,fitness1_obj,fitness2_obj,mean_strength_ratio,max_strength_ratio,violation,violation_deflection,violation_drift,violation_hierarchy,violation_wind_disp,individual_genes
Sol #1,32099334.337880075,98667.27733183988,0.3992997619287211,0.30640307885433504,0.30640307885433504,0.7025156744713319,0.0,0.6349206349206349,0.23540428788230675,1.0,0.9986414055101245,"[707, 580, 718, 373, 244, 110, 0, 0, 0, 1, 0, 1, 703, 239, 738, 197]"
Sol #2,32404718.769480087,99188.76776783989,0.4034815093610391,0.3042663584971785,0.3042663584971785,0.7041777221051181,0.0,0.6349206349206349,0.2537866166020777,1.0,0.9991652226251568,"[707, 580, 718, 495, 244, 110, 0, 0, 0, 1, 0, 1, 427, 239, 738, 197]"
Sol #3,32404718.769480087,99188.76776783989,0.4034815093610391,0.3042663584971785,0.3042663584971785,0.7041777221051181,0.0,0.6349206349206349,0.2537866166020777,1.0,0.9991652226251568,"[707, 580, 718, 495, 244, 110, 0, 0, 0, 1, 0, 1, 703, 239, 91, 197]"
Sol #4,32404718.769480087,99188.76776783989,0.4034815093610391,0.3042663584971785,0.3042663584971785,0.7041777221051181,0.0,0.6349206349206349,0.2537866166020777,1.0,0.9991652226251568,"[707, 580, 718, 495, 244, 110, 0, 0, 0, 1, 0, 1, 392, 239, 738, 197]"
Sol #5,32404718.769480087,99188.76776783989,0.4034815093610391,0.3042663584971785,0.3042663584971785,0.7041777221051181,0.0,0.6349206349206349,0.2537866166020777,1.0,0.9991652226251568,"[707, 580, 718, 495, 244, 110, 0, 0, 0, 1, 0, 1, 703, 239, 663, 197]"
Sol #6,32404718.769480087,99188.76776783989,0.4034815093610391,0.3042663584971785,0.3042663584971785,0.7041777221051181,0.0,0.6349206349206349,0.2537866166020777,1.0,0.9991652226251568,"[707, 580, 718, 495, 244, 110, 0, 0, 0, 1, 0, 1, 703, 239, 738, 197]"
Sol #7,32605247.862280093,99744.1104471999,0.4068713816209856,0.30142238847751324,0.30142238847751324,0.7208958741400604,0.0,0.6349206349206349,0.23365331158125374,1.0,0.9649938752591354,"[707, 580, 718, 495, 244, 200, 0, 0, 0, 1, 0, 1, 703, 239, 738, 197]"
Sol #8,32892096.215560086,100308.63035119993,0.41102518755113715,0.29804315405980175,0.29804315405980175,0.7208884294215065,0.0,0.6349206349206349,0.23365331158125374,1.0,0.9649938752591354,"[707, 580, 718, 495, 244, 308, 0, 0, 0, 1, 0, 1, 703, 239, 738, 197]"
Sol #9,32940737.480360083,101151.0095943999,0.4139878310086106,0.2948606478713045,0.2948606478713045,0.7613108584978229,0.0,0.6349206349206349,0.1878080632396403,1.0,0.9215520209587552,"[707, 571, 718, 495, 244, 446, 0, 0, 0, 1, 0, 1, 703, 239, 738, 197]"
Sol #10,34372257.73492009,104214.64684559987,0.4354626769812092,0.2921843936038401,0.2921843936038401,0.7445604433931158,0.0,0.6349206349206349,0.19193509389668748,1.0,0.8495893302173133,"[707, 571, 718, 495, 423, 409, 0, 1, 0, 1, 1, 0, 703, 239, 738, 197]"
Sol #11,34372257.73492009,104214.64684559987,0.4354626769812092,0.2921843936038401,0.2921843936038401,0.7445604433931158,0.0,0.6349206349206349,0.19193509389668748,1.0,0.8495893302173133,"[707, 571, 718, 495, 423, 409, 0, 1, 0, 1, 1, 0, 703, 239, 885, 197]"
Sol #12,36779204.393080026,107381.94721599984,0.4655700138966804,0.2676410948446987,0.2676410948446987,0.6785442206480136,0.0,0.6349206349206349,0.19467274108235938,1.0,0.952665303502344,"[596, 565, 705, 393, 423, 409, 0, 1, 0, 0, 1, 0, 703, 239, 946, 270]"
Sol #13,37299454.22608002,114728.74740983977,0.4922276303694967,0.2668272345930642,0.2668272345930642,0.6165551711752089,0.0,0.6349206349206349,0.1997083016765533,1.0,0.9460167977437166,"[707, 580, 718, 495, 244, 110, 0, 0, 0, 0, 0, 1, 703, 239, 738, 425]"
Sol #14,38593132.46372007,111333.70637439984,0.4929923933156827,0.26446317875652403,0.26446317875652403,0.6060231725572952,0.0,0.6349206349206349,0.18513803395983058,1.0,0.9719636800557446,"[661, 612, 713, 393, 423, 409, 0, 0, 1, 0, 0, 1, 426, 239, 682, 270]"
Sol #15,40616383.234719984,116453.92603839983,0.525734037341874,0.25796283307936874,0.25796283307936874,0.712671415966101,0.0,0.6349206349206349,0.17876547487159206,1.0,0.9796175735907067,"[567, 612, 852, 393, 423, 409, 0, 0, 1, 0, 0, 1, 426, 386, 738, 197]"
Sol #16,41145871.60528002,124215.62254384012,0.5537253130378876,0.21726105767432005,0.21726105767432005,0.440368302354827,0.0,0.47619047619047616,0.25154608131130174,1.0,0.9880538281183855,"[707, 580, 718, 495, 244, 110, 0, 0, 0, 1, 0, 1, 703, 348, 738, 487]"
Sol #17,44007026.26967994,139544.9476918402,0.6244908372154854,0.21385609454612273,0.21385609454612273,0.4495172142144573,0.0,0.3007518796992481,0.2434963821374993,1.0,0.9129448714778317,"[707, 571, 718, 495, 244, 110, 0, 0, 0, 1, 0, 1, 703, 707, 738, 495]"
