gen,nevals,avg,max,min,std,success_rate,valid_ratio,avg_cost,max_cost,min_cost,std_cost,avg_co2,max_co2,min_co2,std_co2,avg_dcr,max_dcr,min_dcr,std_dcr,best_margins,min_AM_str,min_AM_drift,min_AM_wind,min_AM_defl,min_AM_hier,min_NM_str,min_NM_drift,min_NM_wind,min_NM_defl,min_NM_hier,hof_avg_cost,hof_max_cost,hof_min_cost,hof_std_cost,hof_avg_co2,hof_max_co2,hof_min_co2,hof_std_co2,hof_avg_dcr,hof_max_dcr,hof_min_dcr,hof_std_dcr,hof_size
0,600,[0.63027759 0.35369807],[1.16530397 0.97414584],[0.29374044 0.19576108],[0.14299338 0.10231064],100.0,1.3333333333333335,53318947.25978998,61177721.06187995,45438972.23111997,4048073.927597892,159758.34747698996,179744.31089815983,140635.32511248018,10758.919465800818,0.28226869517805764,0.3080789610511352,0.2637204293802145,0.014998461371138696,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,48933569.975899935,52428167.72067991,45438972.23111997,3494597.7447799705,147989.04802604008,155342.77093959998,140635.32511248018,7353.722913559905,0.28347925606349744,0.3032380827467803,0.2637204293802145,0.01975882668328291,2
1,519,[0.6147291 0.3205863],[1.16530397 0.6179694 ],[0.29088845 0.19576108],[0.14567465 0.06004735],100.0,1.3333333333333335,53318947.25978998,61177721.06187995,45438972.23111997,4048073.927597892,159758.34747698996,179744.31089815983,140635.32511248018,10758.919465800818,0.28226869517805764,0.3080789610511352,0.2637204293802145,0.014998461371138696,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,48933569.975899935,52428167.72067991,45438972.23111997,3494597.7447799705,147989.04802604008,155342.77093959998,140635.32511248018,7353.722913559905,0.28347925606349744,0.3032380827467803,0.2637204293802145,0.01975882668328291,2
2,496,[0.57960438 0.31822393],[1.16530397 0.59937466],[0.31928819 0.19576108],[0.15456677 0.05555836],100.0,1.3333333333333335,53318947.25978998,61177721.06187995,45438972.23111997,4048073.927597892,159758.34747698996,179744.31089815983,140635.32511248018,10758.919465800818,0.28226869517805764,0.3080789610511352,0.2637204293802145,0.014998461371138696,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,48933569.975899935,52428167.72067991,45438972.23111997,3494597.7447799705,147989.04802604008,155342.77093959998,140635.32511248018,7353.722913559905,0.28347925606349744,0.3032380827467803,0.2637204293802145,0.01975882668328291,2
3,504,[0.50862314 0.3380226 ],[1.16530397 0.50296784],[0.29613365 0.19576108],[0.16088347 0.05722245],100.0,1.5,52399595.36867109,61177721.06187995,45044780.23971998,4618202.981019322,156990.95936034663,179744.31089815983,134851.8544272001,12812.503648644186,0.2839705476467822,0.3080789610511352,0.2637204293802145,0.014937516078779639,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,48736473.98019995,52428167.72067991,45044780.23971998,3691693.7404799648,145097.31268340006,155342.77093959998,134851.8544272001,10245.458256199941,0.2806528983883967,0.29758536739657887,0.2637204293802145,0.016932469008182183,2
4,494,[0.4173927  0.36499833],[0.96016935 0.45418808],[0.28307383 0.2024618 ],[0.08861676 0.04259406],100.0,1.5,52399595.36867109,61177721.06187995,45044780.23971998,4618202.981019322,156990.95936034663,179744.31089815983,134851.8544272001,12812.503648644186,0.2839705476467822,0.3080789610511352,0.2637204293802145,0.014937516078779639,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,48736473.98019995,52428167.72067991,45044780.23971998,3691693.7404799648,145097.31268340006,155342.77093959998,134851.8544272001,10245.458256199941,0.2806528983883967,0.29758536739657887,0.2637204293802145,0.016932469008182183,2
5,515,[0.39914801 0.36541536],[0.96016935 0.44666665],[0.29501584 0.24054738],[0.08840503 0.03675976],100.0,1.5,52399595.36867109,61177721.06187995,45044780.23971998,4618202.981019322,156990.95936034663,179744.31089815983,134851.8544272001,12812.503648644186,0.2839705476467822,0.3080789610511352,0.2637204293802145,0.014937516078779639,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,48736473.98019995,52428167.72067991,45044780.23971998,3691693.7404799648,145097.31268340006,155342.77093959998,134851.8544272001,10245.458256199941,0.2806528983883967,0.29758536739657887,0.2637204293802145,0.016932469008182183,2
6,490,[0.39683044 0.36621185],[0.89251605 0.45022904],[0.29501584 0.25212837],[0.0839228  0.03612285],100.0,1.5,52399595.36867109,61177721.06187995,45044780.23971998,4618202.981019322,156990.95936034663,179744.31089815983,134851.8544272001,12812.503648644186,0.2839705476467822,0.3080789610511352,0.2637204293802145,0.014937516078779639,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,48736473.98019995,52428167.72067991,45044780.23971998,3691693.7404799648,145097.31268340006,155342.77093959998,134851.8544272001,10245.458256199941,0.2806528983883967,0.29758536739657887,0.2637204293802145,0.016932469008182183,2
7,505,[0.39444328 0.36790192],[0.89251605 0.4379115 ],[0.29689778 0.25212837],[0.0821489  0.03524248],100.0,1.5,52399595.36867109,61177721.06187995,45044780.23971998,4618202.981019322,156990.95936034663,179744.31089815983,134851.8544272001,12812.503648644186,0.2839705476467822,0.3080789610511352,0.2637204293802145,0.014937516078779639,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,48736473.98019995,52428167.72067991,45044780.23971998,3691693.7404799648,145097.31268340006,155342.77093959998,134851.8544272001,10245.458256199941,0.2806528983883967,0.29758536739657887,0.2637204293802145,0.016932469008182183,2
8,501,[0.38781517 0.37190518],[0.89251605 0.4379115 ],[0.29312292 0.25212837],[0.08387324 0.03543432],100.0,1.5,52399595.36867109,61177721.06187995,45044780.23971998,4618202.981019322,156990.95936034663,179744.31089815983,134851.8544272001,12812.503648644186,0.2839705476467822,0.3080789610511352,0.2637204293802145,0.014937516078779639,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,48736473.98019995,52428167.72067991,45044780.23971998,3691693.7404799648,145097.31268340006,155342.77093959998,134851.8544272001,10245.458256199941,0.2806528983883967,0.29758536739657887,0.2637204293802145,0.016932469008182183,2
9,488,[0.38389118 0.3736584 ],[0.89251605 0.4379115 ],[0.3101001 0.2574007],[0.08055018 0.03382805],100.0,1.5,52399595.36867109,61177721.06187995,45044780.23971998,4618202.981019322,156990.95936034663,179744.31089815983,134851.8544272001,12812.503648644186,0.2839705476467822,0.3080789610511352,0.2637204293802145,0.014937516078779639,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,48736473.98019995,52428167.72067991,45044780.23971998,3691693.7404799648,145097.31268340006,155342.77093959998,134851.8544272001,10245.458256199941,0.2806528983883967,0.29758536739657887,0.2637204293802145,0.016932469008182183,2
10,516,[0.37562299 0.37295918],[0.89251605 0.43720882],[0.32385915 0.2574007 ],[0.08059119 0.02889828],100.0,1.5,52399595.36867109,61177721.06187995,45044780.23971998,4618202.981019322,156990.95936034663,179744.31089815983,134851.8544272001,12812.503648644186,0.2839705476467822,0.3080789610511352,0.2637204293802145,0.014937516078779639,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,48736473.98019995,52428167.72067991,45044780.23971998,3691693.7404799648,145097.31268340006,155342.77093959998,134851.8544272001,10245.458256199941,0.2806528983883967,0.29758536739657887,0.2637204293802145,0.016932469008182183,2
11,503,[0.37397845 0.37256275],[0.89251605 0.43720882],[0.32385915 0.26372043],[0.08044616 0.02788357],100.0,1.5,52399595.36867109,61177721.06187995,45044780.23971998,4618202.981019322,156990.95936034663,179744.31089815983,134851.8544272001,12812.503648644186,0.2839705476467822,0.3080789610511352,0.2637204293802145,0.014937516078779639,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,48736473.98019995,52428167.72067991,45044780.23971998,3691693.7404799648,145097.31268340006,155342.77093959998,134851.8544272001,10245.458256199941,0.2806528983883967,0.29758536739657887,0.2637204293802145,0.016932469008182183,2
