ID,Cost,CO2,Max_Drift_Ratio,Max_Drift_Ratio_Percent,Mean_DCR,N_types,Fit1(CostCO2),Fit2(MaxDrift)
1,38854414.462177895,115432.56521169476,0.013538676970568365,1.3538676970568364,0.3478960032892679,8,0.18109648442983306,0.013538676970568365
2,38924378.471950114,115924.25706354638,0.01324957043936469,1.3249570439364688,0.3468651530502981,8,0.18321014447132963,0.01324957043936469
3,39157268.24656582,115916.33666414446,0.013169416296466178,1.3169416296466179,0.3537884145989914,7,0.18507373532494695,0.013169416296466178
4,39227232.256338045,116408.02851599608,0.012988529164934816,1.2988529164934817,0.3539167378017118,7,0.18718739536644358,0.012988529164934816
5,39381343.527466334,117051.29356163215,0.012840806312223629,1.284080631222363,0.34906152031661525,8,0.19046008721759788,0.012840806312223629
6,39452102.09412098,117500.75725010516,0.011180743447618621,1.1180743447618622,0.35426414942087353,8,0.1924473868536291,0.011180743447618621
7,39522066.1038932,117992.44910195678,0.010977755186608918,1.0977755186608917,0.35298613977356913,8,0.1945610468951257,0.010977755186608918
8,40053216.799856305,119259.30289132534,0.010805643783870991,1.080564378387099,0.3583748667257583,7,0.20285227164759972,0.010805643783870991
9,40207328.0709846,119902.56793696141,0.010709103967645002,1.0709103967645002,0.3504520118684895,8,0.2061249634987541,0.010709103967645002
10,40278086.63763925,120352.03162543442,0.009489535436189928,0.9489535436189929,0.35998696983666173,8,0.20811226313478534,0.009489535436189928
11,40348050.647411466,120843.72347728604,0.009383350128159825,0.9383350128159825,0.3577753180250337,8,0.21022592317628191,0.009383350128159825
12,40762096.69452988,122214.66025250159,0.009302734785625487,0.9302734785625486,0.35348377049707924,8,0.21789487890323406,0.009302734785625487
13,41185368.20571569,123172.0955952486,0.008551257297973658,0.8551257297973658,0.3520043976872558,8,0.22433822210396998,0.008551257297973658
14,41253477.88281467,123309.69667171813,0.00855061648154346,0.855061648154346,0.3571015612159823,8,0.22532326443381895,0.00855061648154346
15,41260277.51904514,123321.1651287742,0.008550490179350731,0.8550490179350732,0.3511950659233579,8,0.22541446976239254,0.008550490179350731
16,41255332.21548791,123663.78744710021,0.00831159896459476,0.831159896459476,0.352186605797471,8,0.22645188214546658,0.00831159896459476
17,41323441.892586894,123801.38852356974,0.008310980667102494,0.8310980667102494,0.3534828872471684,8,0.22743692447531555,0.008310980667102494
18,41330241.528817356,123812.8569806258,0.008310858803290773,0.8310858803290774,0.34879308878603343,8,0.22752812980388903,0.008310858803290773
19,41621629.32530077,125130.22775495879,0.008240173508083464,0.8240173508083464,0.3533321341105909,8,0.23403399174220457,0.008240173508083464
20,41669378.262606315,125034.72422231577,0.008090845486857625,0.8090845486857625,0.3484144919121264,8,0.2341208378724186,0.008090845486857625
21,41691593.335072994,125621.91960681039,0.007996738874840146,0.7996738874840146,0.35388640409623445,8,0.23614765178370117,0.007996738874840146
22,41759703.01217197,125759.52068327992,0.007996167413671736,0.7996167413671736,0.35556387402960843,8,0.2371326941135501,0.007996167413671736
23,41766502.64840243,125770.98914033598,0.007996054780969371,0.7996054780969372,0.35113461827514497,8,0.2372238994421236,0.007996054780969371
24,42112523.967472225,125309.91430109697,0.007868273110370583,0.7868273110370583,0.34422115391604363,8,0.2385797457973637,0.007868273110370583
25,42182487.977244444,125801.60615294859,0.007861935820187951,0.7861935820187951,0.34168052827080064,8,0.24069340583886029,0.007861935820187951
26,42105639.38219139,126992.85638202594,0.0077978048206953175,0.7797804820695318,0.35182294487953614,8,0.24381660751065315,0.0077978048206953175
27,42828716.24609093,126322.36628593503,0.007734935678698496,0.7734935678698496,0.33773857565543725,8,0.24757140114193263,0.007734935678698496
28,43019805.535548665,128129.97827091115,0.007302607331551358,0.7302607331551357,0.3424574883449853,8,0.2548057047665483,0.007302607331551358
29,43045169.475070976,128187.03373176546,0.007302440064502156,0.7302440064502156,0.344688113664878,8,0.25519081443691516,0.007302440064502156
30,43087915.21264764,128267.57934738068,0.007302076434445304,0.7302076434445304,0.3427423372690191,8,0.25579074709639726,0.007302076434445304
31,43089769.54532088,128621.67012276276,0.007268108504848098,0.7268108504848098,0.3386934295229887,8,0.2569193648080449,0.007268108504848098
32,43433851.582667045,129500.9150461267,0.0070721830761135505,0.7072183076113551,0.3400446705045365,8,0.26247466049350016,0.0070721830761135505
33,43501961.25976602,129638.51612259624,0.007071669512416364,0.7071669512416364,0.34158594017098504,8,0.26345970282334913,0.007071669512416364
34,43503815.592439264,129992.60689797832,0.007014582482403995,0.7014582482403995,0.33832084064688633,8,0.26458832053499676,0.007014582482403995
35,43870112.70225211,131459.0472058369,0.006978126401743062,0.6978126401743062,0.34260491865516673,8,0.2721704301317347,0.006978126401743062
36,43945022.015581556,131608.11673936248,0.006977549388991451,0.6977549388991451,0.3386348452284288,8,0.2732466777901572,0.006977549388991451
37,43940076.71202434,131950.7390576885,0.006948920709028453,0.6948920709028453,0.33699066171001,8,0.2742840901732313,0.006948920709028453
38,44850788.27875425,133173.00591455103,0.006940071851649259,0.6940071851649259,0.35398141006496614,8,0.285512946857687,0.006940071851649259
39,45052441.38102469,134331.1837987746,0.006922882027302412,0.6922882027302412,0.357615743129162,8,0.29079050537413986,0.006922882027302412
40,45389690.22103499,133917.74803054656,0.006918625609534509,0.6918625609534509,0.3463474812992514,8,0.29222503605872474,0.006918625609534509
41,45287049.39833932,135131.13807426122,0.006883956107386062,0.6883956107386062,0.3562193076410847,8,0.2952087164959216,0.006883956107386062
42,45667838.56576569,135556.19807722408,0.006825210009320175,0.6825210009320175,0.33212316070004055,8,0.29963330247649067,0.006825210009320175
43,46431096.00197786,136304.16493989353,0.006800141702766223,0.6800141702766223,0.31881912050637656,8,0.3081748285727862,0.006800141702766223
44,46414057.98424271,137142.96526134407,0.0065803621885601946,0.6580362188560195,0.28936231921247124,8,0.3106746127449216,0.0065803621885601946
45,46587614.935083374,137493.67163700075,0.006399462730342807,0.6399462730342806,0.29957420537642515,8,0.3131849208402744,0.006399462730342807
46,47779407.40649593,140300.18222914866,0.0063918880731842435,0.6391888073184243,0.29025227649003554,8,0.331675350464976,0.0063918880731842435
47,47841308.85888042,141056.8849133125,0.006320058046064098,0.6320058046064098,0.31471485763327467,8,0.33455706456999157,0.006320058046064098
48,49489598.71641303,146540.7866345878,0.00628364634733668,0.628364634733668,0.2802523903481539,8,0.3651693587310972,0.00628364634733668
49,50173305.33736288,147768.650587602,0.006253274407332538,0.6253274407332537,0.27688767749161336,8,0.3745750379897723,0.006253274407332538
50,59508571.50812473,168979.9624247958,0.006204655499678595,0.6204655499678595,0.25532098930144964,8,0.5169820803429164,0.006204655499678595
51,62155670.201062776,176900.67005204945,0.005874694081201139,0.587469408120114,0.2298033295855235,8,0.5633572174970001,0.005874694081201139
52,67210574.33745587,196315.60112053223,0.005755919039702272,0.5755919039702272,0.23237665466553584,8,0.6654054251082573,0.005755919039702272
53,67279316.20068355,198787.75207536927,0.005654567255612911,0.5654567255612911,0.2302581109931038,8,0.6737375255136411,0.005654567255612911
