gen,nevals,avg,std,min,valid_ratio,avg_cost,avg_co2,avg_dcr,hof_size
0,100,[0.64795905 0.29996618],[0.18193691 0.12305992],[0.34013548 0.15751821],0.0,0.0,0.0,0.0,0
1,84,[0.65371704 0.26822709],[0.17616178 0.06102334],[0.331649   0.15751821],0.0,0.0,0.0,0.0,0
2,91,[0.65099395 0.25897814],[0.17267293 0.04929071],[0.38000938 0.15751821],0.0,0.0,0.0,0.0,0
3,84,[0.60941698 0.26496972],[0.18142219 0.04675221],[0.38000938 0.15751821],0.0,0.0,0.0,0.0,0
4,83,[0.57800612 0.26725942],[0.16923106 0.04441134],[0.40183911 0.15751821],2.0,40684834.11764007,119337.59184479984,0.26527418364818767,2
5,84,[0.48971151 0.28038548],[0.05016453 0.03004205],[0.43003097 0.21209039],3.0,41057371.461586736,120635.72984799983,0.26060472399636003,3
6,89,[0.48832594 0.28389336],[0.04135535 0.02759636],[0.40781329 0.21209039],3.0,41057371.461586736,120635.72984799983,0.26060472399636003,3
7,82,[0.4927053  0.27462365],[0.04008318 0.01732117],[0.40781329 0.21209039],3.0,41057371.461586736,120635.72984799983,0.26060472399636003,3
8,81,[0.48686346 0.27625247],[0.04551428 0.01697039],[0.40781329 0.21209039],3.0,41057371.461586736,120635.72984799983,0.26060472399636003,3
9,83,[0.50362947 0.26983715],[0.0521227  0.01446291],[0.43535843 0.20670586],5.0,45329472.86484003,133364.01027307194,0.2449361432879323,4
10,79,[0.4910421  0.27096173],[0.05757941 0.01464379],[0.43535843 0.20670586],5.0,45329472.86484003,133364.01027307194,0.2449361432879323,4
11,84,[0.48896891 0.27095004],[0.05817811 0.01507041],[0.43535843 0.20670586],5.0,45329472.86484003,133364.01027307194,0.2449361432879323,4
12,87,[0.48726871 0.27044087],[0.0664575 0.0147697],[0.43535843 0.20670586],6.0,46996590.63439336,140330.59746437328,0.24706709623686438,4
13,80,[0.48906924 0.26992034],[0.07646596 0.01460086],[0.45147247 0.20670586],7.000000000000001,48244559.07740002,145057.42493076564,0.24815910590692294,4
14,85,[0.48982474 0.26998792],[0.07646399 0.01463505],[0.45147247 0.20670586],7.000000000000001,48244559.07740002,145057.42493076564,0.24815910590692294,4
15,78,[0.4909387  0.26996802],[0.07670818 0.01463098],[0.45147247 0.20670586],7.000000000000001,48244559.07740002,145057.42493076564,0.24815910590692294,4
16,93,[0.49777771 0.2690852 ],[0.08366454 0.01506304],[0.44492182 0.20670586],9.0,47662453.04179112,143195.96444745775,0.2486549055976126,5
17,81,[0.49748835 0.26896797],[0.08384581 0.01503969],[0.44492182 0.20670586],9.0,47662453.04179112,143195.96444745775,0.2486549055976126,5
18,86,[0.49522365 0.26857298],[0.08514663 0.01492612],[0.44492182 0.20670586],9.0,47662453.04179112,143195.96444745775,0.2486549055976126,5
19,90,[0.49479945 0.26806082],[0.08574428 0.01489998],[0.44492182 0.20670586],9.0,47662453.04179112,143195.96444745775,0.2486549055976126,5
