Solution_ID,col_grp_0_ID,col_grp_0_Rot,col_grp_0_h,col_grp_0_b,col_grp_0_fck,col_grp_0_fy,col_grp_0_required_rebar,col_grp_0_MainRebar_size,col_grp_0_Stirrup_size,col_grp_0_Stirrup_verticle_size,col_grp_1_ID,col_grp_1_Rot,col_grp_1_h,col_grp_1_b,col_grp_1_fck,col_grp_1_fy,col_grp_1_required_rebar,col_grp_1_MainRebar_size,col_grp_1_Stirrup_size,col_grp_1_Stirrup_verticle_size,col_grp_2_ID,col_grp_2_Rot,col_grp_2_h,col_grp_2_b,col_grp_2_fck,col_grp_2_fy,col_grp_2_required_rebar,col_grp_2_MainRebar_size,col_grp_2_Stirrup_size,col_grp_2_Stirrup_verticle_size,col_grp_3_ID,col_grp_3_Rot,col_grp_3_h,col_grp_3_b,col_grp_3_fck,col_grp_3_fy,col_grp_3_required_rebar,col_grp_3_MainRebar_size,col_grp_3_Stirrup_size,col_grp_3_Stirrup_verticle_size,beam_grp_0_ID,beam_grp_0_h,beam_grp_0_b,beam_grp_0_fck,beam_grp_0_fy,beam_grp_0_N_r,beam_grp_0_dimension,beam_grp_0_stirrup,beam_grp_0_strup_space,beam_grp_1_ID,beam_grp_1_h,beam_grp_1_b,beam_grp_1_fck,beam_grp_1_fy,beam_grp_1_N_r,beam_grp_1_dimension,beam_grp_1_stirrup,beam_grp_1_strup_space,beam_grp_2_ID,beam_grp_2_h,beam_grp_2_b,beam_grp_2_fck,beam_grp_2_fy,beam_grp_2_N_r,beam_grp_2_dimension,beam_grp_2_stirrup,beam_grp_2_strup_space,beam_grp_3_ID,beam_grp_3_h,beam_grp_3_b,beam_grp_3_fck,beam_grp_3_fy,beam_grp_3_N_r,beam_grp_3_dimension,beam_grp_3_stirrup,beam_grp_3_strup_space
22,330,104,1000.0,800.0,27.0,400.0,22.0,29.0,10.0,100.0,219,264,900.0,700.0,27.0,500.0,24.0,25.0,13.0,300.0,37,129,600.0,600.0,35.0,400.0,14.0,32.0,10.0,350.0,81,58,700.0,650.0,27.0,500.0,22.0,25.0,10.0,400.0,104,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,264,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,129,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
23,493,104,900.0,850.0,35.0,500.0,26.0,29.0,13.0,250.0,219,188,900.0,700.0,27.0,500.0,24.0,25.0,13.0,300.0,37,421,600.0,600.0,35.0,400.0,14.0,32.0,10.0,350.0,45,91,700.0,650.0,35.0,400.0,10.0,29.0,10.0,350.0,104,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,188,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,421,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,493,104,900.0,850.0,35.0,500.0,26.0,29.0,13.0,250.0,219,305,900.0,700.0,27.0,500.0,24.0,25.0,13.0,300.0,80,129,800.0,650.0,30.0,500.0,14.0,25.0,10.0,250.0,81,91,700.0,650.0,27.0,500.0,22.0,25.0,10.0,400.0,104,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,305,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,129,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
25,330,104,1000.0,800.0,27.0,400.0,22.0,29.0,10.0,100.0,183,384,750.0,700.0,35.0,400.0,16.0,32.0,10.0,350.0,37,129,600.0,600.0,35.0,400.0,14.0,32.0,10.0,350.0,81,58,700.0,650.0,27.0,500.0,22.0,25.0,10.0,400.0,104,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,384,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,129,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
26,330,104,1000.0,800.0,27.0,400.0,22.0,29.0,10.0,100.0,331,463,850.0,750.0,40.0,400.0,20.0,29.0,10.0,150.0,37,129,600.0,600.0,35.0,400.0,14.0,32.0,10.0,350.0,45,91,700.0,650.0,35.0,400.0,10.0,29.0,10.0,350.0,104,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,463,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,129,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
27,443,104,1050.0,900.0,27.0,500.0,16.0,32.0,10.0,450.0,331,145,850.0,750.0,40.0,400.0,20.0,29.0,10.0,150.0,219,400,900.0,700.0,27.0,500.0,24.0,25.0,13.0,300.0,81,75,700.0,650.0,27.0,500.0,22.0,25.0,10.0,400.0,104,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,145,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,400,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
28,330,169,1000.0,800.0,27.0,400.0,22.0,29.0,10.0,100.0,331,471,850.0,750.0,40.0,400.0,20.0,29.0,10.0,150.0,103,129,850.0,650.0,27.0,400.0,20.0,25.0,10.0,150.0,81,91,700.0,650.0,27.0,500.0,22.0,25.0,10.0,400.0,169,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,471,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,129,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29,443,169,1050.0,900.0,27.0,500.0,16.0,32.0,10.0,450.0,331,188,850.0,750.0,40.0,400.0,20.0,29.0,10.0,150.0,103,400,850.0,650.0,27.0,400.0,20.0,25.0,10.0,150.0,81,91,700.0,650.0,27.0,500.0,22.0,25.0,10.0,400.0,169,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,188,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,400,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30,443,104,1050.0,900.0,27.0,500.0,16.0,32.0,10.0,450.0,331,188,850.0,750.0,40.0,400.0,20.0,29.0,10.0,150.0,103,400,850.0,650.0,27.0,400.0,20.0,25.0,10.0,150.0,81,75,700.0,650.0,27.0,500.0,22.0,25.0,10.0,400.0,104,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,188,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,400,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31,493,104,900.0,850.0,35.0,500.0,26.0,29.0,13.0,250.0,331,396,850.0,750.0,40.0,400.0,20.0,29.0,10.0,150.0,37,176,600.0,600.0,35.0,400.0,14.0,32.0,10.0,350.0,81,91,700.0,650.0,27.0,500.0,22.0,25.0,10.0,400.0,104,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,396,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,176,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32,443,104,1050.0,900.0,27.0,500.0,16.0,32.0,10.0,450.0,219,275,900.0,700.0,27.0,500.0,24.0,25.0,13.0,300.0,80,355,800.0,650.0,30.0,500.0,14.0,25.0,10.0,250.0,81,102,700.0,650.0,27.0,500.0,22.0,25.0,10.0,400.0,104,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,275,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,355,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33,443,103,1050.0,900.0,27.0,500.0,16.0,32.0,10.0,450.0,331,197,850.0,750.0,40.0,400.0,20.0,29.0,10.0,150.0,330,272,1000.0,800.0,27.0,400.0,22.0,29.0,10.0,100.0,81,102,700.0,650.0,27.0,500.0,22.0,25.0,10.0,400.0,103,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,197,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,272,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34,443,122,1050.0,900.0,27.0,500.0,16.0,32.0,10.0,450.0,331,303,850.0,750.0,40.0,400.0,20.0,29.0,10.0,150.0,330,467,1000.0,800.0,27.0,400.0,22.0,29.0,10.0,100.0,218,42,950.0,650.0,30.0,400.0,16.0,32.0,13.0,450.0,122,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,303,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,467,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
35,691,108,1350.0,950.0,27.0,400.0,28.0,32.0,13.0,150.0,459,492,1200.0,800.0,27.0,500.0,16.0,32.0,13.0,500.0,330,355,1000.0,800.0,27.0,400.0,22.0,29.0,10.0,100.0,81,102,700.0,650.0,27.0,500.0,22.0,25.0,10.0,400.0,108,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,492,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,355,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36,691,236,1350.0,950.0,27.0,400.0,28.0,32.0,13.0,150.0,459,367,1200.0,800.0,27.0,500.0,16.0,32.0,13.0,500.0,521,483,1100.0,750.0,30.0,400.0,30.0,32.0,13.0,450.0,220,191,850.0,700.0,30.0,400.0,22.0,29.0,13.0,300.0,236,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,367,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,483,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,191,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37,691,451,1350.0,950.0,27.0,400.0,28.0,32.0,13.0,150.0,459,444,1200.0,800.0,27.0,500.0,16.0,32.0,13.0,500.0,521,211,1100.0,750.0,30.0,400.0,30.0,32.0,13.0,450.0,157,187,900.0,650.0,35.0,500.0,8.0,32.0,10.0,150.0,451,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,444,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,211,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,187,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
38,691,297,1350.0,950.0,27.0,400.0,28.0,32.0,13.0,150.0,459,420,1200.0,800.0,27.0,500.0,16.0,32.0,13.0,500.0,521,487,1100.0,750.0,30.0,400.0,30.0,32.0,13.0,450.0,534,187,1000.0,950.0,35.0,400.0,18.0,32.0,13.0,100.0,297,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,420,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,487,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,187,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
39,691,190,1350.0,950.0,27.0,400.0,28.0,32.0,13.0,150.0,459,494,1200.0,800.0,27.0,500.0,16.0,32.0,13.0,500.0,521,483,1100.0,750.0,30.0,400.0,30.0,32.0,13.0,450.0,226,227,1000.0,700.0,30.0,400.0,12.0,32.0,10.0,100.0,190,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,494,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,483,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,227,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
