ID,Cost,CO2,Max_Drift_Ratio,Max_Drift_Ratio_Percent,Mean_DCR,N_types,Fit1(CostCO2),Fit2(MaxDrift)
1,30046420.403637677,95144.74258817466,0.01843096105595731,1.8430961055957311,0.09680473300614391,19,0.04586936734747765,0.9215480527978656
2,30237344.686796077,95714.34346686474,0.018386919906538485,1.8386919906538486,0.08954020140143308,20,0.049208908747765026,0.9193459953269242
3,30461770.862095676,96001.12959226176,0.017201686994452865,1.7201686994452865,0.09140180984944819,19,0.051930691678597755,0.8600843497226432
4,30521651.52471467,96301.03068718582,0.01716550748960742,1.7165507489607421,0.08830869267835104,19,0.05335942278128509,0.8582753744803711
5,30679411.211667076,96805.49109161618,0.017135387208799938,1.7135387208799937,0.0830698823834375,20,0.056225172522891484,0.8567693604399969
6,30864372.642090067,97168.78438252998,0.017024814489849098,1.7024814489849098,0.08893004576705256,20,0.05886754399540332,0.8512407244924549
7,30836884.271616578,97287.52485344622,0.015702994792605212,1.5702994792605212,0.08661187341464861,20,0.05901806840657971,0.7851497396302606
8,30850037.464032076,97262.93755242282,0.015296210919335728,1.5296210919335729,0.08321533505797252,20,0.05904740278549443,0.7648105459667864
9,30974543.08854921,97687.94978164653,0.014026724647424143,1.4026724647424142,0.09645285215399946,18,0.06139363906398844,0.7013362323712071
10,31067882.06189566,98165.39086327168,0.013503102637783424,1.3503102637783424,0.09371718508621275,19,0.0636520290567915,0.6751551318891712
11,31258806.34505406,98734.99174196176,0.013484886185995587,1.3484886185995586,0.089363816255122,20,0.06699157045707888,0.6742443092997793
12,31318687.007673055,99034.89283688583,0.013422745810714,1.3422745810713999,0.08776285308354347,20,0.06842030155976625,0.6711372905356999
13,31486098.22853846,99140.91412610553,0.013325171388397792,1.3325171388397792,0.08056752927000685,20,0.07011126328803649,0.6662585694198896
14,31472101.604152657,99490.30423832385,0.01324697898659477,1.324697898659477,0.0733293729222225,19,0.07109656269615879,0.6623489493297385
15,31571265.24205578,99517.06058804819,0.013178573458167628,1.3178573458167628,0.08840544888417211,20,0.07198482527945355,0.6589286729083814
16,31589464.31985098,99747.40204310245,0.013176042422273057,1.3176042422273058,0.08398794158894085,19,0.07285680274388842,0.6588021211136529
17,31656934.612994477,99809.46083220272,0.012613961162963953,1.2613961162963954,0.0834864407885405,19,0.07359908719228032,0.6306980581481977
18,31636507.845282987,99961.52337687081,0.0124294792670643,1.24294792670643,0.0838683172389484,19,0.07391166870796623,0.6214739633532149
19,31686214.605664,100181.17034579671,0.011847930667317081,1.1847930667317081,0.08488868062939088,18,0.07500550838852509,0.5923965333658541
20,31732711.109172985,100454.78285072627,0.011777704073875562,1.1777704073875561,0.08365564696228528,19,0.07624303249127218,0.5888852036937781
21,31700515.40699198,100573.83150789033,0.01173392540287109,1.173392540287109,0.08613554034725301,19,0.07635635443495961,0.5866962701435545
22,31771578.571507595,100421.81193134653,0.011398633689389549,1.1398633689389548,0.08441618449343052,19,0.07645451784246957,0.5699316844694774
23,31881442.510557994,100746.91467598201,0.01139505458864938,1.1395054588649378,0.0844898837928429,19,0.07836781932487141,0.5697527294324689
24,32012844.664421797,101126.7885261998,0.011334650226416195,1.1334650226416194,0.08483142265604991,19,0.08062802365802249,0.5667325113208097
25,32084985.23344779,102031.18693471851,0.010972979503776582,1.097297950377658,0.08469506552877354,19,0.08405725525730556,0.548648975188829
26,32323763.795770988,102727.23992170635,0.010463681728369425,1.0463681728369425,0.07829122664908782,19,0.08818252584764258,0.5231840864184713
27,32698932.623922788,103938.30989156978,0.0103737802415981,1.03737802415981,0.07793722425462853,19,0.09503346126947129,0.518689012079905
28,33061270.009075575,104050.45258442816,0.009819573269073562,0.9819573269073562,0.08505452035958663,20,0.09832432759790916,0.4909786634536781
29,33663959.369438045,106413.81768522257,0.009806047889277601,0.9806047889277602,0.07884256260226986,19,0.11064407945754454,0.4903023944638801
30,33840261.47231278,106784.68248870036,0.009701405639168824,0.9701405639168823,0.07221934418480092,19,0.1132400442396549,0.48507028195844115
31,34569279.763100795,109679.58297002086,0.009299747652986728,0.9299747652986727,0.07274667687020249,19,0.12825582246046638,0.46498738264933637
32,34947362.75720058,109839.2747376469,0.008742654697728388,0.8742654697728388,0.07600746315446717,19,0.1318239069017966,0.4371327348864194
33,34992899.47618958,110888.91311240238,0.008716280490870055,0.8716280490870054,0.07571952384717508,19,0.13549417380377787,0.4358140245435027
34,36190535.30767606,113138.57137942062,0.008447318738977715,0.8447318738977715,0.06968161213378393,19,0.1522807408940665,0.42236593694888575
35,36366424.18985678,114593.05201750305,0.008226796263504655,0.8226796263504655,0.07388635016567655,20,0.15828122099452369,0.41133981317523277
36,38277443.73043119,119666.14190984244,0.007875687435473969,0.7875687435473968,0.0713526457273911,20,0.18973202313186716,0.3937843717736984
37,39758707.80534717,125275.6697701166,0.007458587762895469,0.7458587762895469,0.08662647916499691,20,0.2193849896478024,0.37292938814477344
38,40575213.88147902,126914.02122068107,0.0071569128051382725,0.7156912805138272,0.08288847297341043,20,0.23115848087057445,0.3578456402569136
39,66151483.639827795,198183.3232054995,0.006985133866384457,0.6985133866384458,0.06549616882521297,20,0.662691078113295,0.3492566933192229
40,69202906.99935614,204241.63681443632,0.006668324936147192,0.6668324936147192,0.06648681467498396,20,0.7064878304524045,0.3334162468073596
