gen,nevals,avg,max,min,std,success_rate,valid_ratio,avg_cost,min_cost,avg_drift,min_drift,best_margins,hypervolume,hof_min_cost,hof_min_drift,hof_size
0,500,[0.88876811 0.79337006],[1.25913714 1.33842499],[0.43470608 0.59399878],[0.21628321 0.13274213],100.0,22.400000000000002,111967863.49139376,91422263.04672702,0.014045782351858901,0.012037378234875879,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.1982552938774824,91422263.04672702,0.012037378234875879,7
1,486,[0.9249149  0.78519704],[1.25913714 1.33842499],[0.48155029 0.59399878],[0.17760334 0.12262553],100.0,23.400000000000002,111569574.54228511,91422263.04672702,0.014095831462926709,0.012037378234875879,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.1982552938774824,91422263.04672702,0.012037378234875879,7
2,484,[0.93238726 0.78588184],[1.25913714 1.178204  ],[0.52463205 0.59399878],[0.16381203 0.1158844 ],100.0,25.8,110514458.39002231,91422263.04672702,0.014220675395265312,0.012037378234875879,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.1982552938774824,91422263.04672702,0.012037378234875879,7
3,486,[0.92096634 0.79386828],[1.25913714 1.14558595],[0.59837677 0.59399878],[0.14800176 0.11119621],100.0,28.4,109252060.53582828,81825860.86207864,0.014418569805692172,0.012037378234875879,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.408924318443994,81825860.86207864,0.012037378234875879,9
4,487,[0.91806848 0.79338433],[1.25913714 1.14558595],[0.61618228 0.59399878],[0.14152634 0.10838411],100.0,31.4,107745907.98038894,81825860.86207864,0.014664270232294387,0.012037378234875879,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.408924318443994,81825860.86207864,0.012037378234875879,9
5,488,[0.9050506  0.79864728],[1.25913714 1.15303957],[0.64013199 0.59399878],[0.14390008 0.10902438],100.0,36.4,105566536.795079,81542898.50425163,0.015013055007541125,0.012037378234875879,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.4182493075827605,81825860.86207864,0.012037378234875879,11
6,482,[0.89224609 0.80222548],[1.25913714 1.14558595],[0.61185671 0.60186891],[0.14807891 0.10937184],100.0,47.199999999999996,102086797.55161366,81542898.50425163,0.01534953851981093,0.012037378234875879,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.43435368896046,81825860.86207864,0.012037378234875879,8
7,490,[0.87242032 0.81318897],[1.25913714 1.09491025],[0.61185671 0.60186891],[0.15175052 0.11031741],100.0,65.2,98607390.26505092,80318011.90348364,0.01581537780180111,0.012037378234875879,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.4786328580557955,80318011.90348364,0.012037378234875879,9
8,487,[0.86115747 0.81260938],[1.25913714 1.00826779],[0.63260545 0.60186891],[0.15134432 0.10107257],100.0,87.6,95790628.60157818,78273064.72807242,0.01607085132615105,0.012037378234875879,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.5135687766750294,78273064.72807242,0.012037378234875879,14
9,484,[0.82912245 0.7963745 ],[1.25913714 0.99813255],[0.58927649 0.60186891],[0.16068293 0.09158949],100.0,100.0,92607731.85052732,74870233.8162679,0.015927489967000483,0.012037378234875879,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.592703116233757,74870233.8162679,0.012037378234875879,14
10,487,[0.80032448 0.77590899],[1.23948807 0.98220931],[0.58858159 0.60186891],[0.16654478 0.08340432],100.0,100.0,90509880.6617996,74870233.8162679,0.01551817974703317,0.012037378234875879,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.598980746480985,74870233.8162679,0.012037378234875879,13
11,478,[0.77051671 0.76534286],[1.23948807 0.99638081],[0.58328073 0.60186891],[0.16703549 0.08252636],100.0,100.0,88354264.76022156,74513660.62457,0.015306857279973113,0.012037378234875879,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.6136904835732326,74707341.7984429,0.012037378234875879,13
12,484,[0.74259457 0.75448342],[1.23948807 0.99638081],[0.53092815 0.60186891],[0.16616201 0.07878702],100.0,100.0,86330280.58616853,70613201.34529115,0.015089668319493902,0.012037378234875879,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.714299785683315,70613201.34529115,0.012037378234875879,8
13,478,[0.70869466 0.75338326],[1.23948807 0.98728672],[0.49344977 0.60186891],[0.1608131  0.08035162],100.0,100.0,83894095.14492539,68357351.31888603,0.01506766528252031,0.012037378234875879,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.783752819608593,68357351.31888603,0.012037378234875879,11
14,484,[0.69539979 0.74275018],[1.23948807 0.99052968],[0.49344977 0.60002126],[0.16494219 0.0778279 ],100.0,100.0,82936456.84842822,68357351.31888603,0.014855003691793907,0.012000425228442647,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.7951717290321216,68357351.31888603,0.012000425228442647,12
15,488,[0.66990983 0.73932209],[1.23948807 0.99783434],[0.49344977 0.60002126],[0.16265793 0.07750462],100.0,100.0,81085074.98218775,68357351.31888603,0.014786441796815339,0.012000425228442647,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.797701953642032,68357351.31888603,0.012000425228442647,15
16,493,[0.65138571 0.7363397 ],[1.23948807 0.99778777],[0.48176818 0.59920634],[0.16259845 0.08065545],100.0,100.0,79725918.81559673,67434662.13408382,0.014726794035657034,0.011984126825705039,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.824064634673209,67434662.13408382,0.011984126825705039,11
17,490,[0.63736545 0.73355518],[1.23948807 0.98845573],[0.47312315 0.59920634],[0.16709447 0.08220233],100.0,100.0,78735523.02664857,67037882.74784811,0.014671103684282875,0.011984126825705039,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.841033130677371,67379104.93373966,0.011984126825705039,8
18,489,[0.61183483 0.73574239],[1.23948807 0.99381045],[0.4387408  0.59920634],[0.16345163 0.08453671],100.0,100.0,76895649.30581729,65195343.85980942,0.014714847884589275,0.011984126825705039,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.902373339677132,65195343.85980942,0.011984126825705039,7
19,490,[0.59158272 0.73381692],[1.23948807 0.99317295],[0.42368172 0.59920634],[0.1539405  0.07973915],100.0,100.0,75430645.38701981,63938358.17320683,0.014676338438463589,0.011984126825705039,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.93111366462898,63938358.17320683,0.011984126825705039,8
20,487,[0.58486823 0.72990741],[1.23948807 0.99317295],[0.4188848  0.59920634],[0.15541584 0.08249393],100.0,100.0,74960780.2974787,63476082.388612285,0.014598148165119146,0.011984126825705039,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.9431950946799637,63476082.388612285,0.011984126825705039,9
