ID,Cost,CO2,Max_Drift_Ratio,Max_Drift_Ratio_Percent,Mean_DCR,N_types,Fit1(CostCO2),Fit2(MaxDrift)
1,53653423.02055309,155318.55607227734,0.0002496978763366926,0.024969787633669263,0.31998312744732244,28,0.26352049460081145,0.0002496978763366926
2,53717597.905981,156050.58254502033,0.00022663379654088575,0.022663379654088576,0.3124677648597565,28,0.26585195865702227,0.00022663379654088575
3,53828413.66134007,156356.19630319552,0.00022555372392086436,0.022555372392086437,0.3033528479413872,28,0.2673882951123596,0.00022555372392086436
4,53915986.22038745,156427.39648047584,0.00021881541453601527,0.021881541453601525,0.3171679784222016,28,0.2681599951861799,0.00021881541453601527
5,53845299.7718157,156764.44079864523,0.00019886269284802554,0.019886269284802555,0.30714148499180033,27,0.26856187322102665,0.00019886269284802554
6,54067373.15818188,156595.23129704947,0.00019691643429404216,0.019691643429404215,0.307554242947744,28,0.2696102782068339,0.00019691643429404216
7,54034566.87846829,157400.51170243722,0.00015997741285757094,0.015997741285757094,0.3036294015349298,26,0.27148223023599904,0.00015997741285757094
8,54346046.94479327,158262.44344740396,0.00015015801430179248,0.015015801430179249,0.308816746496387,28,0.27580812461392323,0.00015015801430179248
9,54620272.8537909,158365.40048552759,0.0001495791841474829,0.01495791841474829,0.3084917794130179,26,0.2779129296578567,0.0001495791841474829
10,54923919.51535687,157682.78020324183,0.00014074011892260433,0.014074011892260433,0.30949549433443807,28,0.2781742788235503,0.00014074011892260433
11,54734117.11323785,159510.99832100453,0.0001328948014289744,0.01328948014289744,0.3182482604497004,28,0.2816514630760857,0.0001328948014289744
12,55281360.768384404,159333.53850339324,0.00012668767736911214,0.012668767736911214,0.3098751332132706,29,0.28485714320994715,0.00012668767736911214
13,55091268.737223715,160500.5004716035,0.00012324050463754382,0.012324050463754382,0.31240199179706557,28,0.2866147372472093,0.00012324050463754382
14,56489428.86113704,163847.73728967214,0.00012243638679825786,0.012243638679825785,0.3070167570561234,27,0.3046773234577965,0.00012243638679825786
15,56784607.01211376,165009.14592317212,0.00012187160218463984,0.012187160218463984,0.3017510068436777,28,0.30967189962588787,0.00012187160218463984
16,57128854.77321486,165042.65776091273,0.0001148430514982491,0.01148430514982491,0.3029570243739285,29,0.31206547730427436,0.0001148430514982491
17,57933033.51716892,168148.10194959078,0.0001122635194298722,0.011226351942987219,0.29538730920309947,29,0.32552019972220747,0.0001122635194298722
18,58029371.88263657,167948.82821276743,0.00010047632513816859,0.01004763251381686,0.3130903088412446,28,0.3256480614094567,0.00010047632513816859
19,59542150.01120971,171261.95191601524,9.895107708470935e-05,0.009895107708470935,0.2920287401902434,28,0.3443900004497135,9.895107708470935e-05
20,60316143.768002905,173047.9799774118,8.846825556096088e-05,0.008846825556096088,0.305265648591849,27,0.35421522061263166,8.846825556096088e-05
21,60471632.16945705,174770.54118111805,7.88247210508568e-05,0.00788247210508568,0.3171485333666501,27,0.35973147256005045,7.88247210508568e-05
22,62579179.50889624,183136.7357336893,7.454516593981149e-05,0.007454516593981149,0.29568108149021505,29,0.3955841169081791,7.454516593981149e-05
23,64573142.578618154,183735.5703116673,6.837885539151195e-05,0.006837885539151195,0.30736874663873953,28,0.41049957420959127,6.837885539151195e-05
24,66534227.268309936,191658.3685127632,5.8951374284354044e-05,0.005895137428435404,0.3026678649337431,26,0.4442191428313533,5.8951374284354044e-05
