gen,best_obj1,best_obj2,hypervolume
0,0.9921852240400628,0.00010925910565534764,3.769364455175559
1,0.9613284901240254,0.00010925910565534764,3.8459675056230322
2,0.8810514330112873,0.00010925910565534764,4.047090860639366
3,0.7941667018041292,9.880231992474224e-05,4.264398908007494
4,0.7941667018041292,9.880231992474224e-05,4.2644003965664385
5,0.7897860571916392,9.880231992474224e-05,4.275357053451194
6,0.7596535902541175,9.844592921608877e-05,4.350499535138475
7,0.7596535902541175,9.844592921608877e-05,4.350631554413664
8,0.7032345606121824,9.844592921608877e-05,4.491724365274194
9,0.6578338167846367,9.456171560762724e-05,4.604987429807341
10,0.634678204075406,9.456171560762724e-05,4.662660973237097
11,0.6015801754110347,9.456171560762724e-05,4.745294242875308
12,0.600990654867551,9.456171560762724e-05,4.7473246136764535
13,0.592926371221481,9.456171560762724e-05,4.767351861157697
14,0.5621611191368057,9.456171560762724e-05,4.843995566704144
15,0.5498597898384019,9.456171560762724e-05,4.874673677322942
16,0.5216044127602378,9.456171560762724e-05,4.945147395864316
17,0.5216044127602378,9.456171560762724e-05,4.945427335429807
18,0.5114020415118524,9.456171560762724e-05,4.970955309813377
19,0.4940151492749756,9.456171560762724e-05,5.014525454954919
20,0.4935038180069552,9.456171560762724e-05,5.015808890427833
21,0.4784161529142567,9.456171560762724e-05,5.053334473490919
22,0.4784161529142567,9.456171560762724e-05,5.053703964127384
23,0.46122359781242483,9.456171560762724e-05,5.096722612358364
24,0.43101576988516377,9.456171560762724e-05,5.1717086632826526
25,0.43101576988516377,9.456171560762724e-05,5.1717947402817845
26,0.4275131302685049,9.456171560762724e-05,5.18099017383816
27,0.4275131302685049,9.456171560762724e-05,5.180994275470729
28,0.4197122251878306,9.456171560762724e-05,5.200347200282126
29,0.41568789331432054,9.456171560762724e-05,5.210457010984161
30,0.4063562572202989,9.456171560762724e-05,5.233884112453697
31,0.39013821629026874,9.456171560762724e-05,5.2742146505278455
32,0.39013821629026874,9.456171560762724e-05,5.274329744400497
33,0.39013821629026874,9.456171560762724e-05,5.274331440911349
34,0.3705140504551031,9.456171560762724e-05,5.323132536953777
35,0.3705140504551031,9.456171560762724e-05,5.323134541893815
36,0.3705140504551031,9.456171560762724e-05,5.323487195066009
37,0.3685266919450092,9.456171560762724e-05,5.328456065321168
38,0.3612893103794439,9.456171560762724e-05,5.346548219744239
39,0.3612893103794439,9.456171560762724e-05,5.346549868395287
40,0.35211266744223074,9.456171560762724e-05,5.369488803404107
41,0.35151585189657997,9.456171560762724e-05,5.37098324692197
42,0.3437455975473655,9.456171560762724e-05,5.390260768666925
43,0.3437455975473655,9.456171560762724e-05,5.390295781441198
44,0.3437455975473655,9.456171560762724e-05,5.390296235889793
45,0.3437455975473655,9.456171560762724e-05,5.390296235889793
46,0.33999483697298793,9.456171560762724e-05,5.399792304735253
47,0.33999483697298793,9.456171560762724e-05,5.399792314777781
48,0.3358253641217384,9.456171560762724e-05,5.410215557160758
49,0.33283453937980334,9.456171560762724e-05,5.4176926054597825
50,0.32966880535149556,9.456171560762724e-05,5.425606476405012
51,0.32860654739198963,9.456171560762724e-05,5.428262317144522
52,0.32860654739198963,9.456171560762724e-05,5.4282630080339045
53,0.32184645760258634,9.456171560762724e-05,5.445162429117043
54,0.32184645760258634,9.456171560762724e-05,5.445162580890356
55,0.32184645760258634,9.456171560762724e-05,5.445163446530683
56,0.31747993102447636,9.456171560762724e-05,5.456079609550867
57,0.31747993102447636,9.456171560762724e-05,5.45608166955282
58,0.31527093987852867,9.456171560762724e-05,5.461606030092555
59,0.3145161728380974,9.456171560762724e-05,5.463492728422428
60,0.3145161728380974,8.149871193104592e-05,5.463514183026088
61,0.3130273296358219,8.149871193104592e-05,5.46723674277754
62,0.3130273296358219,8.149871193104592e-05,5.4672372807163
63,0.3130273296358219,8.149871193104592e-05,5.467237682698008
64,0.30763180190826744,8.149871193104592e-05,5.480725792593043
65,0.30763180190826744,8.149871193104592e-05,5.480733422776665
66,0.3066882391125647,8.149871193104592e-05,5.483092801944624
67,0.3066882391125647,8.149871193104592e-05,5.483094236340573
68,0.30100997992272593,8.149871193104592e-05,5.497288999973927
69,0.29883874994719645,8.149871193104592e-05,5.50271672499585
70,0.2979198662156677,8.149871193104592e-05,5.505013968049621
71,0.2979198662156677,8.149871193104592e-05,5.50501573343774
72,0.2979198662156677,8.149871193104592e-05,5.505015927318582
73,0.2950895320354016,8.149871193104592e-05,5.512091599748424
74,0.2950895320354016,8.149871193104592e-05,5.512091832070655
75,0.29403227728418124,6.794234599272814e-05,5.514763563194254
76,0.28881985982676606,6.794234599272814e-05,5.527793305812604
77,0.28718939106697383,6.794234599272814e-05,5.531869205324007
78,0.28718939106697383,6.794234599272814e-05,5.5318692551822455
79,0.28718939106697383,6.794234599272814e-05,5.531870230972197
80,0.2842252168305393,6.794234599272814e-05,5.539280329671387
81,0.2842252168305393,6.794234599272814e-05,5.539280427530634
82,0.2842252168305393,6.794234599272814e-05,5.539280741559202
83,0.27798898813174455,6.794234599272814e-05,5.554870219954738
84,0.27798898813174455,5.8951374284354044e-05,5.55488887745947
85,0.27798898813174455,5.8951374284354044e-05,5.554889205473748
86,0.27501377565436025,5.8951374284354044e-05,5.5623271666447724
87,0.27501377565436025,5.8951374284354044e-05,5.562327340914342
88,0.27501377565436025,5.8951374284354044e-05,5.562327384647194
89,0.27159527456193594,5.8951374284354044e-05,5.570873376538382
90,0.26867669183051257,5.8951374284354044e-05,5.57816916795795
91,0.26867669183051257,5.8951374284354044e-05,5.578169172571064
92,0.2679250759448154,5.8951374284354044e-05,5.580048058148218
93,0.2679250759448154,5.8951374284354044e-05,5.580048206922108
94,0.2679250759448154,5.8951374284354044e-05,5.580048399403379
95,0.2679250759448154,5.8951374284354044e-05,5.580048399403379
96,0.2679250759448154,5.8951374284354044e-05,5.580048484789931
97,0.26601858944942564,5.8951374284354044e-05,5.584814533190151
98,0.26601858944942564,5.8951374284354044e-05,5.584814573499756
99,0.26585195865702227,5.8951374284354044e-05,5.585231159660323
100,0.26352049460081145,5.8951374284354044e-05,5.591059341875216
