gen,nevals,avg,max,min,std,success_rate,valid_ratio,avg_cost,min_cost,avg_drift,min_drift,best_margins,hypervolume,hof_min_cost,hof_min_drift,hof_size
0,10,[0.98902458        inf],[1.44415399        inf],[0.66631124 0.02167593],[0.28059095        nan],100.0,0.0,0.0,0.0,0.0,0.0,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00 C:0.18,0.0,0.0,0.0,0
1,10,[0.98790073        inf],[1.44415399        inf],[0.60162355 0.02167593],[0.28417785        nan],100.0,0.0,0.0,0.0,0.0,0.0,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00 C:0.18,0.0,0.0,0.0,0
2,7,[1.07724453        inf],[1.44415399        inf],[0.73644328 0.02167593],[0.2294372       nan],100.0,0.0,0.0,0.0,0.0,0.0,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00 C:0.18,0.0,0.0,0.0,0
