name,b,d,h,PiM,M,rho_t,rho_c,PiVn,stirrup,stirrup_space,fck,fy,Cost,CO2,UnitWeight,dimension,PI_size,n_b,N_r,N_n,N_r_C,N_n_C
42,300,467,550,269.2654857,316.7829244,0.008109325,0.003787513,233.4627662,10.0,200,30,500,30404.73377,93.3027374,4.002845533,16,40,4,6,2,3,1
43,400,467,550,269.5073866,317.0675136,0.007962443,0.00325642,334.4597364,10.0,100,24,400,43624.75556,130.5684503,5.358070334,16,40,6,8,2,3,1
44,400,442,500,271.0755629,318.912427,0.006865933,0.002857832,288.4079627,10.0,150,27,500,35441.05691,110.3424956,4.842145161,16,40,6,6,1,3,1
45,300,517,600,272.1282809,320.1509187,0.009270184,0.003858639,192.4311689,10.0,250,24,400,33871.80114,103.1399992,4.371647339,16,40,4,7,2,3,1
46,300,451,550,274.8524823,323.3558615,0.008749425,0.004021046,269.7408634,10.0,150,30,500,31968.67912,96.40272022,4.013530486,22,50,3,4,2,2,1
47,300,479,550,275.8751881,324.5590448,0.007691899,0.003359234,239.4618095,10.0,200,30,500,29546.62632,91.61090636,3.996958285,22,50,3,3,1,2,1
48,300,451,550,276.1229204,324.8504946,0.011401944,0.004991056,198.897949,10.0,200,30,400,34441.14332,101.2245063,4.030636909,22,50,3,5,2,2,1
49,400,442,500,276.9967771,325.8785613,0.006961319,0.003408077,238.4471922,10.0,200,24,500,34807.18994,109.0581795,4.837890237,16,40,6,6,1,3,1
50,400,417,500,277.5641841,326.5460989,0.008153867,0.003446296,353.9730536,10.0,100,27,500,40158.98512,119.687851,4.87439541,16,40,6,7,2,3,1
51,400,417,500,279.9422007,329.3437655,0.009882778,0.004433457,212.4534635,10.0,200,30,400,39116.73504,117.5228027,4.867543735,16,40,6,8,2,4,1
52,300,439,550,281.5865797,331.2783291,0.01264133,0.00609838,323.2467266,13.0,150,30,400,41962.43966,116.1416766,4.081998926,16,40,4,9,3,5,2
53,300,467,550,284.2222693,334.3791404,0.011074641,0.005346729,205.9541956,10.0,200,30,400,35330.03428,102.9768009,4.036735974,16,40,4,8,2,4,1
54,300,526,600,284.292537,334.4618082,0.00627184,0.003033886,364.3085478,13.0,200,27,500,33103.4464,101.7249949,4.366104864,22,50,3,3,1,2,1
55,400,429,500,285.2682336,335.6096865,0.007578922,0.003157713,364.1593285,10.0,100,27,500,38947.0249,117.2946243,4.866090634,22,50,5,4,1,2,1
56,400,417,500,286.5527003,337.1208239,0.011078125,0.004485543,206.5930883,10.0,200,27,400,40733.45267,120.69829,4.878668188,16,40,6,9,2,4,1
57,400,429,500,287.9067909,338.7138716,0.009105695,0.004453223,212.5382131,10.0,200,27,400,38394.30307,116.0974596,4.862590055,22,50,5,4,1,2,1
58,300,564,650,290.2897244,341.5173228,0.006088627,0.002748219,328.1964501,13.0,250,24,500,33802.77401,106.1232853,4.715869477,16,40,4,5,2,3,1
59,300,517,600,290.6029149,341.8857822,0.007242515,0.003391903,253.009474,10.0,200,27,500,31778.20246,99.05142373,4.357177535,16,40,4,6,2,3,1
60,400,426,500,291.5462081,342.995539,0.00706677,0.003468556,540.7445701,13.0,100,30,500,44536.13466,128.4264279,4.904131033,22,50,5,3,1,2,1
61,400,429,500,293.2149972,344.9588203,0.007576681,0.003131192,285.9543946,10.0,150,30,500,36031.49995,111.4937207,4.846230992,22,50,5,4,1,2,1
62,500,417,500,294.6917684,346.6961981,0.008829424,0.003573753,324.1862733,10.0,100,24,400,50451.53568,150.0792747,6.094807278,16,40,8,9,2,4,1
63,300,492,600,294.7165737,346.7253808,0.01121486,0.004656924,327.71855,10.0,100,27,400,41727.34373,118.7110048,4.425316531,16,40,4,9,3,4,1
64,400,442,500,296.8157482,349.1949979,0.007474719,0.003116138,251.2264308,10.0,200,30,500,35111.41955,109.6557342,4.839983607,16,40,6,6,1,3,1
65,500,439,500,297.5177704,350.0209064,0.00570952,0.002754639,352.9262814,13.0,200,24,500,43188.11687,135.7712897,6.044941087,16,40,8,6,1,3,1
66,400,479,550,297.8677285,350.4326217,0.006102592,0.00284797,305.4334188,10.0,150,24,500,37090.36322,117.6414653,5.313358668,22,50,5,3,1,2,1
67,400,464,550,299.2761461,352.0895837,0.008850293,0.003575887,366.9018657,13.0,150,27,400,46495.1337,136.2382112,5.377734559,16,40,6,8,2,4,1
68,300,517,600,299.8549661,352.7705484,0.010085233,0.004264094,344.3709154,10.0,100,27,400,40817.51713,116.9239625,4.419056116,16,40,4,8,2,4,1
69,300,501,600,300.151108,353.1189506,0.010066596,0.004073583,338.9940634,10.0,100,30,400,39544.86412,114.4115256,4.41033372,22,50,3,4,2,2,1
70,400,417,500,301.0578788,354.1857398,0.008719484,0.003748291,277.9556703,10.0,150,30,500,38241.8553,115.8437034,4.861417142,16,40,6,7,2,3,1
71,300,501,600,302.1693623,355.4933674,0.008297803,0.003359376,245.1793936,10.0,200,27,500,32329.37734,100.1276445,4.360987401,22,50,3,4,2,2,1
72,400,464,550,302.2680109,355.6094246,0.006777663,0.003059538,351.5049201,13.0,200,27,500,40017.73803,123.4446812,5.33335673,16,40,6,7,2,3,1
73,500,429,500,302.7704142,356.2004873,0.008064851,0.003251061,266.1282123,10.0,150,24,400,45436.23569,140.1307146,6.060562728,22,50,7,5,1,2,1
