name,b,d,h,PiM,M,rho_t,rho_c,PiVn,stirrup,stirrup_space,fck,fy,Cost,CO2,UnitWeight,dimension,PI_size,n_b,N_r,N_n,N_r_C,N_n_C
295,400,517,600,371.958697,437.5984671,0.009465684,0.00411178,224.0908238,10,250,24,400,45159.89171,137.4963743,5.828896576,16,40,6,10,2,5,1
296,300,598,700,372.0660899,437.7248116,0.00917135,0.004006331,347.9813425,13,200,24,400,43504.4588,128.2671665,5.127405869,22,50,3,5,2,2,1
297,400,529,600,373.6449237,439.5822631,0.006793042,0.002786192,337.3158216,10,150,24,500,41525.92575,130.4215775,5.803721034,22,50,5,4,1,2,1
298,300,592,700,374.0060853,440.0071592,0.009708523,0.00415865,301.3368689,10,150,27,400,42841.25372,126.9275627,5.122942731,16,40,4,9,3,4,1
299,400,514,600,374.3902633,440.4591333,0.007097956,0.003492259,467.0257571,13,150,24,500,47787.8184,142.8525471,5.846451246,16,40,6,8,2,4,1
300,500,442,500,374.5419943,440.6376403,0.007099369,0.003517366,281.4881021,10,200,30,500,43409.65389,136.1140745,6.046716043,16,40,8,8,1,4,1
301,400,479,550,375.068013,441.2564859,0.007698128,0.00360242,319.2824127,10,150,30,500,40588.86343,124.5130691,5.337431456,22,50,5,4,1,2,1
302,300,601,700,375.2875178,441.5147268,0.009018956,0.004254089,223.6965812,10,250,24,400,39340.46136,119.9749776,5.099061694,22,50,3,5,2,3,1
303,300,648,750,375.410099,441.65894,0.007645552,0.003254162,463.0872962,13,150,24,400,46272.63749,136.8370726,5.49111278,22,50,3,4,2,2,1
304,300,539,650,375.8740961,442.204819,0.011370331,0.005329778,325.3365342,13,200,30,400,44813.55953,127.7927416,4.791518016,16,40,4,10,3,5,2
305,400,517,600,375.9677778,442.3150327,0.007177623,0.003062996,286.5896091,10,200,27,500,40833.90931,129.0262333,5.799057343,16,40,6,8,2,4,1
306,500,467,550,376.170201,442.5531776,0.008939737,0.004098764,363.0575291,10,100,24,400,56630.05618,167.3024782,6.712115976,16,40,8,11,2,5,1
307,400,476,550,376.2729306,442.674036,0.010127405,0.00496393,313.2101372,13,200,27,400,47740.8549,138.6033245,5.386527858,22,50,5,5,1,3,1
308,400,567,650,376.7755902,443.2654003,0.005730173,0.002761751,272.482296,10,250,24,500,40154.52232,131.728765,6.254308476,16,40,6,7,2,4,1
309,300,551,650,376.7850169,443.2764905,0.010643514,0.005196463,280.4672546,10,150,27,400,42109.9409,122.4290181,4.773059596,22,50,3,5,2,3,1
310,500,492,550,377.6100187,444.2470808,0.006020093,0.002917995,440.4555415,1.00E+01,100,24,500,50058.80864,154.3955162,6.666899957,16,40,8,7,1,4,1
311,300,564,650,377.8597872,444.5409262,0.008274034,0.00378482,484.2036805,13,150,27,500,42428.77282,123.179554,4.774916161,16,40,4,7,2,4,1
312,400,464,550,378.3520851,445.1201001,0.008775228,0.004065401,588.9800012,13,100,30,500,52580.41154,148.3324682,5.419221864,16,40,6,8,2,4,1
313,300,598,700,378.4182209,445.197907,0.007045328,0.003020509,513.393264,13,150,27,500,41945.26915,125.2764787,5.116482419,22,50,3,4,2,2,1
314,300,614,700,378.4903492,445.2827637,0.008735553,0.003951363,315.2357115,13,250,27,400,41959.84006,125.1988262,5.116871044,16,40,4,8,2,4,1
315,300,539,650,378.6771339,445.5025104,0.011944843,0.004978389,396.8792383,13,150,30,400,47837.69251,133.8035216,4.812134332,16,40,4,10,3,5,2
316,500,417,500,379.2293286,446.1521513,0.011529375,0.004630476,273.7546052,10,150,30,400,53084.90556,155.1624008,6.113169311,16,40,8,12,2,5,1
317,400,498,600,380.0485284,447.1159157,0.009874541,0.004540112,386.3873101,13,150,24,400,52624.88532,152.3389449,5.87977353,22,50,5,6,2,3,1
318,500,442,500,380.4792939,447.6226988,0.007823776,0.003149557,281.4881021,10,200,30,500,44021.99489,137.3168084,6.050929492,16,40,8,8,1,4,1
319,400,448,550,380.8544955,448.0641123,0.01239769,0.005009571,360.5461159,13,150,30,400,52257.07694,147.5412114,5.417420813,22,50,5,6,2,3,1
320,500,429,500,381.4751862,448.7943367,0.010464612,0.00448553,341.4833241,10,100,27,400,54781.47948,158.5712176,6.124635724,22,50,7,6,1,3,1
321,500,429,500,381.6354151,448.9828414,0.008325721,0.003469307,265.6727664,10,200,27,500,44590.6603,138.4273833,6.054859709,22,50,7,5,1,2,1
322,400,517,600,381.9725926,449.3795207,0.009217814,0.004212333,377.9510504,10,100,27,400,51137.87512,149.3986787,5.869594613,16,40,6,10,2,5,1
323,400,476,550,382.329301,449.7991777,0.01017403,0.004632511,383.0802481,13,150,30,400,49924.39916,142.9594659,5.401369918,22,50,5,5,1,3,1
324,400,517,600,382.6827303,450.2149768,0.009481601,0.004594919,224.0908238,10,250,24,400,45961.79141,139.0714312,5.834414358,16,40,6,10,2,5,1
325,300,598,700,382.7358736,450.2774984,0.008739345,0.004237792,592.7671732,13,100,27,400,51560.49992,144.3059127,5.182254063,22,50,3,5,2,3,1
326,300,551,650,382.7533558,450.2980656,0.010410753,0.005075117,242.9994899,10,200,30,400,40113.78833,118.4684281,4.759432379,22,50,3,5,2,3,1
327,500,464,550,383.0918908,450.6963422,0.007286394,0.003181555,450.009317,13,150,24,500,53234.39861,160.6687976,6.688653358,16,40,8,9,2,4,1
328,500,426,500,383.2947952,450.9350532,0.008332802,0.003615056,562.4272236,13,100,27,500,56444.99865,162.0145327,6.13560491,22,50,7,5,1,2,1
329,500,429,500,383.3030261,450.9447366,0.008046229,0.003745256,392.0236959,1.00E+01,100,27,500,49517.05557,148.2310625,6.088411812,22,50,7,5,1,2,1
330,400,451,550,383.3444149,450.9934293,0.012078718,0.005299403,336.0401797,10,100,30,400,51207.11515,145.4486485,5.410278288,22,50,5,6,2,3,1
331,500,414,500,383.7026189,451.4148458,0.009066422,0.003837526,416.4790513,13,150,30,500,52424.404,153.9882036,6.108290362,16,40,8,10,2,4,1
332,400,526,600,383.7315876,451.4489266,0.007091253,0.002894717,652.472043,13,100,24,500,52196.32012,151.6407866,5.87643494,22,50,5,4,1,2,1
