name,h,b,PI_Pn_max,PI_Vn_z,PI_Vn_y,PI_Mn_z,PI_Mn_y,required_rebar,MainRebar_size,rho,side_rebars_top,side_rebars_bottom,side_rebars_left,side_rebars_right,spacing_h,spacing_b,Stirrup_size,Stirrup_verticle_size,fck,fy,Cover_size,aggregate,Cost,CO2,UnitWeight,PM_Volume
327,850,850,13337.6759,794.0471894,794.0471894,0,0,18,25,0.012229383,6,6,5,5,141.0,176.25,10,150,35,500,50,25,138784.3681,419.4846781,17.56691969,124809533.3
328,800,700,11870.20938,791.5859995,640.8391432,0,0,26,32,0.037340073,8,8,7,7,89.71428571,88.0,10,100,27,500,60,25,222810.8707,551.6428163,14.40842338,124910483.4
329,850,800,11899.5752,501.8035658,445.7751881,0,0,24,32,0.028385214,9,9,5,5,84.75,157.0,10,450,27,400,60,25,208239.7501,547.065272,17.06820316,124992318.6
330,900,800,12183.59727,612.8335378,491.171202,0,0,18,32,0.020106193,6,6,5,5,145.6,157.0,10,350,27,500,60,25,175225.7708,490.3684109,17.76068906,126039802.2
331,1100,750,12347.88549,1058.33765,543.4424813,0,0,26,25,0.015469964,10,10,5,5,105.4444444,149.75,13,250,27,400,50,25,178920.0555,519.1481561,20.1998258,127206848.8
332,800,800,12997.63627,534.5629542,534.5629542,0,0,20,32,0.025132741,7,7,5,5,104.6666667,157.0,10,300,35,400,60,25,181770.0361,487.004513,15.96620581,127580059.8
333,850,800,12588.72148,573.1946854,511.2398251,0,0,18,32,0.02128891,5,5,6,6,169.5,125.6,10,350,30,500,60,25,171849.6172,475.6178653,16.81772932,128212230.3
334,950,900,12513.41814,817.1300758,743.6961067,0,0,24,25,0.013778915,9,9,5,5,100.625,188.75,10,150,27,400,50,25,173501.9822,514.5873254,20.85236383,128278160.6
335,850,650,12873.75429,630.2488256,381.8454971,0,0,22,32,0.032024344,7,7,6,6,113.0,95.6,10,300,35,500,60,25,186857.0206,479.2346263,13.98930382,128288109.5
336,900,750,13945.36222,1009.483826,744.5547456,0,0,16,29,0.015656767,6,6,4,4,145.0,191.6666667,13,150,40,400,60,25,155704.4597,443.2697567,16.59064337,128939713.8
337,950,750,13423.04266,832.0058739,541.9644751,0,0,20,25,0.013778915,7,7,5,5,133.1666667,149.75,13,400,35,500,50,25,141096.4102,421.8805069,17.35320999,128984421.4
338,850,700,13081.05609,985.3367553,723.5575378,0,0,24,29,0.026642818,8,8,6,6,96.42857143,105.0,13,150,35,500,60,25,188973.1093,492.3493102,14.98017633,129467190.1
339,950,800,13615.30176,833.447185,609.3785884,0,0,12,32,0.012698648,6,6,2,2,154.4,622.0,13,300,35,400,60,25,146277.0053,441.7613253,18.48086218,129573819.7
340,900,600,13353.55366,791.8378584,379.326106,0,0,32,25,0.029088821,11,11,7,7,74.9,74.83333333,13,400,40,500,50,25,172023.5397,447.6046849,13.59970543,129676690.4
341,900,850,12283.22267,561.0795388,501.8035658,0,0,20,32,0.021026084,5,5,7,7,182.0,113.0,10,450,27,400,60,25,190317.7476,529.114459,18.89931462,129957657.8
342,850,800,12458.13986,696.7290103,627.0190261,0,0,36,25,0.025987439,9,9,11,11,88.125,65.5,10,150,30,400,50,25,203626.96,538.2132216,17.03589815,131730969.7
343,900,900,12504.8814,797.0216173,797.0216173,0,0,18,32,0.017872172,6,6,5,5,144.4,180.5,13,200,27,400,60,25,193536.4822,544.8787266,19.9553215,131752347.5
344,1000,800,12989.28099,926.016852,625.3623832,0,0,12,32,0.012063716,2,2,6,6,822.0,124.4,13,300,30,500,60,25,149824.3215,456.8524844,19.42498767,131781249.1
345,850,800,13317.33753,561.3436242,498.2224933,0,0,22,29,0.02136976,9,9,4,4,85.125,210.3333333,10,450,35,400,60,25,171172.8995,474.2601574,16.81315031,132017288.3
