name,h,b,PI_Pn_max,PI_Vn_z,PI_Vn_y,PI_Mn_z,PI_Mn_y,required_rebar,MainRebar_size,rho,side_rebars_top,side_rebars_bottom,side_rebars_left,side_rebars_right,spacing_h,spacing_b,Stirrup_size,Stirrup_verticle_size,fck,fy,Cover_size,aggregate,Cost,CO2,UnitWeight,PM_Volume,original_name
875,900,900,16157.57311,792.3283898,792.3283898,0,0,12,32,0.011914781,3,3,5,5,361.0,180.5,13,300,40,400,60,25,150624.3215,460.4524844,19.66042767,180695189.8,438
876,900,900,16157.57311,792.3283898,792.3283898,0,0,12,32,0.011914781,5,5,3,3,180.5,361.0,13,300,40,400,60,25,150624.3215,460.4524844,19.66042767,180695189.8,438
877,950,900,13860.82956,748.2113869,678.7044087,0,0,38,25,0.021816616,10,10,11,11,89.44444444,75.5,10,200,27,400,50,25,223508.2833,612.7199199,21.19668937,181075129.1,439
878,900,950,13860.82956,678.7044087,748.2113869,0,0,38,25,0.021816616,11,11,10,10,75.5,89.44444444,10,200,27,400,50,25,223508.2833,612.7199199,21.19668937,181075129.1,439
879,900,850,13917.66635,675.9199946,609.5337851,0,0,24,32,0.025231301,6,6,8,8,144.4,96.0,13,400,27,500,60,25,219042.8257,585.6313925,19.09670717,181701761.3,440
880,850,900,13917.66635,609.5337851,675.9199946,0,0,24,32,0.025231301,8,8,6,6,96.0,144.4,13,400,27,500,60,25,219042.8257,585.6313925,19.09670717,181701761.3,440
881,1100,750,15240.21901,1001.332167,483.5934603,0,0,16,32,0.015597532,4,4,6,6,307.3333333,114.4,13,450,35,400,60,25,173439.7967,508.2213083,20.16255839,181836849.7,441
882,750,1100,15240.21901,483.5934603,1001.332167,0,0,16,32,0.015597532,6,6,4,4,114.4,307.3333333,13,450,35,400,60,25,173439.7967,508.2213083,20.16255839,181836849.7,441
883,850,850,15891.96492,625.904065,625.904065,0,0,16,32,0.01781033,4,4,6,6,226.0,135.6,10,400,40,500,60,25,162284.8006,465.4408662,17.72917261,184342115.6,442
884,850,850,15891.96492,625.904065,625.904065,0,0,16,32,0.01781033,6,6,4,4,135.6,226.0,10,400,40,500,60,25,162284.8006,465.4408662,17.72917261,184342115.6,442
885,1200,800,14405.98533,1974.592977,1079.514033,0,0,18,29,0.012384747,5,5,6,6,256.25,125.0,13,100,27,500,60,25,205856.8932,600.0358346,23.48769413,184507370.7,443
886,800,1200,14405.98533,1079.514033,1974.592977,0,0,18,29,0.012384747,6,6,5,5,125.0,256.25,13,100,27,500,60,25,205856.8932,600.0358346,23.48769413,184507370.7,443
887,1050,1000,14738.29887,839.1529044,765.9453554,0,0,14,32,0.010723303,6,6,3,3,175.6,414.0,10,250,27,400,60,25,180413.5308,567.602025,25.38398468,184933864.6,444
888,1000,1050,14738.29887,765.9453554,839.1529044,0,0,14,32,0.010723303,3,3,6,6,414.0,175.6,10,250,27,400,60,25,180413.5308,567.602025,25.38398468,184933864.6,444
889,900,900,14652.04006,824.1876062,824.1876062,0,0,24,29,0.019570959,10,10,4,4,80.55555556,241.6666667,13,250,30,500,60,25,200977.2596,559.4095693,20.00674862,185747515.7,445
