name,h,b,PI_Pn_max,PI_Vn_z,PI_Vn_y,PI_Mn_z,PI_Mn_y,required_rebar,MainRebar_size,rho,side_rebars_top,side_rebars_bottom,side_rebars_left,side_rebars_right,spacing_h,spacing_b,Stirrup_size,Stirrup_verticle_size,fck,fy,Cover_size,aggregate,Cost,CO2,UnitWeight,PM_Volume
814,1150,900,18939.35341,1541.700914,1039.877577,0,0,32,29,0.02042187,8,8,10,10,139.2857143,80.55555556,13,150,30,500,60,25,272177.3467,745.2166835,25.66936101,365770585.6
815,1150,1000,18454.669,1637.484428,1317.226552,0,0,30,32,0.020980375,8,8,9,9,138.8571429,102.75,13,100,27,400,60,25,319272.5751,861.4276361,28.63664605,366674222.8
816,1050,1000,19082.44214,964.1830161,882.8314534,0,0,26,32,0.019914705,7,7,8,8,145.3333333,117.4285714,13,350,30,500,60,25,257250.8485,718.570372,25.91256399,367013676.8
817,1200,850,19848.83641,1240.385252,652.7949655,0,0,32,29,0.020722192,10,10,8,8,113.8888889,96.42857143,13,350,35,400,60,25,256608.3811,711.2224419,25.21833737,367541568
818,1100,950,21241.22306,1418.062459,1105.699214,0,0,22,29,0.013905681,8,8,5,5,132.1428571,193.75,13,150,40,400,60,25,221654.9539,648.0114458,25.55165737,367574424.3
819,1200,850,19805.28715,1338.550353,720.2554551,0,0,26,32,0.020500432,7,7,8,8,171.3333333,96.85714286,10,150,35,400,60,25,258953.2307,715.9341125,25.23418434,367713096.6
820,1150,800,20747.2008,2023.687437,1159.912739,0,0,28,29,0.020102778,11,11,5,5,97.5,156.25,13,100,40,500,60,25,252937.3375,684.3675949,22.89198131,369893200.2
821,1250,1000,18767.24691,1888.939604,1336.746375,0,0,40,25,0.015707963,9,9,13,13,137.375,70.75,13,100,27,400,50,25,295283.4807,834.6714277,30.77072809,369957368.9
822,1100,850,20553.52444,989.4484764,594.5667267,0,0,32,29,0.022606027,8,8,10,10,133,75.66666667,10,450,40,400,60,25,243717.3423,668.5012748,23.17561274,369989213.9
823,1100,900,20035.20468,957.5817134,648.317357,0,0,24,32,0.019496914,9,9,5,5,116,182,10,450,35,500,60,25,233998.8085,660.5737983,24.37337508,370896798.9
824,1150,900,18869.28547,1048.102712,662.4201282,0,0,40,29,0.025527337,14,14,8,8,75,103.5714286,13,400,30,400,60,25,297519.2047,794.585922,25.84483757,371185296.2
825,1000,950,20840.25076,1279.59573,1175.928595,0,0,34,25,0.017568117,10,10,9,9,95,100.625,10,100,40,500,50,25,227257.8688,639.6518649,23.40607527,371656040.3
826,1250,1000,19834.53338,1226.299516,806.5580064,0,0,20,29,0.010568318,5,5,7,7,270.25,138.5,10,300,30,500,60,25,210906.3888,668.051066,30.19255511,371836736.2
827,1000,950,20957.48646,1326.985663,1220.180813,0,0,26,29,0.018077386,8,8,7,7,117.8571429,129.1666667,13,150,40,500,60,25,233194.6464,651.3689042,23.44677287,372403988.9
828,1250,900,18471.69027,1066.944017,561.0795388,0,0,32,32,0.02287638,11,11,7,7,107.8,121.3333333,10,450,27,400,60,25,295201.8718,808.1839507,27.8986041,375801736
829,900,900,20402.97251,757.8455269,757.8455269,0,0,38,29,0.030987351,11,11,10,10,72.5,80.55555556,13,450,40,500,60,25,267049.2686,689.0360138,20.46178799,377003515.7
830,1150,850,21123.57211,1268.179985,729.2628825,0,0,24,29,0.016217367,8,8,6,6,139.2857143,135,13,350,40,500,60,25,211852.7673,614.6858296,23.9331749,377106875.2
831,1150,950,19075.00315,993.4451533,688.890345,0,0,48,25,0.021566998,13,13,13,13,83.75,67.08333333,10,350,30,400,50,25,277170.1482,766.2113565,27.02713775,378508068.3
832,1250,850,19248.19214,1338.9967,669.6303599,0,0,26,32,0.019680415,9,9,6,6,134.75,135.6,10,200,30,500,60,25,258941.7228,724.445212,26.21156937,380035047.3
833,1250,950,20914.02276,1443.526216,879.9484316,0,0,20,29,0.011124545,5,5,7,7,270.25,130.1666667,10,150,35,400,60,25,213756.9671,661.1737167,28.77452355,381198247.2
834,1050,850,20556.38528,1028.950087,694.7704424,0,0,38,29,0.028122974,12,12,9,9,80.09090909,85.125,10,200,40,400,60,25,276659.616,724.7266051,22.42467075,381445104.1
835,1100,950,21465.13957,1124.048026,855.7699697,0,0,32,25,0.015031544,9,9,9,9,118.625,99.875,13,350,40,400,50,25,216665.7585,637.8467003,25.51831818,385830475.6
836,1200,850,20301.87377,1430.23983,782.9200137,0,0,28,29,0.018131918,7,7,9,9,170.8333333,84.375,13,250,35,500,60,25,240390.1136,679.4786193,25.10643901,386604423.4
837,1000,1000,21353.54622,1203.8852,1203.8852,0,0,24,32,0.019301945,7,7,7,7,137,137,13,150,40,400,60,25,254427.1722,703.2342421,24.74249924,391109450.3
838,1150,900,19126.54474,1341.027724,886.7965352,0,0,42,29,0.026803704,12,12,11,11,89.18181818,73.1,10,100,30,400,60,25,320672.7092,840.3961311,26.00325041,391997326.5
839,1150,850,20290.46645,1168.016356,669.0605965,0,0,32,29,0.021623156,10,10,8,8,108.3333333,96.42857143,13,400,35,500,60,25,251600.8034,692.7233624,24.20676854,392094827.4
840,1250,850,20518.01002,1670.295857,872.3422465,0,0,34,25,0.015707963,10,10,9,9,122.1111111,87.375,13,200,35,500,50,25,234476.0752,676.6060958,26.0426399,392328161.9
841,1200,900,19480.24214,1133.978003,661.1971987,0,0,26,32,0.019361519,5,5,10,10,255.5,80.22222222,13,500,30,500,60,25,256626.2209,723.3513631,26.59828396,393476695.7
842,1000,950,20037.63529,1401.512136,1292.825583,0,0,42,29,0.02920193,12,12,11,11,75,77.5,13,100,35,400,60,25,327188.6874,836.2949277,24.0927024,395047241.2
843,1050,950,21407.10417,983.4519712,813.1688438,0,0,30,29,0.019865259,8,8,9,9,125.8571429,97.625,10,250,40,400,60,25,242448.0271,678.7906024,24.60369413,397570101.5
844,950,900,20962.95922,818.0700051,738.5054464,0,0,30,32,0.028219218,10,10,7,7,85.77777778,120.3333333,13,500,40,500,60,25,262580.2915,689.3739919,21.4657823,397575304.6
845,1300,950,19326.36052,1185.446109,647.3444883,0,0,28,29,0.014975349,8,8,8,8,161.5714286,111.5714286,10,450,27,500,60,25,248010.4353,737.8150593,30.10315408,397751213
846,1300,1000,19363.94691,1201.740242,727.3072295,0,0,40,25,0.015103811,11,11,11,11,115.5,85.5,10,350,27,400,50,25,263962.0439,782.3817687,31.70736211,398502897.2
847,1100,950,18855.23847,1023.121203,787.5942435,0,0,32,32,0.024627681,9,9,9,9,116,97.25,10,200,27,500,60,25,294727.4827,791.1759165,26.05544204,399302232.9
848,1000,1000,20583.23006,829.7379555,829.7379555,0,0,26,32,0.020910441,6,6,9,9,165.6,103.5,10,350,35,500,60,25,248674.7306,691.4638973,24.70419713,402202847
849,1150,850,21569.67676,1199.328204,679.7286134,0,0,22,32,0.018100716,8,8,5,5,138.8571429,168,13,450,40,500,60,25,223828.4576,638.147786,24.01574158,402722901.8
850,1350,1000,19763.97339,1540.464502,907.2578687,0,0,30,25,0.010908308,8,8,9,9,171.2857143,106.125,13,300,27,500,50,25,237357.2897,740.4639825,32.67344576,402802219.6
851,1150,800,21042.58528,1470.809514,789.6933647,0,0,38,29,0.027282342,14,14,7,7,75.46153846,105.1666667,10,100,40,400,60,25,289710.677,756.2202165,23.14603477,403758364.5
852,1150,950,22196.42908,1219.756991,853.9545704,0,0,18,29,0.010882707,4,4,7,7,327,130.1666667,10,250,40,500,60,25,188954.3858,593.0058449,26.41996104,406365001.9
853,1150,950,22196.42908,1177.914904,819.9664649,0,0,18,29,0.010882707,4,4,7,7,327,130.1666667,10,300,40,500,60,25,187425.3727,589.9631087,26.40954729,406365001.9
854,1100,950,21843.01737,1040.22306,783.7852547,0,0,22,32,0.016931531,7,7,6,6,153.6666667,154.4,13,500,40,400,60,25,228621.8121,661.2405613,25.60082986,406628030
855,1150,1000,19085.41153,938.0081381,716.7210865,0,0,34,32,0.023777759,9,9,10,10,122.25,92,10,350,27,400,60,25,311195.2296,844.7077468,28.58338596,410143662.1
856,1050,900,21509.31514,927.8431632,686.9871225,0,0,30,29,0.020968884,7,7,10,10,146.8333333,81.22222222,10,450,40,500,60,25,234252.8637,651.9402272,23.34042401,410992098.9
857,1050,800,21087.52984,1071.057776,651.9030074,0,0,32,32,0.030638008,10,10,8,8,96.88888889,88.85714286,13,350,40,500,60,25,276754.0789,714.2448428,21.21820595,411707907.7
858,1350,900,20348.2934,1525.99404,731.7490473,0,0,26,29,0.014134581,10,10,5,5,130.5555556,181.25,13,350,30,500,60,25,242605.7437,723.3089878,29.60564143,412769777.5
859,1100,950,20886.05468,1023.947858,776.635789,0,0,24,32,0.018470761,4,4,10,10,309.3333333,86.44444444,10,300,35,500,60,25,241015.6679,685.5813485,25.6861179,413087430.2
860,1150,900,20656.7044,1048.121028,651.3617099,0,0,30,32,0.023311528,9,9,8,8,122.25,104,10,350,35,400,60,25,276646.9033,753.5105492,25.70143167,413925836.4
861,1100,1000,21216.43993,1075.613188,901.899502,0,0,26,29,0.015612287,8,8,7,7,132.1428571,137.5,13,400,35,500,60,25,231128.342,677.3769585,26.88257059,414193681.9
862,1300,950,19400.6875,1410.05537,806.9555134,0,0,36,29,0.01925402,9,9,11,11,140.625,77.5,13,250,27,400,60,25,300315.1454,840.8403734,30.46226826,415781073.4
863,1200,850,19054.48578,1143.979196,610.7352314,0,0,42,29,0.027197876,13,13,10,10,85.41666667,75,13,400,27,500,60,25,306583.6833,809.3469695,25.56230629,417363086.6
864,950,900,20306.70701,1115.927796,1021.250585,0,0,36,32,0.033863062,10,10,10,10,86.44444444,80.88888889,10,100,35,500,60,25,313216.6814,789.1714501,21.81328404,417726683.5
865,1100,1000,19084.65235,1126.576175,956.0407785,0,0,46,29,0.027621739,13,13,12,12,77.08333333,75,13,200,27,400,60,25,343463.2483,898.2707744,27.65485499,418879727.2
866,1350,1000,20101.03029,1604.710951,952.587375,0,0,20,32,0.011914781,7,7,5,5,196.3333333,207,10,150,27,500,60,25,250325.3522,765.9975921,32.7625085,420618181.4
867,1250,950,20131.58762,1361.851786,833.3969493,0,0,28,32,0.018963315,6,6,10,10,215.6,86.44444444,10,150,30,400,60,25,286084.3153,803.2359851,29.27219993,422553463.1
868,1200,950,19281.4428,1393.237202,940.2756465,0,0,36,32,0.025397296,13,13,7,7,85.66666667,129.6666667,10,100,27,400,60,25,339715.9068,899.1329086,28.54851859,423739454
869,1050,1000,19313.9215,1293.175852,1196.307436,0,0,34,32,0.026042307,9,9,10,10,109,91.33333333,13,150,27,500,60,25,321611.8523,845.3568261,26.35441724,424758024.3
870,1200,950,22669.40278,1308.549607,844.0269855,0,0,20,29,0.011588068,5,5,7,7,256.25,129.1666667,13,350,40,400,60,25,205216.9089,634.6410009,27.62390013,426556195.1
871,1050,1000,22237.54622,1307.94699,1203.8852,0,0,24,32,0.018382805,7,7,7,7,145.3333333,137,13,150,40,400,60,25,259121.8045,722.6165604,25.92443022,430261636.8
872,1100,1000,22509.28852,1120.719247,937.9366218,0,0,20,32,0.014622686,4,4,8,8,309.3333333,118.2857143,10,200,40,400,60,25,224447.6942,664.3010525,26.83647716,430730580.2
