Solution_ID,col_sec_grp_0,col_sec_grp_1,col_sec_grp_2,col_sec_grp_3,col_sec_grp_4,col_sec_grp_5,col_rot_grp_0,col_rot_grp_1,col_rot_grp_2,col_rot_grp_3,col_rot_grp_4,col_rot_grp_5,beam_sec_grp_0,beam_sec_grp_1,beam_sec_grp_2,beam_sec_grp_3
1,779,171,260,18,421,811,1,0,1,1,0,1,87,545,174,53
2,82,253,171,268,645,83,0,0,0,0,0,0,893,629,788,286
3,299,297,287,429,301,170,1,1,1,1,0,0,834,508,548,300
4,707,52,987,64,415,796,1,0,1,0,0,1,597,215,76,237
5,186,700,215,832,857,452,1,0,1,0,1,0,769,414,250,133
6,975,536,412,72,596,987,1,0,1,0,1,0,276,352,667,224
