ID,cost,co2,fitness1_obj,fitness2_obj,mean_strength_ratio,max_strength_ratio,violation,violation_deflection,violation_drift,violation_hierarchy,violation_wind_disp,individual_genes
Sol #1,29024030.986680016,88876.87912119999,0.3434605364158,0.3509343249821487,0.3509343249821487,0.9911637716445038,0.0,0.8163265306122449,0.19667566404964595,1.0,0.999568078688229,"[701, 560, 640, 265, 284, 526, 1, 1, 0, 0, 1, 0, 480, 168, 14, 138]"
Sol #2,29024030.986680016,88876.87912119999,0.3434605364158,0.3509343249821487,0.3509343249821487,0.9911637716445038,0.0,0.8163265306122449,0.19667566404964595,1.0,0.999568078688229,"[701, 560, 640, 265, 284, 526, 1, 1, 0, 0, 1, 0, 130, 168, 239, 138]"
Sol #3,29024030.986680016,88876.87912119999,0.3434605364158,0.3509343249821487,0.3509343249821487,0.9911637716445038,0.0,0.8163265306122449,0.19667566404964595,1.0,0.999568078688229,"[701, 560, 640, 265, 284, 526, 1, 1, 0, 0, 1, 0, 128, 168, 188, 138]"
Sol #4,29024030.986680016,88876.87912119999,0.3434605364158,0.3509343249821487,0.3509343249821487,0.9911637716445038,0.0,0.8163265306122449,0.19667566404964595,1.0,0.999568078688229,"[701, 560, 640, 265, 284, 526, 1, 1, 0, 0, 1, 0, 130, 168, 608, 138]"
Sol #5,29024030.986680016,88876.87912119999,0.3434605364158,0.3509343249821487,0.3509343249821487,0.9911637716445038,0.0,0.8163265306122449,0.19667566404964595,1.0,0.999568078688229,"[701, 560, 640, 265, 284, 526, 1, 1, 0, 0, 1, 0, 130, 168, 226, 138]"
Sol #6,29024030.986680016,88876.87912119999,0.3434605364158,0.3509343249821487,0.3509343249821487,0.9911637716445038,0.0,0.8163265306122449,0.19667566404964595,1.0,0.999568078688229,"[701, 560, 640, 265, 284, 526, 1, 1, 0, 0, 1, 0, 943, 168, 418, 138]"
Sol #7,29024030.986680016,88876.87912119999,0.3434605364158,0.3509343249821487,0.3509343249821487,0.9911637716445038,0.0,0.8163265306122449,0.19667566404964595,1.0,0.999568078688229,"[701, 560, 640, 265, 284, 526, 1, 1, 0, 0, 1, 0, 316, 168, 418, 138]"
Sol #8,29024030.986680016,88876.87912119999,0.3434605364158,0.3509343249821487,0.3509343249821487,0.9911637716445038,0.0,0.8163265306122449,0.19667566404964595,1.0,0.999568078688229,"[701, 560, 640, 265, 284, 526, 1, 1, 0, 0, 1, 0, 480, 168, 950, 138]"
Sol #9,29024030.986680016,88876.87912119999,0.3434605364158,0.3509343249821487,0.3509343249821487,0.9911637716445038,0.0,0.8163265306122449,0.19667566404964595,1.0,0.999568078688229,"[701, 560, 640, 265, 284, 526, 1, 1, 0, 0, 1, 0, 97, 168, 14, 138]"
Sol #10,29024030.986680016,88876.87912119999,0.3434605364158,0.3509343249821487,0.3509343249821487,0.9911637716445038,0.0,0.8163265306122449,0.19667566404964595,1.0,0.999568078688229,"[701, 560, 640, 265, 284, 526, 1, 1, 0, 0, 1, 0, 130, 168, 154, 138]"
Sol #11,29024030.986680016,88876.87912119999,0.3434605364158,0.3509343249821487,0.3509343249821487,0.9911637716445038,0.0,0.8163265306122449,0.19667566404964595,1.0,0.999568078688229,"[701, 560, 640, 265, 284, 526, 1, 1, 0, 0, 1, 0, 130, 168, 14, 138]"
