Solution_ID,col_sec_grp_0,col_sec_grp_1,col_sec_grp_2,col_sec_grp_3,col_sec_grp_4,col_sec_grp_5,col_rot_grp_0,col_rot_grp_1,col_rot_grp_2,col_rot_grp_3,col_rot_grp_4,col_rot_grp_5,beam_sec_grp_0,beam_sec_grp_1,beam_sec_grp_2,beam_sec_grp_3
Sol #1,718,446,704,63,265,267,0,0,1,0,1,1,197,185,181,169
Sol #2,605,446,522,63,265,521,0,1,1,0,0,1,197,185,181,169
Sol #3,718,446,704,63,265,359,0,0,1,0,1,1,197,185,181,169
Sol #4,718,446,704,183,265,267,0,0,1,0,0,1,197,185,181,169
Sol #5,605,446,522,63,265,267,0,0,1,0,1,1,197,185,181,247
Sol #6,718,446,522,63,265,521,0,0,1,1,0,1,197,191,181,247
Sol #7,718,446,704,63,265,416,0,0,1,0,1,0,197,191,181,247
Sol #8,718,446,704,63,265,416,0,0,1,0,1,1,197,191,181,247
Sol #9,605,446,522,267,265,521,0,1,1,1,0,1,197,191,181,247
Sol #10,718,446,522,63,265,267,0,0,1,0,1,1,197,249,181,247
Sol #11,605,446,522,183,265,267,0,1,1,0,1,0,197,249,181,247
Sol #12,718,446,704,63,265,267,0,0,1,0,1,0,197,249,181,247
Sol #13,605,446,522,63,265,267,0,0,1,0,0,1,197,295,181,247
Sol #14,605,446,522,63,265,416,0,0,1,0,1,1,197,295,181,247
Sol #15,605,446,522,354,265,267,0,0,1,0,0,1,411,191,181,247
Sol #16,605,446,522,63,265,267,0,0,0,0,1,1,384,295,181,247
Sol #17,605,446,522,481,265,267,0,0,1,0,1,1,197,508,181,247
Sol #18,586,411,522,243,265,688,1,1,0,1,0,0,548,377,273,212
Sol #19,869,722,736,133,169,459,0,0,0,1,1,1,247,226,342,551
Sol #20,862,465,899,344,128,283,0,0,1,0,0,0,548,377,273,212
Sol #21,862,465,899,344,128,667,0,1,0,0,0,1,403,650,254,247
Sol #22,862,465,899,344,128,667,0,1,0,0,0,1,403,650,254,398
Sol #23,995,773,959,44,290,367,0,1,1,0,1,0,582,421,511,729
Sol #24,457,974,734,248,405,102,0,0,0,0,0,0,528,934,825,690
