Solution_ID,col_sec_grp_0,col_sec_grp_1,col_sec_grp_2,col_sec_grp_3,col_sec_grp_4,col_sec_grp_5,col_rot_grp_0,col_rot_grp_1,col_rot_grp_2,col_rot_grp_3,col_rot_grp_4,col_rot_grp_5,beam_sec_grp_0,beam_sec_grp_1,beam_sec_grp_2,beam_sec_grp_3
Sol #1,363,474,651,205,262,313,0,1,1,0,0,0,231,185,222,195
Sol #2,363,474,651,295,262,283,0,1,1,0,0,0,231,185,222,195
Sol #3,363,474,651,309,262,283,0,1,1,0,0,0,231,185,222,195
Sol #4,363,474,651,115,262,283,0,1,1,0,0,1,249,185,222,195
Sol #5,363,474,651,365,262,313,0,1,1,0,0,0,231,185,222,195
Sol #6,363,474,651,115,262,283,0,1,1,0,0,1,315,185,222,195
Sol #7,363,474,651,205,262,457,0,1,0,0,0,0,231,185,222,236
Sol #8,363,474,651,205,262,283,0,1,1,0,1,0,231,276,222,195
Sol #9,363,474,651,205,262,283,0,1,1,0,0,0,231,185,222,377
Sol #10,363,474,651,205,262,283,0,1,1,0,0,0,231,185,222,307
Sol #11,363,474,651,115,262,283,0,1,1,0,0,0,231,185,222,404
Sol #12,363,474,651,205,262,283,0,1,1,0,0,0,231,185,222,509
Sol #13,363,816,651,115,262,283,0,1,1,0,0,0,231,434,222,195
Sol #14,363,474,993,115,262,283,0,1,1,0,0,0,231,291,222,357
Sol #15,363,474,651,71,202,283,0,1,1,0,0,0,187,369,184,603
Sol #16,363,474,651,71,202,283,0,1,1,0,0,1,635,185,222,647
Sol #17,363,474,651,115,262,283,0,1,1,0,0,0,231,681,222,455
Sol #18,369,474,651,71,202,283,0,1,1,0,0,1,570,795,279,195
Sol #19,369,474,651,71,202,283,0,1,0,0,0,0,187,861,279,658
Sol #20,928,716,788,205,160,379,1,0,0,0,0,1,658,330,348,326
Sol #21,509,741,764,307,844,168,0,0,1,0,0,1,307,416,459,714
Sol #22,849,737,848,289,115,152,0,1,1,0,1,0,853,217,466,859
Sol #23,517,738,669,42,159,322,0,1,1,0,0,1,797,752,408,691
Sol #24,401,907,967,227,301,270,1,0,1,1,0,1,706,729,901,932
Sol #25,797,981,995,586,989,402,1,1,1,1,1,1,932,281,619,627
