ID,Cost,CO2,Max_Drift_Ratio,Max_Drift_Ratio_Percent,Mean_DCR,N_types,Fit1(CostCO2),Fit2(MaxDrift)
1,31124324.528063465,97389.51578475442,0.018662999854409505,1.8662999854409505,0.07999994034272527,16,0.06166966872626033,0.9331499927204752
2,31087160.155394662,97511.11473025187,0.01863583972825049,1.863583972825049,0.08403180938161652,16,0.06175072020255074,0.9317919864125245
3,31146533.963619884,97627.73421213453,0.018634214725298776,1.8634214725298777,0.08540895460294294,18,0.0625989384322101,0.9317107362649387
4,31142992.21699496,97781.20007492533,0.0170681193698002,1.70681193698002,0.08714016192972014,17,0.06305285363274744,0.85340596849001
5,31259894.697663475,97869.34783827433,0.01652542851726469,1.652542851726469,0.0837932199391524,17,0.06427803023819648,0.8262714258632345
6,31333750.595093187,98209.00802599937,0.016518117713762645,1.6518117713762646,0.08849643145075345,15,0.06594512478253622,0.8259058856881323
7,31415197.863296207,98368.98324912415,0.01651777571190948,1.6517775711909481,0.08864525995322764,16,0.06710868595051298,0.8258887855954741
8,31399812.44626588,98490.66893387222,0.016499878082479793,1.6499878082479793,0.08206128856020029,18,0.06736661544239003,0.8249939041239897
9,31355442.31946217,98606.63199658591,0.015289752310978828,1.5289752310978828,0.08676929529203947,17,0.06737151126328467,0.7644876155489414
10,31502121.487030182,98852.04236316751,0.015271142196077241,1.527114219607724,0.08689623642217949,19,0.06933272213225847,0.763557109803862
11,31576239.011980202,98997.62081966994,0.01527096238315298,1.527096238315298,0.08689578810515647,19,0.07039157009365875,0.763548119157649
12,31593745.181377377,99226.60129383416,0.014157564500763598,1.4157564500763598,0.08350430380441445,19,0.07125364862197617,0.7078782250381799
13,31667862.706327397,99372.1797503366,0.01415739497117816,1.415739497117816,0.08350388206204587,19,0.07231249658337645,0.707869748558908
14,31874097.440105896,99929.28987898018,0.014053328489419937,1.4053328489419936,0.08325716468078959,19,0.07573690801053908,0.7026664244709968
15,31926157.690957393,99934.52156345506,0.01398544349693391,1.398544349693391,0.08882126386968796,17,0.07617551695202894,0.6992721748466955
16,31866729.99538618,100269.70940856967,0.013955030472397099,1.3955030472397099,0.08368196580875946,17,0.07674775173100983,0.6977515236198549
17,31984315.54184417,100265.25126825683,0.013608572295731081,1.360857229573108,0.08858450746417268,17,0.07768723077133144,0.680428614786554
18,31956113.34103098,100392.14378914342,0.013579329783077678,1.3579329783077678,0.08721702073403494,16,0.07785760414496057,0.6789664891538839
19,32041634.843590196,100216.32708853958,0.013545115227687868,1.354511522768787,0.08322926704807425,18,0.07799817036746359,0.6772557613843934
20,31994368.786112685,100477.7214854258,0.013281028601497219,1.3281028601497218,0.07924999248905568,19,0.07843695049196289,0.6640514300748609
21,32037423.184910376,100604.97763404252,0.01288544246706039,1.288544246706039,0.08096217715357965,16,0.07918628615150691,0.6442721233530195
22,32027780.191768978,100898.3647502165,0.012313801591129062,1.231380159112906,0.0826648611299059,18,0.08003076513019095,0.615690079556453
23,32164033.9328614,101360.58410023982,0.012271557988535377,1.2271557988535378,0.08850243112310349,19,0.08258927947845135,0.6135778994267689
24,32291234.415937383,101751.89288530604,0.012024052655351409,1.202405265535141,0.08926890170120441,18,0.08485137428023004,0.6012026327675705
25,32314079.42870829,101697.98756257807,0.011566621023132849,1.1566621023132848,0.08577239843730962,18,0.0848670971680544,0.5783310511566424
26,32332748.78046338,101691.9665515498,0.011526869959050367,1.1526869959050368,0.08718275155629257,18,0.08499955117278901,0.5763434979525184
27,32467019.6583136,101955.69563807621,0.01152624018419811,1.152624018419811,0.08946977052575729,19,0.08691775399166374,0.5763120092099054
28,32421628.117312986,102085.7640286193,0.011055202874936257,1.1055202874936256,0.08536763893703053,17,0.0869587270603289,0.5527601437468128
29,32620447.1845832,102658.5619655747,0.011000737240389937,1.1000737240389937,0.08590673215052227,18,0.09037234158464108,0.5500368620194969
30,32819078.533574585,103154.11762485819,0.01049020341565885,1.049020341565885,0.0842423793108858,18,0.09354151447407874,0.5245101707829425
31,32893196.058524605,103299.69608136063,0.010490107467930478,1.0490107467930478,0.08424204764532713,18,0.09460036243547901,0.5245053733965239
32,32998496.081852797,103701.11746952322,0.010484408228110828,1.0484408228110829,0.0855507994757854,17,0.09671666988362371,0.5242204114055413
33,33156823.713299803,103981.8444556659,0.010417783000058859,1.041778300005886,0.08949851107061607,18,0.0988834052981021,0.5208891500029429
34,33266484.8073056,104519.77564886652,0.010340265601398778,1.0340265601398777,0.08836512454047118,17,0.10146438662741461,0.5170132800699389
35,33707747.41841991,106000.34809539437,0.010321915478046378,1.0321915478046377,0.08621491039760723,20,0.10969883456312411,0.5160957739023189
36,33762457.186048195,105989.34247842652,0.010026371369891427,1.0026371369891427,0.08726043859033177,18,0.1101078636674892,0.5013185684945713
37,33911765.8483383,106211.20187894648,0.009996113575828235,0.9996113575828235,0.09232012038413212,19,0.11201633157884068,0.49980567879141174
38,34059323.71504919,106604.2553928214,0.009921036856652733,0.9921036856652733,0.09041031001818527,19,0.11444899110532068,0.4960518428326366
39,34321023.1099843,107298.59041673421,0.009832666586862436,0.9832666586862435,0.07867647847349862,19,0.11875472356192213,0.49163332934312176
40,34655064.086779505,107403.66593183855,0.009802988894397626,0.9802988894397626,0.08240736053536113,19,0.1217939091487676,0.49014944471988126
41,34970221.70916291,108379.41741369237,0.009666717789322168,0.9666717789322168,0.08354195627136275,20,0.12741816089568805,0.4833358894661084
42,34914760.34154124,108618.10281723694,0.009509806285562777,0.9509806285562777,0.08334981607674585,18,0.12771906780212255,0.47549031427813887
43,35225163.09724969,109699.41287563396,0.009485509420517709,0.9485509420517709,0.07468855463133522,20,0.13363673383400926,0.4742754710258854
44,35651364.573637515,110195.40793250555,0.009465528279220049,0.9465528279220049,0.09128780585640453,20,0.13865265138268912,0.47327641396100245
45,35701837.63291109,111349.37706173385,0.009313049551640085,0.9313049551640085,0.08894487742414169,20,0.14269105704284585,0.46565247758200423
46,36168476.74016524,111830.27522458565,0.008941619620749257,0.8941619620749257,0.07767722728412428,17,0.1479874044826901,0.44708098103746285
47,36476209.06157191,113311.92769667688,0.008726333264689528,0.8726333264689529,0.09707603425018234,19,0.1551424538495002,0.43631666323447643
48,38715464.5932107,117507.76147288101,0.008426074805587488,0.8426074805587488,0.0945655407481326,20,0.18649603185314187,0.4213037402793744
49,38565761.594982706,118172.35129013224,0.008260703043300297,0.8260703043300297,0.0975697156046048,19,0.18737216261532497,0.41303515216501485
50,40019934.52533669,122979.53148274473,0.008198044393620273,0.8198044393620273,0.07326758800254472,18,0.21428214227592218,0.40990221968101365
51,40154159.253821,123060.48120105398,0.007854829579910088,0.7854829579910088,0.08102965519967102,19,0.215625147583015,0.3927414789955044
52,41565130.07493744,125858.5070059406,0.007698844779999644,0.7698844779999644,0.07860106878463256,20,0.23586620737477787,0.3849422389999822
53,41488745.12997625,127121.70482897473,0.00753740402638467,0.753740402638467,0.07694397421766558,20,0.239219436944522,0.3768702013192335
54,58837692.19063823,173454.70000674712,0.007322495255585711,0.732249525558571,0.06406192536745998,20,0.5256145431723939,0.3661247627792855
55,65546033.53232699,189792.34273469888,0.007224939944643511,0.722493994464351,0.060298318040807694,20,0.6313926769080127,0.3612469972321755
56,65884208.83147918,190626.74507035024,0.007223148111104279,0.722314811110428,0.06080360011489898,20,0.6367590493758031,0.3611574055552139
57,68200236.60928154,202315.7305884882,0.006953911590097316,0.6953911590097316,0.05478019520439935,20,0.6923004038373016,0.3476955795048658
58,69198215.14189973,205128.7418012363,0.006805237438477117,0.6805237438477117,0.059991834776234425,20,0.7092396429171582,0.3402618719238558
59,75434760.25553152,223537.3524388407,0.006559075022817403,0.6559075022817402,0.06201655360338432,20,0.8177049801207263,0.3279537511408701
