gen,nevals,avg,std,min,valid_ratio,avg_cost,avg_co2,avg_dcr,hof_size
0,100,[0.64795905 0.29996618],[0.18193691 0.12305992],[0.34013548 0.15751821],0.0,0.0,0.0,0.0,0
1,76,[0.66286771 0.27329413],[0.17219902 0.06610462],[0.34896186 0.15751821],0.0,0.0,0.0,0.0,0
2,92,[0.63593398 0.26778749],[0.18384573 0.05460524],[0.33835458 0.15751821],0.0,0.0,0.0,0.0,0
3,80,[0.59236562 0.28498408],[0.19439955 0.0573516 ],[0.35702753 0.15751821],1.0,38510522.99956,111572.18404079997,0.3169026253276783,1
4,89,[0.5627199 0.2901263],[0.19611495 0.05688862],[0.35979485 0.15751821],1.0,38510522.99956,111572.18404079997,0.3169026253276783,1
5,78,[0.43389505 0.32838861],[0.07547012 0.03611397],[0.35239182 0.21209039],1.0,38510522.99956,111572.18404079997,0.3169026253276783,1
6,86,[0.4340117  0.32262164],[0.07586131 0.03212121],[0.35239182 0.21209039],1.0,38510522.99956,111572.18404079997,0.3169026253276783,1
7,77,[0.40794929 0.34136923],[0.0668424  0.03840214],[0.35239182 0.21209039],1.0,38510522.99956,111572.18404079997,0.3169026253276783,1
8,84,[0.36920595 0.36932631],[0.05202292 0.02491509],[0.35239182 0.21209039],1.0,38510522.99956,111572.18404079997,0.3169026253276783,1
9,93,[0.36920595 0.36932631],[0.05202292 0.02491509],[0.35239182 0.21209039],1.0,38510522.99956,111572.18404079997,0.3169026253276783,1
10,79,[0.37177909 0.36816959],[0.05433678 0.02562393],[0.35239182 0.21209039],1.0,38510522.99956,111572.18404079997,0.3169026253276783,1
11,91,[0.37579461 0.36754912],[0.06346412 0.02590724],[0.35239182 0.21209039],1.0,38510522.99956,111572.18404079997,0.3169026253276783,1
12,74,[0.37640324 0.36709635],[0.06332972 0.02601642],[0.35239182 0.21209039],1.0,38510522.99956,111572.18404079997,0.3169026253276783,1
13,87,[0.37704668 0.36689343],[0.06320758 0.02597998],[0.35239182 0.21209039],1.0,38510522.99956,111572.18404079997,0.3169026253276783,1
14,80,[0.38061865 0.36624476],[0.07019079 0.02611053],[0.35239182 0.21209039],1.0,38510522.99956,111572.18404079997,0.3169026253276783,1
15,89,[0.37151887 0.36582987],[0.05692604 0.0237758 ],[0.35239182 0.21209039],1.0,38510522.99956,111572.18404079997,0.3169026253276783,1
16,82,[0.37432772 0.36378312],[0.06014132 0.02648983],[0.34995307 0.21209039],1.0,38510522.99956,111572.18404079997,0.3169026253276783,1
