gen,nevals,avg,std,min,valid_ratio,avg_cost,avg_co2,avg_dcr,hof_size
89,92,[0.42101874 0.28602904],[0.02103584 0.00936796],[0.41890456 0.19281898],100.0,33332847.366040457,102369.9709537119,0.28602903849794337,36
90,77,[0.42101874 0.28602904],[0.02103584 0.00936796],[0.41890456 0.19281898],100.0,33332847.366040457,102369.9709537119,0.28602903849794337,36
91,89,[0.42101874 0.28602904],[0.02103584 0.00936796],[0.41890456 0.19281898],100.0,33332847.366040457,102369.9709537119,0.28602903849794337,36
92,83,[0.4226999  0.28515923],[0.02605055 0.01234178],[0.41011005 0.19281898],100.0,33434033.159479257,102640.48957683591,0.2851592290767486,24
93,83,[0.42362412 0.28486033],[0.02711855 0.01246417],[0.41011005 0.19281898],100.0,33497915.389140453,102765.9290539999,0.2848603335506083,24
94,84,[0.42321061 0.28480077],[0.02739283 0.0124628 ],[0.41011005 0.19281898],100.0,33496762.31142045,102632.46098052792,0.28480076799202175,21
95,89,[0.42262002 0.2846205 ],[0.0283312  0.01255899],[0.39465971 0.19281898],100.0,33513712.161780443,102389.40060187991,0.2846205032576048,21
96,86,[0.41938572 0.28441372],[0.02906692 0.01252399],[0.39465971 0.19281898],100.0,33461418.461570814,101467.50248543994,0.2844137231569067,25
97,89,[0.41231218 0.28556934],[0.02191088 0.00932176],[0.41011005 0.19281898],100.0,33188878.464568395,99897.28472231198,0.2855693414765988,25
98,78,[0.41231218 0.28556934],[0.02191088 0.00932176],[0.41011005 0.19281898],100.0,33188878.464568395,99897.28472231198,0.2855693414765988,25
99,91,[0.41231218 0.28556934],[0.02191088 0.00932176],[0.41011005 0.19281898],100.0,33188878.464568395,99897.28472231198,0.2855693414765988,25
100,77,[0.41231218 0.28556934],[0.02191088 0.00932176],[0.41011005 0.19281898],100.0,33188878.464568395,99897.28472231198,0.2855693414765988,25
