name,b,d,h,PiM,M,rho_t,rho_c,PiVn,stirrup,stirrup_space,fck,fy,Cost,CO2,UnitWeight,dimension,PI_size,n_b,N_r,N_n,N_r_C,N_n_C
358,300,748,850,458.8796989,539.8584693,0.007450749,0.003135247,724.243764,13,100,21,400,58654.63759,167.4497289,6.265557638,22,50,3,5,2,2,1
359,500,529,600,459.4111594,540.4837169,0.008362827,0.004160738,400.796786,1.00E+01,100,21,400,60835.66773,180.6378322,7.315883895,22,50,7,6,1,3,1
360,550,476,550,460.2838927,541.5104621,0.008761914,0.004024992,359.5857976,13,200,27,400,59588.48064,178.650876,7.364906585,22,50,8,6,1,3,1
361,550,429,500,463.307026,545.0670894,0.011411589,0.005669519,355.4155078,10,100,27,400,63796.47279,181.3656991,6.761461873,22,50,8,7,1,4,1
362,250,739,850,465.6503314,547.8239193,0.007414233,0.003029413,610.4444551,13,150,27,500,45051.02046,131.9340944,5.195200179,16,40,3,7,3,3,1
363,300,789,900,465.8390746,548.0459702,0.007026889,0.00291624,763.9416174,13,100,21,400,61559.52372,176.2468616,6.630317251,16,40,4,9,3,4,1
364,300,742,850,466.7533689,549.1216105,0.008170566,0.003548769,227.4128151,1.00E+01,350,21,400,44157.62652,138.553845,6.166948988,16,40,4,10,3,4,1
365,300,798,900,467.6427858,550.1679833,0.005058407,0.002106441,454.894679,13,250,21,500,43263.19401,139.9653309,6.50535749,22,50,3,4,2,2,1
366,250,823,950,473.3233961,556.8510542,0.008029,0.00323771,228.6665795,10,350,21,400,40534.90715,127.8889856,5.739632234,22,50,2,5,3,2,1
367,550,464,550,474.8147059,558.6055364,0.010083243,0.004972314,412.1083918,13,150,27,400,67112.81222,193.5249869,7.416422504,16,40,9,13,2,7,1
368,350,664,750,478.5002895,562.941517,0.008813105,0.003975349,661.9292658,13,100,21,400,63681.35507,178.8391117,6.472611998,16,40,5,10,2,5,1
369,400,664,750,478.8705951,563.3771707,0.005855847,0.002349063,482.6449142,13,200,21,500,51247.86051,161.7856542,7.249966131,16,40,6,8,2,4,1
370,450,642,700,478.9655431,563.4888742,0.005195717,0.002518882,316.7559511,10,250,21,500,47400.34753,157.131159,7.568775693,16,40,7,7,1,4,1
371,600,426,500,480.7150515,565.5471194,0.010650042,0.005316333,392.1928914,13,150,27,400,68212.79378,195.1639937,7.3665465,22,50,9,7,1,4,1
372,200,786,1000,482.3894001,567.5169413,0.010986385,0.004903951,352.4905862,13,250,27,400,43744.74324,126.7104485,4.899123949,22,50,1,6,6,3,3
373,450,501,600,483.0535962,568.2983484,0.011347978,0.004939115,240.8703456,10,250,27,400,54323.3132,161.5820707,6.581751464,22,50,6,7,2,3,1
374,500,517,600,483.2644783,568.5464451,0.009606893,0.004088183,289.7159303,10,200,27,400,57302.62959,173.5613653,7.291945267,16,40,8,12,2,6,1
375,200,901,1000,483.6332353,568.9802768,0.006431876,0.00310882,221.1631417,10,450,21,500,32098.61081,103.6910134,4.819380588,22,50,2,4,2,2,1
376,300,748,850,487.5590912,573.5989308,0.007979521,0.00351621,525.6762588,13,150,21,400,53641.83326,157.433256,6.231527839,22,50,3,5,2,3,1
377,200,867,1000,493.9379092,581.1034226,0.007045802,0.003355093,282.8616557,10,300,27,500,34287.97435,108.0309231,4.834337749,16,40,2,7,4,4,2
378,450,526,600,494.1088144,581.3044876,0.007901457,0.003557012,415.5556011,13,200,27,500,51530.50956,156.2171003,6.56220743,22,50,6,5,1,3,1
379,600,489,550,494.1223887,581.3204573,0.006783923,0.002940336,433.9667262,13,200,27,500,58883.85866,182.8699767,7.992314448,16,40,10,10,1,4,1
380,350,617,700,495.7203065,583.2003605,0.007666658,0.003753786,285.6408395,10,250,27,500,43152.4708,134.5741949,5.930034089,16,40,5,9,2,4,1
381,250,917,1000,497.6174549,585.4322998,0.005038856,0.00238041,311.3719637,10,300,21,500,37695.90706,124.873321,6.007449389,16,40,3,6,2,3,1
382,350,692,800,498.1765168,586.0900198,0.008313331,0.004036861,301.7861379,10,200,21,400,51745.47373,158.5968565,6.793814903,16,40,5,11,3,5,1
383,250,901,1000,498.4333898,586.3922233,0.005233244,0.0021988,341.3212705,10,250,21,500,38186.42161,125.8548262,6.010775566,22,50,2,4,2,2,1
384,400,664,750,498.8720117,586.908249,0.007738787,0.003553698,363.6636898,13,250,21,400,55556.66791,170.1955129,7.279759222,16,40,6,11,2,5,1
385,400,614,700,499.0487166,587.1161372,0.006607129,0.003073317,363.2659439,13,300,27,500,47402.85572,150.0782773,6.763903975,16,40,6,8,2,4,1
386,300,801,900,501.5239643,590.0281933,0.007138914,0.00305734,288.6340604,10,250,21,400,45570.04201,144.4083915,6.521469304,22,50,3,5,2,2,1
387,550,479,550,501.9053915,590.4769312,0.009903022,0.004549234,396.8392266,10,100,27,400,64881.53719,189.0917237,7.401206892,22,50,8,7,1,3,1
388,500,567,650,502.4555291,591.1241518,0.00856168,0.004030219,269.2720083,10,250,21,400,58620.34882,181.1976777,7.875914555,16,40,8,12,2,6,1
389,400,629,700,503.8860079,592.8070681,0.006373671,0.002596978,533.9305773,10,100,27,500,51034.68466,157.3298138,6.788573849,22,50,5,5,1,2,1
390,600,492,550,504.8634585,593.9570101,0.007045893,0.002937841,481.5499467,10,100,27,500,61507.17412,188.0714791,8.010232503,16,40,10,10,1,4,1
391,600,576,650,504.876673,593.9725564,0.004956496,0.002036118,580.2362641,13,150,21,500,64564.63072,206.3103523,9.410715374,22,50,9,5,1,2,1
392,450,579,650,507.1569891,596.6552813,0.006273437,0.003103404,396.6049575,10,150,27,500,49781.61761,157.3088373,7.06763015,22,50,6,5,1,3,1
