ID,Cost,CO2,Mean_DCR,Fit1(NormCost+CO2),Fit2(Mean_DCR)
Sol #1,"27,431,261","85,267",0.4289,0.3190,0.4289
Sol #2,"27,431,261","85,267",0.4289,0.3190,0.4289
Sol #3,"27,722,431","85,839",0.4207,0.3232,0.4207
Sol #4,"27,722,966","86,133",0.4136,0.3241,0.4136
Sol #5,"27,863,081","86,605",0.4120,0.3267,0.4120
Sol #6,"28,095,016","87,503",0.4044,0.3314,0.4044
Sol #7,"28,353,266","88,006",0.4043,0.3351,0.4043
Sol #8,"28,512,479","88,030",0.4012,0.3365,0.4012
Sol #9,"29,031,042","89,855",0.3820,0.3465,0.3820
Sol #10,"30,008,919","91,998",0.3810,0.3613,0.3810
Sol #11,"30,029,742","92,120",0.3783,0.3618,0.3783
Sol #12,"30,154,229","93,674",0.3756,0.3676,0.3756
Sol #13,"31,214,147","94,978",0.3574,0.3806,0.3574
Sol #14,"32,308,201","99,316",0.3463,0.4030,0.3463
Sol #15,"32,271,283","99,911",0.3360,0.4045,0.3360
Sol #16,"34,000,475","104,296",0.3347,0.4325,0.3347
Sol #17,"38,189,368","114,239",0.3305,0.4983,0.3305
Sol #18,"39,735,009","119,929",0.3303,0.5287,0.3303
Sol #19,"40,267,299","119,155",0.3236,0.5309,0.3236
Sol #20,"40,506,737","119,728",0.3096,0.5347,0.3096
Sol #21,"47,054,785","138,815",0.2604,0.6483,0.2604
Sol #22,"50,329,178","149,067",0.2288,0.7072,0.2288
Sol #23,"56,810,145","163,811",0.2222,0.8071,0.2222
