ID,Cost,CO2,Mean_DCR,Fit1(NormCost+CO2),Fit2(Mean_DCR)
Sol #1,"27,068,446","83,211",0.4112,0.3096,0.4112
Sol #2,"27,264,586","83,620",0.4104,0.3126,0.4104
Sol #3,"27,619,697","84,583",0.4102,0.3185,0.4102
Sol #4,"27,677,508","84,552",0.4097,0.3189,0.4097
Sol #5,"27,692,013","84,822",0.4066,0.3198,0.4066
Sol #6,"27,911,403","85,449",0.4049,0.3236,0.4049
Sol #7,"27,978,707","85,875",0.3882,0.3255,0.3882
Sol #8,"28,202,527","86,772",0.3873,0.3301,0.3873
Sol #9,"28,545,669","87,001",0.3855,0.3337,0.3855
Sol #10,"28,533,789","87,364",0.3844,0.3347,0.3844
Sol #11,"28,634,198","87,572",0.3830,0.3362,0.3830
Sol #12,"28,772,553","88,274",0.3794,0.3395,0.3794
Sol #13,"29,751,193","91,481",0.3636,0.3575,0.3636
Sol #14,"30,294,606","92,558",0.3602,0.3654,0.3602
Sol #15,"31,369,308","95,532",0.3371,0.3836,0.3371
Sol #16,"32,839,370","99,315",0.3309,0.4076,0.3309
Sol #17,"34,941,272","104,400",0.3183,0.4409,0.3183
Sol #18,"35,373,659","109,640",0.3139,0.4604,0.3139
Sol #19,"37,696,046","113,427",0.2954,0.4917,0.2954
Sol #20,"43,457,644","131,131",0.2700,0.5944,0.2700
Sol #21,"45,936,862","135,298",0.2607,0.6281,0.2607
Sol #22,"49,046,093","148,980",0.2462,0.6960,0.2462
Sol #23,"59,107,481","178,647",0.2179,0.8715,0.2179
