Parameter,Obj1_NormCostCO2,Obj2_MaxDrift,Cost,CO2,Max_Drift,Hypervolume
0.5,0.42349752005899577,0.011714479347549267,54149193.920104705,153073.12680114302,0.011714479347549267,5.178942335461033
0.5,0.42423046988411595,0.011521652139934996,54053959.118366666,153551.7449574127,0.011521652139934996,5.178942335461033
0.5,0.42648872862572035,0.0112675368063041,53989116.44571563,154437.00834417023,0.0112675368063041,5.178942335461033
0.5,0.43053996464684063,0.00952057741954889,54483607.70808127,154450.17685728165,0.00952057741954889,5.178942335461033
0.5,0.4327982233884451,0.009300578695688533,54418765.03543023,155335.44024403917,0.009300578695688533,5.178942335461033
0.5,0.4487805345405867,0.009275216933385556,55154433.69515877,158520.52625435014,0.009275216933385556,5.178942335461033
0.5,0.45114216092049503,0.008788490236739008,55590516.27457998,158147.04541811362,0.008788490236739008,5.178942335461033
0.5,0.4518751107456153,0.008595520432671951,55495281.47284194,158625.66357438333,0.008595520432671951,5.178942335461033
0.5,0.4532305061910449,0.007935446551745612,55614984.58130961,158747.99636937748,0.007935446551745612,5.178942335461033
0.5,0.46564438096019856,0.007259972593580669,56472043.46109646,160485.41018007213,0.007259972593580669,5.178942335461033
0.5,0.4664020432562145,0.007169550907816982,56340113.4875206,161066.50308053434,0.007169550907816982,5.178942335461033
0.5,0.49602873056379226,0.007030643102193404,57921626.447568394,166409.1877105512,0.007030643102193404,5.178942335461033
0.5,0.4991233067688208,0.006495001734054655,58262474.22525156,166514.32503058435,0.006495001734054655,5.178942335461033
0.5,0.509542228149642,0.006386065876137675,58864262.88876381,168275.59618500527,0.006386065876137675,5.178942335461033
0.5,0.5237262553366775,0.006267164613712802,59940293.98385697,170011.26430186935,0.006267164613712802,5.178942335461033
0.5,0.5787928708245718,0.006261724940730676,63401718.4387125,178595.94252723551,0.006261724940730676,5.178942335461033
0.5,0.6086668513565472,0.005813290188646818,65009256.96296544,183950.15448108804,0.005813290188646818,5.178942335461033
0.6,0.4109955445835307,0.00944365379444319,53470006.085953,150849.06693482408,0.00944365379444319,5.2090705686711045
0.6,0.4222620898492678,0.0091407972674913,53614269.424828,154059.569031192,0.0091407972674913,5.2090705686711045
0.6,0.4549925099175781,0.009080221729632623,55732794.23295887,159004.5025760933,0.009080221729632623,5.2090705686711045
0.6,0.47243923887188055,0.007772771708582856,56839025.565109596,161699.75799873244,0.007772771708582856,5.2090705686711045
0.6,0.47931748572153915,0.007583188218130009,57197341.77907199,162962.966000972,0.007583188218130009,5.2090705686711045
0.6,0.5013700252587429,0.007265548540429853,58498490.67632884,166620.16760670114,0.007265548540429853,5.2090705686711045
0.6,0.5297555476891311,0.007113302763560528,60479846.95194696,170537.21552912216,0.007113302763560528,5.2090705686711045
0.6,0.5798357883393073,0.006298110461697253,64048277.39579708,177260.44181172308,0.006298110461697253,5.2090705686711045
0.7,0.3775923603982527,0.01384711316102715,50521846.758993424,147829.3854364383,0.01384711316102715,5.292972908413687
0.7,0.38645735451164653,0.013719934048104069,50995630.32486128,149426.6019568993,0.013719934048104069,5.292972908413687
