Parameter,Obj1_NormCostCO2,Obj2_MaxDrift,Cost,CO2,Max_Drift,Hypervolume
OnePoint,0.33722111415157807,0.0923816564401299,49773928.81819747,138768.96657099007,0.0923816564401299,5.28493833176955
OnePoint,0.3538143489514466,0.09223345010035172,50937807.20774035,140953.63358102195,0.09223345010035172,5.28493833176955
OnePoint,0.3540073077054129,0.09150422205666489,50855937.50354958,141228.01025454214,0.09150422205666489,5.28493833176955
OnePoint,0.3546519443763868,0.07096589792194039,50702649.085482985,141830.91053585097,0.07096589792194039,5.28493833176955
OnePoint,0.35484490313035305,0.07094044605810752,50620779.38129222,142105.28720937116,0.07094044605810752,5.28493833176955
OnePoint,0.37895901038250945,0.06927826561959709,52008887.56467533,146071.65355704215,0.06927826561959709,5.28493833176955
OnePoint,0.38048334560994146,0.06270348175195617,52162676.65731336,146150.03442336066,0.06270348175195617,5.28493833176955
OnePoint,0.39297929288779404,0.06269240014091071,52929491.08278943,148081.46074182476,0.06269240014091071,5.28493833176955
OnePoint,0.4170456112085329,0.06262894611106047,54047749.690487795,152737.0012065787,0.06262894611106047,5.28493833176955
OnePoint,0.4198260824766958,0.05763620247332377,54404013.79761228,152682.3058093307,0.05763620247332377,5.28493833176955
OnePoint,0.4283015751977488,0.055806519204463056,54505832.74622493,155083.87929240207,0.055806519204463056,5.28493833176955
TwoPoint,0.29806356980983034,0.11599239370521217,47310849.15164669,132873.647213334,0.11599239370521217,5.3859743654160805
TwoPoint,0.303502603663916,0.11022996000312427,47526654.37385212,134022.16536230073,0.11022996000312427,5.3859743654160805
TwoPoint,0.3117738664180948,0.09037489413101549,47864229.53577447,135744.22477575572,0.09037489413101549,5.3859743654160805
TwoPoint,0.31507043813043956,0.08952546466614038,48018912.525420226,136378.00573547062,0.08952546466614038,5.3859743654160805
TwoPoint,0.3172129002721805,0.08518883493026526,48080034.7579799,136892.74292472246,0.08518883493026526,5.3859743654160805
TwoPoint,0.320509471984525,0.08452457486374616,48234717.74762565,137526.5238844373,0.08452457486374616,5.3859743654160805
TwoPoint,0.32580947421680206,0.08433083832331585,48635200.4014269,138149.34411193567,0.08433083832331585,5.3859743654160805
TwoPoint,0.328541138907971,0.08417158077154997,48713769.30764626,138803.97692680417,0.08417158077154997,5.3859743654160805
TwoPoint,0.32910604592914683,0.08354536180975522,48789883.39107265,138783.12507165057,0.08354536180975522,5.3859743654160805
TwoPoint,0.32987526901025543,0.07119206350699872,48634069.55313718,139431.82386922112,0.07119206350699872,5.3859743654160805
TwoPoint,0.33790693593370164,0.06925870471234685,49113121.113157794,140709.27691158804,0.06925870471234685,5.3859743654160805
TwoPoint,0.34083637197359323,0.06906738094573991,49168729.67869276,141486.0679951557,0.06906738094573991,5.3859743654160805
TwoPoint,0.34391087680896293,0.062387693650485576,49405040.41878961,141836.94320540113,0.062387693650485576,5.3859743654160805
TwoPoint,0.35930674111629357,0.06203468236268049,50450932.37236681,143952.69451688256,0.06203468236268049,5.3859743654160805
TwoPoint,0.3647457749703792,0.0607921225894583,50666737.59457223,145101.21266584928,0.0607921225894583,5.3859743654160805
TwoPoint,0.3706693949937907,0.05943365455041828,50990941.91794949,146119.34886228622,0.05943365455041828,5.3859743654160805
TwoPoint,0.4029615577996768,0.05302671569759233,53147356.60995509,150654.38274265465,0.05302671569759233,5.3859743654160805
Uniform,0.31781993369559147,0.08956025476409654,48425005.72202501,136183.52551145546,0.08956025476409654,5.345654016650057
Uniform,0.3193221397906515,0.07970743381509844,48528640.64108077,136385.82716871198,0.07970743381509844,5.345654016650057
Uniform,0.33331818985952966,0.07004868930169604,49198589.462819606,139042.12987207226,0.07004868930169604,5.345654016650057
Uniform,0.3362391995585839,0.07004745422011646,49399572.543887645,139436.89220047893,0.07004745422011646,5.345654016650057
Uniform,0.35234042885023925,0.061943794434014356,50116713.989740044,142632.55038208925,0.061943794434014356,5.345654016650057
Uniform,0.3549493061112069,0.06194174673915032,50296220.47690013,142985.1293079312,0.06194174673915032,5.345654016650057
Uniform,0.3644770014560906,0.0599971177618693,50757229.985112965,144780.47444487983,0.0599971177618693,5.345654016650057
Uniform,0.3670858787170582,0.059995151190974046,50936736.47227305,145133.05337072178,0.059995151190974046,5.345654016650057
Uniform,0.38540239663672904,0.05867529098862713,51953964.804202974,148242.7529927365,0.05867529098862713,5.345654016650057
Uniform,0.41355962039408556,0.05500071079175905,54295084.767978296,150994.4816119283,0.05500071079175905,5.345654016650057
Uniform,0.607088875172971,0.04908312100791148,65655753.1841813,182251.8391902554,0.04908312100791148,5.345654016650057
