gen,best_obj1,best_obj2,hypervolume,Experiment,PopSize,Tournament,Crossover,CXPB,MUTPB
0,1.0959247258891458,0.10877015134628,3.357466705210528,PopSize_800,800,3,TwoPoint,0.9,0.7
1,1.0959247258891458,0.10877015134628,3.357466705210528,PopSize_800,800,3,TwoPoint,0.9,0.7
2,0.7000937062676624,0.05232345829805039,4.403976267074493,PopSize_800,800,3,TwoPoint,0.9,0.7
3,0.42528478280188325,0.05232345829805039,5.075079961064021,PopSize_800,800,3,TwoPoint,0.9,0.7
4,0.42528478280188325,0.05232345829805039,5.076129381275375,PopSize_800,800,3,TwoPoint,0.9,0.7
5,0.3929664818860644,0.04996934101366235,5.159628580511011,PopSize_800,800,3,TwoPoint,0.9,0.7
6,0.36744200582633313,0.04996934101366235,5.221786348361376,PopSize_800,800,3,TwoPoint,0.9,0.7
7,0.36744200582633313,0.047146805350604254,5.227698716725994,PopSize_800,800,3,TwoPoint,0.9,0.7
8,0.3613177453744122,0.047146805350604254,5.243520442174534,PopSize_800,800,3,TwoPoint,0.9,0.7
9,0.3160332014933994,0.047146805350604254,5.353700866367097,PopSize_800,800,3,TwoPoint,0.9,0.7
10,0.3160332014933994,0.047146805350604254,5.3538773721664725,PopSize_800,800,3,TwoPoint,0.9,0.7
11,0.3160332014933994,0.047146805350604254,5.354079745176501,PopSize_800,800,3,TwoPoint,0.9,0.7
12,0.3160332014933994,0.047146805350604254,5.35420345279398,PopSize_800,800,3,TwoPoint,0.9,0.7
13,0.30407581068894407,0.047146805350604254,5.383013821913027,PopSize_800,800,3,TwoPoint,0.9,0.7
14,0.3021837302810764,0.047146805350604254,5.387957894820899,PopSize_800,800,3,TwoPoint,0.9,0.7
15,0.2817163804279992,0.047146805350604254,5.43748397988077,PopSize_800,800,3,TwoPoint,0.9,0.7
16,0.2817163804279992,0.047146805350604254,5.437618160001461,PopSize_800,800,3,TwoPoint,0.9,0.7
17,0.2817163804279992,0.047146805350604254,5.437649992061418,PopSize_800,800,3,TwoPoint,0.9,0.7
18,0.27710296009923563,0.047146805350604254,5.449149427216414,PopSize_800,800,3,TwoPoint,0.9,0.7
19,0.2524605412945964,0.047146805350604254,5.508378086106129,PopSize_800,800,3,TwoPoint,0.9,0.7
20,0.2524605412945964,0.047146805350604254,5.508695120528319,PopSize_800,800,3,TwoPoint,0.9,0.7
21,0.2524605412945964,0.047146805350604254,5.508816837617335,PopSize_800,800,3,TwoPoint,0.9,0.7
22,0.2524605412945964,0.047146805350604254,5.509084593356647,PopSize_800,800,3,TwoPoint,0.9,0.7
23,0.2524605412945964,0.047146805350604254,5.509223441681944,PopSize_800,800,3,TwoPoint,0.9,0.7
24,0.2524605412945964,0.047146805350604254,5.509369901734601,PopSize_800,800,3,TwoPoint,0.9,0.7
25,0.24554418607601064,0.047146805350604254,5.526104158744423,PopSize_800,800,3,TwoPoint,0.9,0.7
26,0.24554418607601064,0.047146805350604254,5.526437779284459,PopSize_800,800,3,TwoPoint,0.9,0.7
27,0.23545606339236705,0.047146805350604254,5.550841182094988,PopSize_800,800,3,TwoPoint,0.9,0.7
28,0.22807341151053662,0.047146805350604254,5.5687341813541575,PopSize_800,800,3,TwoPoint,0.9,0.7
29,0.22807341151053662,0.047146805350604254,5.5688216343074135,PopSize_800,800,3,TwoPoint,0.9,0.7
30,0.2262035211388702,0.047146805350604254,5.573428466046819,PopSize_800,800,3,TwoPoint,0.9,0.7
31,0.2262035211388702,0.047146805350604254,5.573501173221322,PopSize_800,800,3,TwoPoint,0.9,0.7
32,0.2215743107473547,0.047146805350604254,5.584816646507857,PopSize_800,800,3,TwoPoint,0.9,0.7
33,0.2215743107473547,0.047146805350604254,5.584956526991601,PopSize_800,800,3,TwoPoint,0.9,0.7
34,0.2215743107473547,0.047146805350604254,5.584999035102032,PopSize_800,800,3,TwoPoint,0.9,0.7
35,0.2215743107473547,0.047146805350604254,5.585103923740303,PopSize_800,800,3,TwoPoint,0.9,0.7
36,0.2199183795730958,0.047146805350604254,5.589199928567707,PopSize_800,800,3,TwoPoint,0.9,0.7
37,0.2199183795730958,0.047146805350604254,5.5892996554481,PopSize_800,800,3,TwoPoint,0.9,0.7
38,0.2199183795730958,0.047146805350604254,5.589318872507738,PopSize_800,800,3,TwoPoint,0.9,0.7
39,0.2199183795730958,0.047146805350604254,5.589398583258559,PopSize_800,800,3,TwoPoint,0.9,0.7
40,0.21958494963807368,0.047146805350604254,5.590332401567869,PopSize_800,800,3,TwoPoint,0.9,0.7
41,0.21958494963807368,0.047146805350604254,5.590403221418977,PopSize_800,800,3,TwoPoint,0.9,0.7
42,0.21802449730054568,0.047146805350604254,5.594179649872679,PopSize_800,800,3,TwoPoint,0.9,0.7
43,0.21802449730054568,0.047146805350604254,5.594358946666619,PopSize_800,800,3,TwoPoint,0.9,0.7
44,0.2163685661262868,0.047146805350604254,5.598363172130772,PopSize_800,800,3,TwoPoint,0.9,0.7
45,0.2163685661262868,0.047146805350604254,5.598386955060705,PopSize_800,800,3,TwoPoint,0.9,0.7
46,0.2163685661262868,0.047146805350604254,5.59850195561806,PopSize_800,800,3,TwoPoint,0.9,0.7
47,0.21414476865207055,0.047146805350604254,5.603878660729983,PopSize_800,800,3,TwoPoint,0.9,0.7
48,0.21414476865207055,0.047146805350604254,5.6038904922676975,PopSize_800,800,3,TwoPoint,0.9,0.7
49,0.21414476865207055,0.047146805350604254,5.603931460448579,PopSize_800,800,3,TwoPoint,0.9,0.7
50,0.21414476865207055,0.047146805350604254,5.603940221636504,PopSize_800,800,3,TwoPoint,0.9,0.7
51,0.21414476865207055,0.047146805350604254,5.6039440800762454,PopSize_800,800,3,TwoPoint,0.9,0.7
52,0.21414476865207055,0.047146805350604254,5.60401344153097,PopSize_800,800,3,TwoPoint,0.9,0.7
53,0.21414476865207055,0.047146805350604254,5.604016892502045,PopSize_800,800,3,TwoPoint,0.9,0.7
54,0.21414476865207055,0.047146805350604254,5.60403705591855,PopSize_800,800,3,TwoPoint,0.9,0.7
55,0.21084355194666374,0.047146805350604254,5.611984882163905,PopSize_800,800,3,TwoPoint,0.9,0.7
56,0.21084355194666374,0.047146805350604254,5.6119894872593425,PopSize_800,800,3,TwoPoint,0.9,0.7
57,0.21084355194666374,0.047146805350604254,5.612001472428415,PopSize_800,800,3,TwoPoint,0.9,0.7
58,0.21084355194666374,0.047146805350604254,5.612001472428415,PopSize_800,800,3,TwoPoint,0.9,0.7
59,0.21084355194666374,0.047146805350604254,5.61205579692109,PopSize_800,800,3,TwoPoint,0.9,0.7
60,0.21084355194666374,0.047146805350604254,5.612104478393023,PopSize_800,800,3,TwoPoint,0.9,0.7
61,0.21084355194666374,0.047146805350604254,5.612115342588952,PopSize_800,800,3,TwoPoint,0.9,0.7
62,0.21054681055361846,0.047146805350604254,5.612833496371566,PopSize_800,800,3,TwoPoint,0.9,0.7
63,0.21054681055361846,0.047146805350604254,5.612839426989712,PopSize_800,800,3,TwoPoint,0.9,0.7
64,0.21054681055361846,0.047146805350604254,5.612843507693494,PopSize_800,800,3,TwoPoint,0.9,0.7
65,0.20757470066159642,0.047146805350604254,5.620014770828244,PopSize_800,800,3,TwoPoint,0.9,0.7
66,0.20757470066159642,0.047146805350604254,5.620044258429187,PopSize_800,800,3,TwoPoint,0.9,0.7
67,0.20757470066159642,0.047146805350604254,5.620159765535546,PopSize_800,800,3,TwoPoint,0.9,0.7
68,0.20757470066159642,0.047146805350604254,5.620165963119689,PopSize_800,800,3,TwoPoint,0.9,0.7
69,0.20757470066159642,0.047146805350604254,5.620191511044627,PopSize_800,800,3,TwoPoint,0.9,0.7
70,0.20757470066159642,0.047146805350604254,5.620199853509356,PopSize_800,800,3,TwoPoint,0.9,0.7
