Parameter,Obj1_NormCostCO2,Obj2_MaxDrift,Cost,CO2,Max_Drift,Hypervolume
300,0.16970115830035903,0.013095581103925988,38501785.1526743,112718.37602894593,0.013095581103925988,5.812509768247086
300,0.17014531633748597,0.01294485131203465,38461708.908626035,112962.9418664237,0.01294485131203465,5.812509768247086
300,0.17386900457747584,0.012854661100807175,38714259.01132246,113495.79247375127,0.012854661100807175,5.812509768247086
300,0.17798123437822935,0.012804191752154073,38919995.2044307,114272.89703410976,0.012804191752154073,5.812509768247086
300,0.17801458121078373,0.012717362756574124,38930600.399751104,114256.15548493335,0.012717362756574124,5.812509768247086
300,0.1781236966196897,0.012716648749187758,38938238.28954912,114271.15749975343,0.012716648749187758,5.812509768247086
300,0.1789401524222378,0.01254568691242871,38971009.89697024,114446.26986884841,0.01254568691242871,5.812509768247086
300,0.1830857290555456,0.012413075373447446,39187351.28539888,115206.63288003049,0.012413075373447446,5.812509768247086
300,0.18319484446445158,0.01241238123851015,39194989.17519689,115221.63489485058,0.01241238123851015,5.812509768247086
300,0.18719795885629908,0.012332207799205866,39393087.47850712,115983.73744038898,0.012332207799205866,5.812509768247086
300,0.18811149018836648,0.010592377173804759,39448780.299604274,116130.61610307998,0.010592377173804759,5.812509768247086
300,0.19183517842835635,0.010529006860551476,39701330.4023007,116663.46671040755,0.010529006860551476,5.812509768247086
300,0.19227933646548337,0.010419572379802974,39661254.15825244,116908.03254788532,0.010419572379802974,5.812509768247086
300,0.1960898704705702,0.010419284495055012,39925309.68052736,117438.83173640972,0.010419284495055012,5.812509768247086
300,0.20009298486241767,0.010334617887829738,40123407.983837575,118200.93428194812,0.010334617887829738,5.812509768247086
300,0.2001152545062267,0.010270879137759181,40119540.454057105,118217.98771557136,0.010270879137759181,5.812509768247086
300,0.20108879836243765,0.008998613799636273,40127758.78492784,118506.35962545458,0.008998613799636273,5.812509768247086
300,0.2060845830888995,0.008941390628907874,40457204.70869545,119245.43265663035,0.008941390628907874,5.812509768247086
300,0.2065510107698355,0.008841170739193518,40413260.93486671,119507.05192773137,0.008841170739193518,5.812509768247086
300,0.21439800599932435,0.008835348095344803,40886019.95577226,120783.21211261781,0.008835348095344803,5.812509768247086
300,0.21853250544388667,0.008739009115061692,41087888.61910002,121577.3701065995,0.008739009115061692,5.812509768247086
300,0.22267808207719464,0.008701305737265528,41304230.00752866,122337.73311778161,0.008701305737265528,5.812509768247086
300,0.22465510498103097,0.007704855066860118,41605050.466363296,122190.72514193336,0.007704855066860118,5.812509768247086
300,0.23902200554585323,0.007592375224167621,42449327.69888972,124582.10898870879,0.007592375224167621,5.812509768247086
300,0.24105677700970857,0.007526475227545839,42514184.622049,125061.88464024662,0.007526475227545839,5.812509768247086
300,0.2532655865354362,0.007497309165460647,43281163.395252585,126966.3602319392,0.007497309165460647,5.812509768247086
300,0.25542367757453077,0.00742851615628111,43358461.85457541,127453.26848702204,0.00742851615628111,5.812509768247086
300,0.27056306184929535,0.00733397601641531,44244987.63568013,129981.34682848513,0.00733397601641531,5.812509768247086
300,0.3290096138788678,0.007249065852679174,47616284.00612422,139873.1510710317,0.007249065852679174,5.812509768247086
300,0.36187533783759895,0.007162339953867489,49456484.75383872,145578.753539418,0.007162339953867489,5.812509768247086
300,0.3620749269223191,0.007114534341531,49622594.8161014,145213.91076208907,0.007114534341531,5.812509768247086
300,0.3776041268660222,0.006753098382889908,50462374.33228939,147986.47377233367,0.006753098382889908,5.812509768247086
300,0.3930011549383472,0.006638620337564547,51446047.634605065,150345.98599154342,0.006638620337564547,5.812509768247086
300,0.473482601927398,0.006575582106542552,56402595.27930225,163156.8365012918,0.006575582106542552,5.812509768247086
300,0.4926811665433204,0.006546126698575647,57532071.31983648,166349.1962628539,0.006546126698575647,5.812509768247086
300,0.5309066097687609,0.005936969400675395,60387943.104274474,171140.194170504,0.005936969400675395,5.812509768247086
300,0.6943133565106266,0.005622200179727558,70258658.00674507,197648.2548522402,0.005622200179727558,5.812509768247086
300,0.7809632789836645,0.005271672033601734,74681560.65192172,213796.50452735432,0.005271672033601734,5.812509768247086
