gen,best_obj1,best_obj2,hypervolume,PopSize
0,1.3473210699165517,0.0065854784482320934,2.874106382956825,100
1,1.3473210699165517,0.0065854784482320934,2.874106382956825,100
2,0.7602298590442594,0.0065854784482320934,4.332264501125412,100
3,0.7602298590442594,0.0065854784482320934,4.332264501125412,100
4,0.6121382347500198,0.006052984089933897,4.708043123074164,100
5,0.5721838347939124,0.006052984089933897,4.807615076336044,100
6,0.5660278320616654,0.006052984089933897,4.822995807606167,100
7,0.5660278320616654,0.006052984089933897,4.823035790774152,100
8,0.5648360237033374,0.006052984089933897,4.826050188924871,100
9,0.5648360237033374,0.006052984089933897,4.826054135294973,100
10,0.4950146735176557,0.006052984089933897,5.000180223507891,100
11,0.47879992141017125,0.006052984089933897,5.0406152240747915,100
12,0.47879992141017125,0.006052984089933897,5.040650842632956,100
13,0.44106024386002785,0.006052984089933897,5.134676524993869,100
14,0.44106024386002785,0.006052984089933897,5.134685248625919,100
15,0.43651214321076093,0.006052984089933897,5.146022095272792,100
16,0.4315789466000073,0.006052984089933897,5.158315546807323,100
17,0.4055022720913223,0.006052984089933897,5.223396405023829,100
18,0.39285966684856855,0.006052984089933897,5.254886410735792,100
19,0.38708752650963163,0.006052984089933897,5.26926237458947,100
20,0.37199349586489905,0.006052984089933897,5.306890581446389,100
21,0.36938497783563945,0.006052984089933897,5.313444576637841,100
22,0.36938497783563945,0.006052984089933897,5.3134832186923395,100
23,0.35726338393345414,0.006052984089933897,5.343685672892633,100
24,0.3541130241498356,0.006052984089933897,5.3515437386287115,100
25,0.3541130241498356,0.006052984089933897,5.351593164394257,100
26,0.3388486383517636,0.006052984089933897,5.389610858891716,100
27,0.3388486383517636,0.006052984089933897,5.389663463251048,100
28,0.33671872109994955,0.006052984089933897,5.394974253242359,100
29,0.33671872109994955,0.006052984089933897,5.3949768202015225,100
30,0.31984680505485874,0.006052984089933897,5.437007591364339,100
31,0.31984680505485874,0.006052984089933897,5.43702845483494,100
32,0.31676597741731927,0.006052984089933897,5.444711722248109,100
33,0.31676597741731927,0.006052984089933897,5.444728923673043,100
34,0.31676597741731927,0.006052984089933897,5.444731615667077,100
35,0.31676597741731927,0.006052984089933897,5.444731615667077,100
36,0.3069383684664453,0.006052984089933897,5.469219624997378,100
37,0.3069383684664453,0.006052984089933897,5.469230952095344,100
38,0.3069383684664453,0.006052984089933897,5.469240850892836,100
39,0.3069383684664453,0.006052984089933897,5.469240850892836,100
40,0.30005512584839544,0.006052984089933897,5.486379252628876,100
41,0.30005512584839544,0.006052984089933897,5.486379252628876,100
42,0.2991498222875224,0.006052984089933897,5.488639007198408,100
43,0.2991498222875224,0.006052984089933897,5.488649126654098,100
44,0.2885570200471698,0.006052984089933897,5.515023516565909,100
45,0.28194895627494854,0.006052984089933897,5.531474862860187,100
46,0.28194895627494854,0.006052984089933897,5.531477421950546,100
47,0.28194895627494854,0.005914973390207445,5.531775319321654,100
48,0.28194895627494854,0.005914973390207445,5.5317838124660135,100
49,0.28194895627494854,0.005914973390207445,5.5317838124660135,100
50,0.28194895627494854,0.005914973390207445,5.531794551925539,100
51,0.2750657136568987,0.005914973390207445,5.548952063901068,100
52,0.2750657136568987,0.005914973390207445,5.548953176420497,100
53,0.2750657136568987,0.005914973390207445,5.5489558083868795,100
54,0.2750657136568987,0.005914973390207445,5.548965055950516,100
55,0.26895653253994956,0.005914973390207445,5.564161942427288,100
56,0.26895653253994956,0.005914973390207445,5.564162740445824,100
57,0.26895653253994956,0.005914973390207445,5.5641665856133615,100
58,0.26895653253994956,0.005914973390207445,5.56416660224486,100
59,0.26895653253994956,0.005914973390207445,5.56416660224486,100
60,0.26209071746062407,0.005914973390207445,5.581245063875533,100
61,0.26209071746062407,0.005914973390207445,5.581245336411352,100
62,0.26209071746062407,0.005914973390207445,5.581247535150401,100
63,0.26209071746062407,0.005914973390207445,5.581254466177708,100
64,0.26209071746062407,0.005914973390207445,5.581256092847966,100
65,0.2554292460677792,0.005914973390207445,5.597838643252223,100
66,0.2554292460677792,0.005914973390207445,5.597840837051887,100
