gen,best_obj1,best_obj2,hypervolume,Experiment,PopSize,Tournament,Crossover,CXPB,MUTPB
2,0.8010087465991707,0.1346980410454201,4.018627339915678,CXPB_0.6,100,3,OnePoint,0.6,0.2
3,0.8010087465991707,0.1346980410454201,4.018627339915678,CXPB_0.6,100,3,OnePoint,0.6,0.2
4,0.5158872446359797,0.05252492040458635,4.856066523860831,CXPB_0.6,100,3,OnePoint,0.6,0.2
5,0.4325224724816441,0.05252492040458635,5.057480298287382,CXPB_0.6,100,3,OnePoint,0.6,0.2
6,0.4325224724816441,0.05252492040458635,5.057527279904092,CXPB_0.6,100,3,OnePoint,0.6,0.2
7,0.4325224724816441,0.05252492040458635,5.057527279904092,CXPB_0.6,100,3,OnePoint,0.6,0.2
8,0.3939554488904682,0.05252492040458635,5.1508795204432065,CXPB_0.6,100,3,OnePoint,0.6,0.2
9,0.3939554488904682,0.05252492040458635,5.150960944313177,CXPB_0.6,100,3,OnePoint,0.6,0.2
10,0.3939554488904682,0.05252492040458635,5.151075394753332,CXPB_0.6,100,3,OnePoint,0.6,0.2
11,0.3939554488904682,0.05252492040458635,5.151087137943222,CXPB_0.6,100,3,OnePoint,0.6,0.2
12,0.3862099295885469,0.05252492040458635,5.1699491155126935,CXPB_0.6,100,3,OnePoint,0.6,0.2
13,0.3862099295885469,0.05252492040458635,5.170684757229626,CXPB_0.6,100,3,OnePoint,0.6,0.2
14,0.3760248741808586,0.05252492040458635,5.195194671814376,CXPB_0.6,100,3,OnePoint,0.6,0.2
15,0.3760248741808586,0.05252492040458635,5.1952180402333195,CXPB_0.6,100,3,OnePoint,0.6,0.2
16,0.3760248741808586,0.05252492040458635,5.195506988881675,CXPB_0.6,100,3,OnePoint,0.6,0.2
17,0.3760248741808586,0.05252492040458635,5.195580118595298,CXPB_0.6,100,3,OnePoint,0.6,0.2
18,0.3760248741808586,0.05252492040458635,5.195671515516639,CXPB_0.6,100,3,OnePoint,0.6,0.2
19,0.3760248741808586,0.05252492040458635,5.195853766384219,CXPB_0.6,100,3,OnePoint,0.6,0.2
20,0.3760248741808586,0.05252492040458635,5.195895849560329,CXPB_0.6,100,3,OnePoint,0.6,0.2
21,0.3760248741808586,0.05252492040458635,5.195923587743891,CXPB_0.6,100,3,OnePoint,0.6,0.2
22,0.3760248741808586,0.05252492040458635,5.195926134425835,CXPB_0.6,100,3,OnePoint,0.6,0.2
23,0.3760248741808586,0.05252492040458635,5.195926134425835,CXPB_0.6,100,3,OnePoint,0.6,0.2
24,0.3760248741808586,0.05252492040458635,5.195949225668512,CXPB_0.6,100,3,OnePoint,0.6,0.2
25,0.3760248741808586,0.05252492040458635,5.195949225668512,CXPB_0.6,100,3,OnePoint,0.6,0.2
26,0.3760248741808586,0.05252492040458635,5.195949225668512,CXPB_0.6,100,3,OnePoint,0.6,0.2
