gen,nevals,avg,std,min,valid_ratio,avg_cost,avg_co2,avg_dcr,hof_size
51,90,[0.67469122 0.24517933],[0.12806378 0.02698035],[0.53707482 0.19832799],100.0,48094799.49796435,144616.02984608404,0.24517932877762638,26
52,83,[0.71763064 0.2342663 ],[0.16833445 0.03425533],[0.48380292 0.19832799],100.0,50348483.57967396,152458.16431094403,0.23426629832137444,21
53,83,[0.86157953 0.20514561],[0.09664994 0.01936132],[0.48380292 0.19832799],100.0,58417590.726610735,177298.75910236276,0.20514560924399167,22
54,85,[0.89470056 0.19832799],[7.77156117e-16 4.99600361e-16],[0.89470056 0.19832799],100.0,60234422.54351994,183126.47268080033,0.19832799421052902,22
55,78,[0.89470056 0.19832799],[7.77156117e-16 4.99600361e-16],[0.89470056 0.19832799],100.0,60234422.54351994,183126.47268080033,0.19832799421052902,22
56,90,[0.8943812  0.19829067],[0.00221504 0.00024347],[0.87417817 0.19643535],100.0,60219679.22362393,183062.45436985634,0.19829067448225018,22
57,90,[0.89389309 0.19834745],[0.00431558 0.00263279],[0.86651531 0.18514099],100.0,60191208.63521473,182981.35270656433,0.19834745239314183,22
58,75,[0.89276226 0.19858167],[0.00648263 0.00405776],[0.86651531 0.18514099],100.0,60127991.703735135,182785.72311949634,0.19858166822259396,22
59,85,[0.89044397 0.1991593 ],[0.00936924 0.00647034],[0.85904895 0.18514099],100.0,59998377.405104734,182384.7133493187,0.19915930032851079,22
60,84,[0.88707405 0.20017612],[0.01620352 0.00989834],[0.84025615 0.18514099],100.0,59801381.31026152,181826.00685220427,0.20017612439215376,22
61,81,[0.88789621 0.19549848],[0.01972695 0.00696314],[0.79327039 0.18325975],100.0,59886903.37951432,181856.68240055072,0.19549847805563772,22
62,86,[0.88163757 0.19439834],[0.03372678 0.00616354],[0.61047538 0.18227849],100.0,59513073.27931315,180841.51086468037,0.1943983358758366,23
63,79,[0.88276739 0.19148653],[0.04870576 0.00773128],[0.57270803 0.18210679],100.0,59491449.36728873,181276.0394883204,0.1914865302134336,23
64,81,[0.88928544 0.18681855],[0.05953344 0.00701082],[0.57270803 0.17720996],100.0,59726110.39221238,182769.40587924435,0.18681855012447507,23
65,86,[0.87120673 0.18849618],[0.08343895 0.01127016],[0.57270803 0.16128359],100.0,58826140.70339077,179329.77134400432,0.18849617686506498,23
66,81,[0.8427939  0.19088598],[0.10280337 0.01349883],[0.57270803 0.16128359],100.0,57433648.83864239,173862.17959531624,0.19088598166718007,24
67,85,[0.77968322 0.19745626],[0.11701644 0.01936721],[0.53361824 0.16128359],100.0,54278689.26656838,161892.23832912015,0.19745625829964034,24
68,83,[0.75443314 0.19898345],[0.14174153 0.02494836],[0.52230725 0.16128359],100.0,52809513.6303944,157686.57973951203,0.19898344602996382,25
69,85,[0.76440572 0.19579328],[0.16241865 0.02635215],[0.53361824 0.16128359],100.0,53295177.57068321,159614.33863636004,0.19579328497032095,26
70,81,[0.67109681 0.20559344],[0.10109316 0.01909728],[0.57270803 0.18210679],100.0,48315795.38806398,142804.45306071994,0.20559344230956492,26
71,92,[0.73325315 0.19511933],[0.10260462 0.02036068],[0.57270803 0.18210679],100.0,52080635.00070797,152739.129829,0.19511933400398804,26
72,88,[0.79882791 0.18210679],[1.11022302e-15 3.88578059e-16],[0.79882791 0.18210679],100.0,56010385.71231998,163339.0264968001,0.18210679064037116,26
73,75,[0.80101828 0.18184922],[0.02108628 0.00218949],[0.78266534 0.16027226],100.0,56131379.299937576,163722.04959483608,0.18184921842594196,26
74,87,[0.80077737 0.18251645],[0.04183417 0.00899882],[0.5627624  0.15400409],100.0,56098719.85915238,163734.4907655689,0.18251645396519023,27
75,79,[0.80464242 0.18184464],[0.04969536 0.00991629],[0.5627624  0.15241376],100.0,56307664.760306776,164423.2108260009,0.18184463642543278,27
76,80,[0.81133833 0.18084617],[0.06054941 0.01143581],[0.5627624  0.15241376],100.0,56667875.52589638,165621.3602152169,0.18084617211129314,27
77,79,[0.79996191 0.18190943],[0.05177156 0.01411388],[0.5627624  0.14603665],100.0,55986688.78106079,163780.7813943873,0.18190943312747454,29
78,86,[0.80075962 0.18127824],[0.07239923 0.01934152],[0.5627624  0.14603665],100.0,55944343.305319995,164163.9326760961,0.18127823740405374,30
79,77,[0.79321917 0.18174904],[0.09107559 0.02474507],[0.5627624  0.14603665],100.0,55446873.383877575,163073.59409660488,0.1817490415730128,30
80,82,[0.77845914 0.18187839],[0.01088123 0.00233783],[0.75030994 0.18097469],100.0,54722715.614351146,160235.46296403202,0.18187839012544413,30
81,81,[0.78266534 0.18097469],[2.22044605e-16 2.22044605e-16],[0.78266534 0.18097469],100.0,54925563.32847996,161054.17013040002,0.18097468888417403,30
82,82,[0.78266534 0.18097469],[2.22044605e-16 2.22044605e-16],[0.78266534 0.18097469],100.0,54925563.32847996,161054.17013040002,0.18097468888417403,30
83,88,[0.78266534 0.18097469],[2.22044605e-16 2.22044605e-16],[0.78266534 0.18097469],100.0,54925563.32847996,161054.17013040002,0.18097468888417403,30
84,78,[0.78266534 0.18097469],[2.22044605e-16 2.22044605e-16],[0.78266534 0.18097469],100.0,54925563.32847996,161054.17013040002,0.18097468888417403,30
85,89,[0.78266534 0.18097469],[2.22044605e-16 2.22044605e-16],[0.78266534 0.18097469],100.0,54925563.32847996,161054.17013040002,0.18097468888417403,30
86,85,[0.78266534 0.18097469],[2.22044605e-16 2.22044605e-16],[0.78266534 0.18097469],100.0,54925563.32847996,161054.17013040002,0.18097468888417403,30
87,88,[0.78049676 0.18241484],[0.04424003 0.01110636],[0.5379639  0.15856744],100.0,54794009.30168196,160708.126289848,0.18241484155574714,30
88,83,[0.7784868  0.18367941],[0.0624909  0.01554255],[0.5379639  0.15856744],100.0,54677372.67911476,160372.465624156,0.18367940794831783,31
89,81,[0.77601583 0.18632304],[0.08989764 0.02166503],[0.5379639  0.15856744],100.0,54515690.89742316,160011.39723150397,0.18632304358035817,33
90,87,[0.76285654 0.19235054],[0.1203117  0.02960312],[0.5379639  0.15856744],100.0,53744626.21071437,157834.787557724,0.19235053526381918,35
91,92,[0.75180211 0.20073841],[0.16436369 0.03769714],[0.5379639  0.15856744],100.0,53065570.01982399,156094.65710955593,0.20073840665903486,31
92,87,[0.73740394 0.21440218],[0.2171499  0.04384241],[0.5379639  0.15856744],100.0,52176561.33564799,153841.0120656199,0.2144021818511715,31
93,85,[0.80419837 0.20599963],[0.2461703  0.04715969],[0.5575233  0.15856744],100.0,56070457.514948,164945.2682982519,0.20599963402850505,31
94,83,[0.5923942  0.24332331],[0.07989926 0.02849452],[0.5575233  0.17803417],100.0,43555312.25723195,130206.58928724793,0.2433233057024648,31
95,87,[0.62508566 0.23166453],[0.10079721 0.03594736],[0.5575233  0.17803417],100.0,45531975.57881197,135441.58482366797,0.23166453109317217,31
96,80,[0.68610973 0.20990149],[0.10719167 0.03822782],[0.5575233  0.17803417],100.0,49221747.11242796,145213.57649165203,0.2099014851558259,31
97,92,[0.7754664  0.17803417],[1.99840144e-15 1.11022302e-16],[0.7754664  0.17803417],100.0,54624626.85807992,159522.5642912001,0.1780341678904261,32
98,80,[0.77866384 0.17794427],[0.03060069 0.00157109],[0.76039569 0.16723524],100.0,54809487.996852726,160058.4630070361,0.1779442702945676,31
99,83,[0.78040262 0.178641  ],[0.04438933 0.00615828],[0.68943721 0.16723524],100.0,54899401.22224593,160379.8200451681,0.17864100397909502,31
100,80,[0.78541244 0.17917495],[0.06241273 0.00847338],[0.68119127 0.16723524],100.0,55176495.64864233,161254.8657164721,0.17917495416128545,31
